candidate_id,X_uni,X_code,X_behav,X_ref,X_exp,X_permit,Y_Target
0,3,73.94385693220188,73.45451964287565,1,5,0,1
1,3,37.49356755429463,29.508333938225277,0,5,0,0
2,3,41.29559254511741,12.011495544393082,0,3,1,0
3,3,57.94692576541185,10.001339756812783,0,5,1,0
4,3,63.800695592741185,41.23984340884295,1,6,1,0
5,2,57.733249282144776,9.555652188390717,1,2,1,0
6,3,47.104219381663654,30.41429409903276,0,7,1,0
7,2,56.765214644904134,41.634055005559965,1,7,0,0
8,3,45.29659765340732,65.71679424035267,0,5,1,0
9,3,34.61597163498614,27.720130037735583,0,6,0,0
10,3,37.51440390313019,18.353771387645843,0,4,0,0
11,3,80.331761464083,48.84417579691474,1,3,1,1
12,3,24.739498290113136,14.524269439409888,0,4,0,0
13,3,34.46925709758988,32.55019693152673,0,6,0,0
14,1,32.34277279391811,49.02872035170116,0,5,0,0
15,2,61.52028201993189,14.446256010119813,1,5,1,0
16,2,45.45603240156769,8.66608454262932,0,6,1,0
17,3,20.335008820269373,0.0,0,5,1,0
18,3,0.8249862343881311,27.616122153400514,0,5,0,0
19,2,44.548293543899945,16.759453858829282,0,5,0,0
20,3,59.751794505472716,15.29399388690156,0,8,1,0
21,3,46.56882921687162,26.279288371908798,1,8,1,0
22,2,30.88165407947196,35.21575945302343,0,10,0,0
23,3,32.589236306204064,0.0,0,4,1,0
24,3,51.838474511000165,3.425284814505053,1,2,1,0
25,2,60.71641223979362,36.30898297922627,1,3,1,0
26,3,67.28241936994023,35.08255577306484,1,1,1,0
27,3,45.40310026171245,5.351168694033936,0,8,1,0
28,3,63.90921279389999,33.886895891885075,0,5,1,0
29,3,10.45687325742424,0.0,0,2,1,0
30,3,42.6305841617508,36.19314978862077,0,10,0,0
31,3,45.18327497276161,14.10909653603029,0,7,1,0
32,2,73.09073362201764,22.52397838506771,1,2,1,0
33,2,41.26833963042904,53.05008701664953,0,5,0,0
34,3,56.77009896121162,35.39970532019871,0,6,1,0
35,2,55.09761824763782,60.90618568896914,0,4,0,0
36,3,61.50857035460862,24.35364439474411,1,8,1,0
37,3,20.694387294266065,43.41641624768417,1,2,1,0
38,2,27.7991802233208,9.051649187486271,0,2,1,0
39,2,24.33850449756376,0.0,0,1,1,0
40,1,37.14121154232952,28.552851038830042,0,4,0,0
41,3,52.81280390138774,33.29780431240383,0,5,0,0
42,3,44.15367805586901,31.389422703161706,0,6,0,0
43,3,26.98353046901964,26.273945703003662,0,9,0,0
44,3,43.42701155012997,38.08817310912917,0,3,0,0
45,3,42.057527088505175,60.911170411152085,1,7,0,1
46,2,37.03852589899029,26.187690928105575,0,2,0,0
47,1,92.70888710051273,26.136643480551214,1,7,1,0
48,1,56.112534220012456,32.74254317464269,1,5,1,0
49,2,52.59599177772948,43.732858316958264,0,4,1,0
50,3,60.403813924865574,42.882077183290164,0,5,0,0
51,2,66.53671782589844,38.28282257484993,1,5,1,0
52,3,39.195368609697105,18.584552484387082,0,4,1,0
53,2,61.04513678709987,55.47591717657735,1,3,0,1
54,3,31.233116484408658,0.0,0,5,0,0
55,3,46.94333410034359,28.706751272848468,0,7,1,0
56,3,60.66466892607587,66.45205428012366,1,4,0,1
57,3,32.69473118240774,0.0,0,4,1,0
58,3,67.24994492460789,29.70972055569156,1,2,0,0
59,1,75.19922308529719,70.1297184074099,1,4,0,1
60,2,60.785504358508476,21.661265739880527,1,7,0,1
61,3,43.23175196504483,30.87907459763463,0,5,1,0
62,2,43.33473084662271,2.019040215718352,0,5,1,0
63,2,27.72227674818911,0.0,0,3,1,0
64,3,41.19712762116213,41.00745087759905,0,9,0,0
65,3,69.41983937837203,54.94142053515024,1,6,0,0
66,3,31.092810907827893,14.092920175306677,0,3,1,0
67,3,40.28661086475603,31.169623769083405,0,4,0,0
68,3,76.0478370585285,45.94129833220494,1,5,1,0
69,3,46.16821237651397,39.740629209497286,0,7,0,0
70,3,40.123927722786014,19.40339328056121,0,4,1,0
71,3,51.292603334227515,72.85646718554361,0,5,0,1
72,3,64.62607166881038,66.1903529525941,1,4,0,1
73,3,56.4640984737334,44.68089529046201,0,5,0,0
