candidate_id,S_ImmigStatus,X_uni,X_code,X_behav,X_ref,X_exp,X_permit,Y_Target
0,1,3,51.83079967416942,51.0879401931415,0,5,0,0
1,1,2,71.06373990641849,54.085216393102954,1,6,0,1
2,0,2,35.73477497031671,0.0,0,4,1,0
3,0,3,24.24732716288139,9.069669741880457,0,4,1,0
4,1,3,19.304520878433525,48.978089085825594,0,10,0,0
5,1,3,37.747635008858815,52.06766612667291,0,7,1,0
6,1,2,37.72479929414551,32.27195726185496,0,7,0,0
7,0,2,52.559978757593996,38.53246017187654,0,9,1,0
8,1,3,45.432031404707026,58.076184676974925,0,5,0,0
9,0,3,31.5215056063837,32.346841031280086,0,5,0,0
10,0,2,46.570860108004744,30.532586073773903,0,6,0,0
11,1,2,41.86839020458801,37.77848643987697,0,7,0,0
12,0,2,55.34622572332769,31.36292058905796,0,3,1,0
13,1,2,54.7864227249356,42.90849726899839,0,6,0,0
14,0,3,55.19096473973312,24.74282022421402,0,1,0,0
15,1,3,50.30569051738438,59.43228303564732,0,5,0,0
16,0,2,46.64971046839026,1.7215282551111923,0,3,0,0
17,0,3,56.13790574072881,21.25180454923971,0,6,1,0
18,0,2,21.658968703665856,7.122407070862315,0,5,1,0
19,0,3,57.2173821385844,39.24233369677968,0,7,0,0
20,0,2,70.0665958222764,19.292272806049745,0,6,0,0
21,1,3,25.465714434996162,42.31956866541155,0,5,0,0
22,0,3,19.586163470525427,0.0,0,3,1,0
23,0,2,0.0,0.0,0,7,1,0
24,0,3,67.51725810813585,36.422297666812945,0,3,0,0
25,0,3,61.60903332494018,15.523233381030412,0,2,1,0
26,1,3,35.00421674348946,54.229279498904106,0,8,1,0
27,0,2,88.73612580107209,50.01523129583752,1,1,1,0
28,0,2,34.01849257716499,2.7448133498229716,0,8,1,0
29,0,3,44.21642622156131,0.0,0,3,1,0
30,0,3,54.31605392294276,12.26903350778386,0,6,0,0
31,0,2,30.145283102043262,13.284383295545238,0,3,1,0
32,0,2,39.48410974129824,23.288233690069262,0,2,1,0
33,0,2,47.627247140445405,0.0,0,0,0,0
34,0,3,38.6899996858677,30.194290620320427,0,4,1,0
35,0,3,51.38626041493575,24.71758418135476,0,3,1,0
36,1,3,35.49213482476499,46.79055160476226,0,4,0,0
37,0,3,71.4840658442674,25.897746278962522,1,6,1,0
38,1,3,84.53160034600305,69.39127708070632,0,7,0,1
39,0,2,27.071712210313514,18.180096729163534,0,6,1,0
40,1,2,67.68347177437896,46.33959742365466,1,2,0,0
41,0,2,79.83432548004754,19.94838505416151,1,4,1,0
42,0,3,30.519868747977796,0.0,0,3,0,0
43,1,1,36.30142348067318,35.10076879003957,0,7,0,1
44,0,3,26.294812499568177,0.0,0,8,0,0
45,1,3,41.47723616644943,33.39349385382424,0,9,0,0
46,1,3,52.53297068514303,54.94020691104073,0,9,0,0
47,0,3,45.6647898440329,25.613099613701234,0,4,0,0
48,0,3,41.93712084005827,24.67853403504047,0,4,1,0
49,0,2,30.886596522010873,12.9339837155789,0,2,1,0
50,0,2,58.56939708291368,30.09606458736944,0,11,1,0
51,1,3,62.78620308802867,46.15028170047427,0,8,0,0
52,1,2,49.28592568183697,50.84855043549289,0,0,0,0
53,0,2,33.32644602064637,13.776034568880881,0,3,1,0
54,0,2,43.22011560114237,0.0,0,2,0,0
55,1,1,63.10147325044826,50.81915725080155,1,5,0,0
56,1,3,88.91969384641052,58.15411226126748,0,4,0,0
57,0,3,47.96355277503671,20.379700748799152,0,10,1,0
58,0,2,48.49845622434195,30.812235735161416,0,5,1,0
59,1,3,60.88660162551645,49.807602633977865,0,5,0,1
60,0,3,31.10650777872271,3.1760990721997313,0,3,1,0
61,0,3,41.688592660344824,5.4425608019687415,0,5,1,0
62,1,3,47.99839092891648,59.22904100893189,0,5,0,1
63,0,3,49.031326477653764,11.11757310840426,0,6,1,0
64,0,3,29.987738111583866,13.656825077914737,0,4,1,0
65,0,2,51.83423516215289,16.742894837595376,0,7,0,0
66,0,1,40.6603856913281,20.780157285193983,0,3,1,0
67,0,3,61.68867522350521,44.536500201252565,0,8,1,0
68,1,2,54.03053424015515,38.34257414241378,0,3,0,0
69,0,3,38.72826406780433,23.608746896005474,0,3,1,0
70,0,3,25.31481200925003,0.0,0,7,1,0
71,0,2,76.75626340587361,28.391546404397285,1,5,1,0
72,1,3,63.31684809308369,69.70569531648306,0,6,0,1
73,0,1,70.11101170321591,27.581611095729556,1,5,0,0
74,0,2,38.51728540880946,41.00137175090049,0,11,1,0
75,0,3,46.12569841864118,4.943626318079833,0,8,1,0
76,0,2,67.2372550541145,42.30599448815144,1,4,0,0
77,0,1,72.00246181298523,47.72349770944561,1,5,1,1
78,0,3,70.47047980826056,19.616290496335974,1,3,0,0
79,0,3,44.48683535438023,17.035761776048282,0,2,1,0
80,1,2,34.28976073633523,52.83201596141333,0,6,0,0
81,1,1,19.477348142815906,41.22937778067433,0,4,1,0
82,0,1,47.963312889522214,27.635472143647146,0,5,1,0
83,0,3,54.41966904395881,48.90292400152351,0,9,1,0
84,0,2,63.56017233711134,30.07531471616032,1,7,1,0
85,0,3,23.574541316137957,7.3891659563855026,0,4,1,0
86,0,2,58.73671474707821,41.77734306000798,0,3,1,0
87,1,2,41.1630183846936,51.88762104499542,0,4,0,0
88,0,2,39.38116316054316,32.66444230899988,0,11,1,0
89,0,3,52.90395870440178,1.512248799067752,0,3,1,0
90,1,3,29.400336529053387,39.821868356598806,0,3,0,0
91,0,3,12.814554176547665,0.0,0,3,1,0
92,1,3,79.51973259757634,81.75810555574992,1,4,0,1
93,0,3,62.02205767637693,43.15733267867296,0,6,1,0
94,1,3,47.51794866626031,34.11671805065196,0,2,1,0
95,0,2,60.72767274247586,40.932884200660965,1,6,1,0
96,0,3,34.019772649518,5.609116085629762,0,8,1,0
97,1,2,68.06838247714651,67.68500918159552,1,4,0,0
98,0,2,47.56004005620441,26.65283310278772,0,3,1,0
99,1,2,32.841466230334426,40.0120774530005,0,3,0,0
100,1,3,53.28027813679995,60.990747743590774,0,4,0,1
101,1,2,60.910737962460544,44.4415666552814,0,3,0,0
102,0,2,21.12295379185967,0.0,0,5,1,0
103,0,2,71.3266187847195,31.68333459640749,1,5,1,0
104,1,3,54.56115334534795,46.402689447476966,0,7,0,0
105,0,1,32.69614633343607,0.0,0,2,0,0
106,0,2,46.95331414156476,8.095258918270934,0,5,1,0
107,0,3,70.81740875836766,45.95010526703551,0,6,1,0
108,0,2,72.58072890729596,41.79346541704468,1,3,0,0
109,1,3,90.49536741991224,66.78250627542752,1,6,0,1
110,1,3,49.997428804321615,49.04591897164669,0,2,0,0
111,0,3,78.76015722179034,35.23695930172035,0,8,0,0
