S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,1,0.6010133901588246,73.91616289122429,0,2,1.8920821111959985,9.731929971946261,-1.2435452121762545,1.5091741775834406,1,74.42829059051827,0.6200978866763347,4.0814994775434705,7.193433634073795,1,24.22431903983248,2,4.593559127746891,0,0,9.66889728605592,0.04983577114437046,34.48819342667128,22.8011312687247,47.238866180539915,2,1,0.158808220190489,48.31017277933627
0,1,-0.08015636834021324,32.401773302801715,1,0,1.0176140636708233,33.51514722655328,0.9896453262046339,3.352458638851443,0,24.510355898120185,0.3027778986609059,1.5578985918818749,-5.544501547081988,0,61.44257123964499,0,32.42240202715475,2,1,25.380217324520018,-0.08412835841177194,19.65850167497546,61.20567368561831,40.72524976083465,3,0,0.10613978839448879,41.77195881703723
1,2,-0.45353183596635094,97.49329501148549,0,3,-4.724501777987584,38.10931141415211,-1.8457953526049669,1.8154004812370013,1,98.60341973011319,0.8597268211242606,14.95319370599612,9.23416808475718,1,19.94726291747537,2,1.0354817532311333,0,0,3.887083770958477,0.31239425213003685,35.24645027445175,1.5225052954134188,41.210527094320724,2,1,0.1232995822715462,54.54526209281926
1,2,-0.8153971569352431,6.992446793867013,1,1,-3.244407182269338,43.07780883663816,0.9453762617295919,1.6432802097600643,0,25.563789880857048,0.07614398372197001,1.6790071551567463,-2.9765079128168477,1,61.53534101623748,0,30.3448801277423,2,1,6.616745748355766,-1.6060831647233056,19.488411000068663,47.75713143996433,30.633489032140883,0,1,0.748355880314092,45.923272301246804
0,0,-2.1873455419754833,21.897788808752505,1,0,-0.17298840350718692,29.04820073738842,0.8074874841999002,2.510067722588636,0,20.484389989541434,0.18208855635596816,1.458936296769855,-5.433753365989549,0,60.054349887899576,0,30.081164989985396,1,1,23.112129499441178,0.9194930554961745,20.383104693601197,60.927989050663136,31.797937430963685,2,0,0.17971166404499345,26.424112629878103
0,0,-0.8837155055800572,21.40643981253912,1,0,1.0797822802440962,66.18909645829005,0.7619871112004677,6.280312147590942,0,22.329533282849777,0.2911938203361957,1.5200844635483985,-5.855149355669258,0,57.0963473483286,0,32.23503320454008,1,0,36.18737024655768,0.0184450374788243,12.569580385610827,59.196502124839995,0.0008229192544728647,0,1,0.4957591961441181,42.202584472854156
0,0,0.09009596357764064,62.29853179922691,1,0,6.871234310487285,8.683736216741496,-0.13329162141919418,1.653875928396444,1,23.086361788807046,0.844492100746989,1.4217893700359112,-3.1530927541680454,0,38.13170171530774,1,22.12105568141321,0,0,25.536450205087505,0.3080626126163409,18.606348932057514,61.477723663592755,44.18751708894407,0,0,0.3182188449135009,31.276924873535208
0,1,-1.5280044444054397,26.26981258867737,1,1,-8.61131104722104,52.33665426803533,1.336566879539842,1.9749404057136428,0,30.199592475483282,0.20239489127032878,1.535939333119199,-4.932366361470971,1,66.01249291226378,0,33.35830005573481,2,0,36.77833487908741,-1.2629376860798016,19.17790042965473,53.05819461399327,35.91602457809851,1,1,0.5519897179494757,55.47533956187435
1,0,0.1136763033392303,95.11469037836915,0,2,-2.2022749179978547,24.34716185176766,-1.547577574240015,1.5921321530845534,1,89.69233503345357,0.8081494618889573,6.952533304029011,5.888420284456933,1,23.00382753257156,2,2.7839457449861515,0,0,5.5577498613088006,-0.00017598577196475753,31.070433900080396,11.593982332379,0.025674857772323145,0,0,0.3831070217906375,44.00686586581191
1,2,-0.8112270239067633,38.84751163702899,0,2,-4.6774157121717685,14.407123504339436,-0.11008060580159089,1.7570448394486273,1,65.16009061525408,0.11796530245576414,3.2248174178273956,5.93813408101186,1,45.02899789583216,1,12.00469817422774,1,1,13.29808821442434,-0.9672654650072312,20.455857778465262,17.251635533993014,36.40143479435336,0,0,0.5137293429195307,46.02449277157996
