S0,S1,S2,X3,X4,X5,Y,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,0,-0.14997515429227265,0,76.66854424284676,0,0,2.9810318627005077,77.94880228492974,7.293639766816693,0,0.15463030738763273,1,-6.824744591182217,0.12315129462799512,36.28927945866217,-0.4529178575828971,1,94.70642550403224,63.357215162204724
0,1,-0.06279163995637586,0,39.56137207525274,1,1,1.5030443714135169,58.681004928941476,-0.32207533654692355,0,0.4358466873366997,0,5.796298050198899,0.26391662956346384,23.566513646528552,-0.4937896279398026,2,50.44344095876553,34.50396050168503
1,1,-1.081584848691099,1,26.47259975112004,0,0,2.3027136243443644,39.58961874654521,-5.5279024373422505,1,0.3633295919022751,0,-7.0626342043189805,0.5619934777949471,32.011776220481295,0.8185244530594491,1,14.5538583370784,18.27525556350555
0,1,0.16565368757375612,0,56.17944910699097,0,0,1.6604261415576502,66.6165318925474,4.742459560861903,1,0.18353173471206846,0,-3.0027990817412995,0.28649619691448813,19.84594863281882,0.4200301262909492,3,64.28266052502939,65.94555081498166
1,0,0.12971500172295125,1,34.0920445980833,0,1,3.4250232259091464,29.883824748790776,-4.662174328001274,0,0.6213493607847123,0,9.999692922616141,0.768105003228393,39.121500900786586,-0.262586543895714,1,57.36913705841713,50.16762560665528
0,0,0.10413643416738011,0,71.77851505664898,1,1,2.4441296299706616,65.59159213337949,6.947782179787275,1,0.3671941895940449,0,-5.096579424965487,0.16836807128837528,20.94577151098067,0.936391285260878,1,96.12880884160533,29.825454524461602
0,1,0.03893805981374204,0,50.866517640399906,1,1,2.8807239248966954,52.663670088409006,3.4727745812051296,1,0.4391924982056152,0,0.6155280040701605,0.4383319008380283,5.915436267452538,0.10664147158820099,3,60.25729381326465,53.7204061321248
0,1,0.9600860344780365,0,55.56442672075055,1,0,2.097262644917172,56.68408393884544,6.710831786911701,0,0.18400938423917768,1,-6.71097107936856,0.19310457714129448,24.000787653128526,-0.3238505673662215,2,87.40441311823291,37.63845415488588
1,2,-0.07034035792910857,1,14.689583654589281,0,0,2.4795635140396537,39.026253634402515,-8.60152880352554,1,0.4562089998883928,1,9.38690523863167,0.8665667967426589,28.01087602422242,-0.5898605472217239,1,16.913474720293625,65.48898286943722
1,0,-0.15843337031575755,1,16.202396925070857,0,0,2.50066437243365,44.13718849971033,-5.020387593560236,1,0.23453580303693733,0,-4.144154996406634,0.5930532578014034,26.386934410411456,0.48026449895350976,0,28.999253817769343,66.47076380302026
1,1,0.2619716607704549,1,27.59848686947099,0,1,2.0873479176152427,33.9894142548338,-7.1960329814793855,1,0.43457934899618966,1,-6.336016386058409,0.6986824915514677,9.884653753649577,-0.39300475652818223,3,19.322058377573914,31.734725666095933
0,0,0.03682505022394058,0,75.12343922406308,0,0,2.4748978682728184,73.06639543597026,8.365021707988198,1,0.178808161604518,0,9.847759001578979,0.0760928399393801,36.23823290125241,-0.5736658591293626,3,98.46472302815319,69.86619779390517
0,2,-0.021967482117371536,0,60.75070183584445,0,1,2.1237529219248237,69.9381882361084,5.801397942664007,1,0.3011050972018958,1,9.701494884141802,0.12400256301752699,25.20035013751434,1.0001637215991972,1,89.19976955163528,32.837184452918365
