S0,S1,S2,Y,X4,X5,X6,X7,X8,X9
0,0,0.3165331418886333,0,0,0.7594337747485782,66.19371921011246,32.55378115465822,1,2.8198815525342584
0,0,-0.15893610558416274,1,0,0.36638647391970625,25.510447592260242,59.447393321917886,0,15.371697864059223
0,0,0.1286705481492903,0,0,0.23029246510756746,6.234408637291889,57.41882021906166,1,3.701891300403238
1,0,0.2680463837596764,0,0,0.8999817713969792,96.72979494313361,32.58195501570703,0,1.85548772052628
0,1,0.19373452631630048,0,0,0.18692956584742088,6.998601948001054,56.25001592611043,0,6.635688705390651
0,2,0.1558202590573225,0,0,0.7251228329193824,61.512011159329475,15.279988474253837,2,2.2217872393211318
1,1,0.0667856829405184,0,0,0.6102776727292522,36.72673184058212,19.921154106575912,1,2.1771556874731797
1,0,0.11022731650401221,1,1,0.33385479908479787,79.59799640227078,65.33188244138601,0,1.6681920997697481
0,2,1.4755845699809442,1,1,0.60351626157285,55.144988291437244,11.355684604226157,2,0.7398656329222963
0,2,-0.7616282158654962,1,1,0.17284086506981094,52.69283288563178,28.858193902838003,2,2.763844881195287
1,0,-0.20816794419676357,0,1,0.6001712733754065,70.11816654062906,47.68378391368905,0,1.3617448695045942
0,0,0.7185049074950012,0,0,0.31164605292487085,43.38089358986139,57.17386227853852,0,3.330429970835689
0,0,-0.36032413417710235,0,1,0.2587088931995454,25.188917874334837,53.89203876437727,0,2.536258809941485
1,0,0.1754404651432015,0,0,0.23939110634814909,1.0981805953520662,55.05776022608893,0,2.3682867501201192
1,1,-0.19476558072638772,1,1,0.8886795134766339,59.91221413886502,8.444856624149057,2,2.95358527819086
1,0,-0.9374729064536683,0,0,0.9693452587426123,85.83227359088363,28.543069403566985,0,2.5948308244369813
1,0,0.32707620433473067,0,1,0.4457033166334655,47.02902406198993,62.22285620544944,0,2.0164619100894337
0,0,1.1138758632781076,0,1,0.2996096465975689,27.90106024794494,53.69498377120795,0,2.257224503987007
0,1,0.6393182762467781,1,1,0.32629004780368415,46.41869489395074,2.69623273453361,2,0.7365351015580479
0,0,-2.238897383533944,0,0,0.18741408951145172,22.457835956318988,63.49180158829171,0,2.766067206573414
0,0,0.4753719788717748,0,0,0.6614562326168263,79.28050153901927,35.37454361338801,1,1.9143555894359996
1,0,0.25011773095248363,0,0,0.8356733417805495,79.64918565085465,40.73113709897976,0,3.207583414387394
1,0,-6.521115548467507,0,0,0.7562876753565354,96.68447249759791,42.25989109373239,0,0.683843302669271
0,0,-0.29801854365735786,0,0,0.21736962656221692,42.738607653825326,78.37262435400653,0,19.9304165031482
1,1,-0.7534461017036964,1,1,0.510060491361408,35.17987518262321,18.48933267637276,1,3.1695636246502357
1,0,0.3234362600090397,0,1,0.46138130207889305,30.31026430044996,41.20755637053293,0,0.7139070366445505
1,0,-0.1367039313183185,0,0,0.9890613883095515,96.62466590597595,21.09851772251642,1,4.25537518005458
