S0,S1,S2,X3,X4,X5,Y,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,0,1.3212793644862126,1,20.993815466488694,0,1,35.27761497186269,-0.049592733805504996,1,-4.376848763842853,24.457918213305945,0.09615866413779589,-7.371313943602738,1.2223525196041995,0,28.535057263249417,0.42218835565152646,11.616486411578787,0,3.4393530760067588,1,1,0.4967939241256726,-0.5669370858275808,0,62.41711159081418,79.36691064542939,51.62451283753721,18.7104952181872,-0.4540223880381181,0.27227114012854525,1,2.1744384744112293,0.3773816053329555,0,48.07931770291485,42.9412254425283,1,55.116675658829486
0,2,0.28732074096397126,1,22.35898465265462,1,0,50.322606570645966,-0.7022730633131339,1,7.075385115976342,38.542163848485984,0.12794076559270828,-7.326058654981503,1.2233637339861019,0,76.21515900968427,0.4222312288103099,5.41102332619936,0,-2.2497152703950887,0,2,-0.8899524306184871,-0.7405997165113254,0,39.29649549356323,50.60151867979188,21.067674089600658,31.831348470412905,0.9676468039363404,0.5006259247583094,1,2.3563670317254,0.5719143672762999,1,24.9617856438543,46.84612357200796,2,5.440775513086873
0,2,2.0324528620069384,0,6.905553010090115,1,1,83.79506915423774,0.20062303011275126,1,9.04302721224759,20.985014269233943,0.07436160846587558,-6.457075239436642,2.045011643359502,2,21.31772561367417,0.9267678519118622,2.822139071221035,1,-4.462417572406703,0,1,0.7024646077486095,-0.17360506937825562,1,47.055955446145575,94.17065408756378,32.375831401496335,17.216520261212132,-0.8164276953965023,1.3271379128194651,1,1.6661073277413634,0.1648093690450806,1,48.692723429646904,55.2879779360914,0,12.563294037484706
0,0,-1.259885295557713,1,38.457882441547724,2,0,28.866135299855944,-1.172195705429812,1,-5.018269174854782,24.53762609115742,0.2502792375724239,-5.057851991606888,1.1934872749095682,0,70.64292544655837,0.2178050456303805,11.117644957548617,0,1.404459563486391,1,0,-0.9859048414671493,-0.7657604512292118,0,66.56200400046981,3.992545617748533,65.97899348059352,35.121946012510506,1.2677353038927457,2.253878479822864,1,5.626329655200661,0.4466583787622444,1,22.320469691322987,4.383004217970987,0,53.286668546322026
1,1,0.7958200280809092,0,5.908226154814795,0,1,37.208175183944256,1.3776527287179554,0,-4.118843342680378,21.290416455232517,0.705126743663726,4.8763592828859466,5.800020556210801,2,28.631039660891826,0.3191803664983158,33.86777563335698,1,-3.03812814800676,1,1,0.7789966821234834,2.797407091357136,1,19.626765428658754,94.54887518428461,57.286286480767345,3.6771331631607396,-0.6507323351866656,13.569350331573505,1,0.9152093923719801,0.1896757910110391,0,66.75461614857281,95.14911106890432,0,26.911363204530723
0,2,2.085742809984326,1,23.205485333097773,0,1,88.54877063197092,1.0127149859479416,0,1.3220013875101024,29.013676357454283,0.5639581529960538,1.712875739597946,4.419615744979512,2,57.02664907041292,0.5878513491115315,16.62870896914963,1,2.9650187069482996,1,1,1.7618628076109735,1.2284361833642417,1,67.04388193465593,78.76283717799917,43.21664925636033,4.055960089345989,-0.6336927749223926,2.072998491483998,1,7.626170095844793,0.0682629777523644,0,60.890346050704196,29.395309384703904,2,9.742746546326071
0,2,1.4160798827359573,1,3.0760469261578716,0,1,26.468395251640846,0.44576649777316535,1,-1.4511852358075839,55.999274682011844,0.27351742553738984,-5.978182673931746,1.7769460369010497,1,25.41437986764528,0.3534173283217259,22.12032232814692,0,0.7432122012580926,1,1,1.3918274592896829,0.6684238295456698,1,45.93217572009895,97.41305189263176,19.814319174711876,6.774960704259263,-0.5652844894456409,1.7401220653632972,1,2.549454077751633,0.9851339800777317,0,58.537448540303615,72.15014632435116,0,3.5751919385493114
1,0,1.8821130848324574,1,7.150682480426241,2,1,73.28130991265367,3.616518435861516,0,-1.5337529644089756,22.733629266000392,0.8939567969203782,9.36175918534154,26.905006765937088,2,15.18411698269022,0.31570739901446687,36.4271965749399,1,-0.4179661357818514,1,0,1.441439467430176,3.105134942491928,1,35.61523402960819,97.22123239450883,18.730378704484412,0.7175753762094228,-0.776909460283342,26.146284974310593,1,2.285961219271058,0.38722979013674547,0,69.35466864140398,77.24618910881979,1,35.899443670429775
0,0,-0.2142449794690354,0,18.428839688574943,2,1,68.3993624020354,-0.22844170174477277,0,-1.571389185957484,28.461242299796385,0.6220199678098942,1.4038604369737513,2.6532358657368316,2,77.46521473624283,0.6131610080471088,21.652816816579566,0,-5.062736985173971,1,0,-0.4136223774170583,0.21337189130831152,0,39.80243191404098,47.146861639888584,51.900312721338054,17.80186418377881,-0.4567088106830371,5.101300693667808,1,2.5864242954159327,0.4223491671369319,0,54.137222028050836,98.38628298669583,2,52.69842825150469
1,1,0.1853736555469348,1,8.736392880626136,1,1,39.630980519872324,1.8388739039560853,0,-6.422136330762318,22.48511652706143,0.7927732462219431,8.058035759512407,9.28500121041892,2,53.459034484390514,0.3046056650219149,34.821178481699,1,-2.026305464300541,1,0,0.4526877130915112,1.6383689079480634,1,29.25475705190739,68.03496466072009,44.07116621433087,4.484076029535782,-0.6468282626782715,2.7828280117361492,0,1.4220074072418825,0.7266432517611736,0,65.0777601903572,66.76086261941283,1,59.43736144205927
