S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,X14,X15,X16,X17,X18,X19
0,0,-0.20174411247793453,0,0.8614599316464926,9.722959327063464,-0.5465058289918618,23.93666339315538,2,12.265377907627151,37.22152907453457,0.2107689884883897,0,0,-4.516511040739264,2.5105146678557007,99.58208109632984,34.88377619486467,1,0
0,1,0.4586757215487797,0,0.6473124498006859,11.183899134186603,0.02314602547130613,19.38728935327792,2,12.525273891188498,65.26281379356028,-0.7811010827827957,0,0,-3.480342357893127,3.6487406109342007,34.621415930592015,35.332087921676845,1,1
1,2,0.5328240394470782,1,0.6522589210466196,78.17963807861761,-0.23912031262465025,31.55264620295543,0,36.64188147770407,55.41479390977235,1.3620953337334676,1,0,-2.1566955500715093,4.164288724760583,39.45901981658735,68.13196325322214,0,3
1,1,1.4064663345831374,0,0.767511857274461,24.601820172219774,1.100087119959486,20.175488733376373,0,25.00421746056506,38.90815582661009,0.594984630548595,1,0,-1.4684020751574494,6.966772900408291,32.99743076343892,52.305570997078824,0,2
1,0,0.28868525320205785,0,0.634127486029964,16.267317136190297,1.521398476164368,83.74465669003261,1,18.424045486159756,40.024730447891784,-0.5065814404320045,0,0,9.46990462030318,2.063721238033085,27.3381195794551,30.900127839543092,0,2
0,0,1.1635146282707134,1,0.11038076042824502,27.700452116166634,1.0640865871703058,84.45550110601859,0,9.285066042720496,30.861631851786726,-1.1796764757849194,1,1,8.209819895196997,2.40467739743433,37.27804846386497,27.61007365709381,0,1
1,1,3.2741921862192584,0,0.8502288595289573,74.7599017063632,-0.16502112511831843,85.47494990541206,1,35.98198839640338,49.10254873196941,0.737458592598508,1,0,0.3232663758310679,1.6963714056445292,38.611878537440255,48.371307749872734,0,0
0,0,-0.39201600422651267,0,0.4117756137764729,8.246135618841915,0.10817400620745275,31.812909803678323,1,7.958225901852374,59.897835482748334,-0.5797089824616705,0,1,2.2119703635250367,3.461333126637341,38.682034811381314,28.616539253070634,1,0
0,1,3.240304228963919,1,0.10470680061188237,21.991246191711976,-0.045068441666300925,99.88780992667392,2,5.599756228046379,57.65251201890577,-1.9144024337632697,0,0,5.303308875446762,0.3342554770837393,37.29722629677235,32.09501552663039,0,2
1,0,1.3516093994485066,1,0.5843321159305667,36.08814654452276,1.8883225159330037,81.21859780982425,0,34.92673769023473,35.094552430701654,-0.17577906761237636,1,1,9.767705520104517,3.6293935433694378,0.1112930566942616,30.17347747585066,0,3
0,1,-0.7584764692561888,0,0.005042872543691845,7.259440008150864,2.20348221645044,99.17836933795179,2,2.528320514219613,42.72597765395165,-2.512415071984122,0,1,9.637775676394629,0.46354162727012854,29.292186406900043,27.121176551315813,0,1
1,0,0.19905688737404897,1,0.32155736892190445,55.127319536738106,-0.2764025036564067,74.88679013837509,1,23.98883261600975,37.93961083638709,-0.03918513222072098,0,1,1.249880382636535,1.0172386743017257,36.78592680655441,32.11988926037377,0,3
1,0,2.89061159665201,0,0.6650304058538388,35.047702522598854,-0.2964580823609505,96.02652114321091,1,23.061364774161568,55.66789848254255,-0.4554607604685527,1,0,7.797705628398958,0.9767920567115292,45.75692212286284,31.923725112351107,0,2
0,2,0.6291277137604995,1,0.26780684239224667,51.12900212095282,-0.3369604103844942,38.55470844549982,2,21.286268843380682,45.745945934063556,-0.04255425667976303,0,0,-5.162240820704423,1.3208389766623605,24.15540737715922,32.827855758713945,0,0
1,0,0.332970626422621,0,0.8410199086559964,47.808891562500065,-0.8620565108331708,11.428311836329641,0,26.691584476277757,28.117697708252877,1.1257041279307687,0,0,-5.579983711484132,8.115537100038978,91.71266649647842,64.6558327568306,0,4
0,0,-0.5816244411187298,0,0.2158596971557732,16.42101916389432,0.3944005985696167,53.94515692152115,0,9.138601639785293,26.376739515313922,-0.7205105533825773,1,1,6.540805451724129,4.405372820393976,75.40819722770789,30.475049558416238,0,2
0,2,-1.3690979153953542,1,0.07838306249209243,26.840622470531102,0.037219680292280434,55.81292688209307,2,10.749470894322188,41.999207627677166,-1.2482799720291033,0,0,-1.6713992138405107,0.21907330884751955,35.27312547676318,26.611184623740105,1,0
1,0,-0.17577595540438187,1,0.9191839156703752,66.53640178386432,0.9362793655687757,15.423978457803983,1,39.33046356163132,24.849587813855507,1.548741217708026,1,0,-1.6773482440049143,3.644447265604864,45.34012285620418,69.11757614697518,0,3
0,2,-0.5149747524363618,0,0.2398368571564704,15.040795393500424,0.05260806356150321,64.34849026649398,2,8.06098497953396,32.64874122476873,-0.8745953845180894,0,0,-5.018885273773917,1.1159841286097343,33.491673171547745,33.38365333903134,0,2
0,0,-0.20513867378794548,0,0.7516530762274645,15.92259127729342,-0.5842086373445712,17.190342811088783,1,22.03086831507056,41.2367606491785,0.21275752046563565,1,0,-4.754169651362745,3.8829470011636213,44.156104101072366,35.32577821240259,0,0
1,0,-0.6963543542848227,0,0.6187446737551121,2.227913410978739,1.4107991741984003,23.359799331198023,0,8.921621417643808,38.93035864481422,-0.5048251185116414,0,1,0.393530272406613,7.681862258582532,30.02153589400204,33.1410264764004,1,3
1,0,-1.1939513554842343,0,0.12883294406331292,12.69646398960743,0.3388226568846738,93.04718745577647,0,2.3871475946291976,44.5761142749205,-1.306080546905462,0,1,9.06859684164462,1.6455764364969236,37.123355229920186,28.338517585264814,0,4
1,0,-0.8834242960673359,0,0.3407366746500967,44.62044324131526,0.3754083214169159,85.36618601789864,0,23.356189080610665,55.466268882729864,-0.24321670212980775,1,0,8.031361610830338,1.4889904752121772,32.49613532230756,29.28238937254406,1,3
1,1,-1.6400483238275598,0,0.8185118191592985,30.220768105809206,-0.3859997271346559,15.501809424148416,1,19.757896136125513,52.294242508122394,0.7191282783005338,0,0,-4.773370877587665,4.941159409301362,81.88545606759759,54.530946587195324,0,2
0,1,2.9778086254914666,0,0.6042234577032981,21.037412972691698,-0.20599744540958026,85.99080759475953,2,10.707516966812914,39.09055842220737,-0.4726208772229049,0,0,-2.7740658162149696,2.401184475666814,66.53181483845432,31.519819892325497,1,0
0,0,-0.5777268456140969,0,0.9979664977253588,20.17260220145724,-0.636486020968592,33.72327744281688,0,25.679901561618415,46.17083068088934,0.964314056945232,0,1,-5.388372422761299,6.018357418046325,99.98264175763241,51.287143712971705,1,1
1,0,-0.24053912890828535,1,0.45043924177042066,21.351475909978063,0.26113354164252384,75.36090978843777,1,16.172387409358972,42.02921239813594,-0.4724999190687027,0,0,2.847894728391701,1.7730993761171632,78.8993412236403,30.948286608940975,1,1
0,1,-0.4026877664505264,0,0.47174070554443054,15.941550802410202,0.41719298560517754,73.31681043370635,1,7.238011827861177,46.686517533770825,-0.5121159454643084,0,0,-1.3415043152592645,1.2171141750789065,29.776861767170082,27.72486807485216,1,1
1,0,-1.5647541039007211,0,0.7421226557546001,55.80453355870474,-0.9793699020387143,31.299940501165302,2,27.246286046126755,52.26513064454363,0.8312731405787882,0,0,-4.135921257313889,2.6953975047468948,87.72992483322615,59.79790472402384,1,0
1,0,-0.646298337724131,0,0.8269656536010366,10.077731317404703,1.2348105293956828,20.507794862444257,0,28.208360590008148,36.57981616468952,0.5726657309314286,0,0,2.1544849287827503,5.278697581487658,36.992578369414375,56.72288779671346,1,3
0,1,-0.822730807244948,1,0.14531204709296924,20.17027407053797,-0.2496689665052083,25.888316422424996,2,3.956679449248919,31.805397913956455,-0.6812150140810211,0,0,-5.149336563567931,1.3584701178505652,38.31598688763022,33.914559059142036,1,0
0,1,-0.3008235768562339,0,0.10148606272854221,13.712828021457542,-0.6449872357776805,52.719522985137026,2,3.145318287628469,30.398345973858312,-1.191664074532619,0,0,-7.846314052559169,1.3347516120290386,30.19822326578755,30.13699367792296,1,1
0,0,-0.23683121440826813,1,0.5950897585620577,15.721433459238128,0.8312520468543415,22.560072723254876,0,20.287427072347167,32.83071316707835,-0.1002116266728654,0,1,-0.23692015329505622,3.7924256508463516,40.12358275725983,30.597207530662562,0,3
1,0,-0.0838542895513572,1,0.9708625754625967,77.42104367970899,-0.03285522536991504,51.557709484703494,0,39.440449497986314,36.47454636259907,1.8809838297905452,1,0,-2.438452496254558,2.809754657712137,41.574672263662826,69.36693702406532,0,4
1,1,-0.7458865441838525,1,0.8256804121562468,69.63628193296742,0.058138010045339666,18.004908447388996,0,38.36491529482568,32.382661660458936,1.261079077587223,1,0,-5.714225952319705,6.375731108565764,41.499794226024854,68.05364742661718,0,2
0,0,-0.5566257121021487,0,0.3674541269422237,21.44140701284858,0.21207248002343917,19.68090287100855,0,6.974906028020236,58.254333730363875,-0.1814751013895994,0,1,-5.0390622531723075,8.662897054788406,49.92488203333862,34.04812219132285,1,2
0,0,1.0668323700177196,1,0.09259715116602962,12.315179707765985,-0.10905787489558433,77.91753544607504,2,6.620052630622338,36.43295537523882,-1.4595769012564428,0,0,1.4424334126896916,0.880262778435592,48.593567003014904,33.337173680098786,1,0
0,0,-1.3152585629830529,0,0.5000725752090548,4.917689412243691,-2.873086224235792,82.72611643277025,0,0.6755669059464031,69.999998190202,-0.9945658017123091,0,0,2.144614104787024,3.6147038245736165,99.99934199854108,28.285294000009706,1,1
0,1,0.45400431449439527,1,0.009091296774809188,14.701910386606025,-0.6529212055715266,70.79357178623069,2,0.4452147085531011,29.061075670456205,-1.917997845328427,0,1,-5.473908225554536,0.5965748783098139,43.053422752335756,28.136927215867154,1,1
1,0,-0.738023013619092,0,0.6201978620786099,7.256012486284242,0.8623432745105538,28.802556460391326,0,8.77782726358927,46.7161886901598,-0.18115372173554914,0,1,5.9740886705151475,5.834653066533892,34.56787210984594,29.9759254818888,0,4
1,0,-0.9035681268704645,1,0.854144971113537,79.64084003109475,0.49665523656492294,16.391807873779495,0,39.61419959094458,50.35727716558787,1.9348744980084578,1,1,-0.9044662080397874,5.929541506988748,38.440950645099235,69.83853840538833,0,4
1,0,1.5805239571781757,1,0.529502849862743,60.41339802507746,-0.5037119267529536,97.17950735835777,0,26.102968190801185,43.026385094830474,0.4483559744306715,1,1,6.8562149772034715,1.1440153909474504,33.391835077247165,45.44227319404166,0,3
1,0,-0.09791218799924799,1,0.5629197761043587,70.29790576949851,-0.6079152598659799,39.759185444398945,0,29.2842945550489,35.95416549448106,0.7735993578990336,0,0,-3.5681362571202646,4.4133585539832065,40.13766895555042,57.64497850554395,0,4
1,0,-0.08961692241469663,0,0.8423223439971004,21.93029883567986,0.49816875180464665,40.266806780185036,1,29.92130268645407,52.988286027920026,0.9868038836979304,0,0,-0.7014560747161145,3.552221597293667,59.082274791620804,62.13200300868694,0,3
1,0,0.19072626022348388,1,0.6617096634270945,21.586073556149714,-0.2733575807690317,62.81753221963565,1,26.871385594844902,52.925383459387874,-0.13670067220943277,0,0,1.8098917780481738,2.286715628958345,48.43541996177614,25.505879671320304,0,3
