S0,S1,S2,X3,X4,X5,Y,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
1,0,0.7721803886518551,81.10019457168325,0.170315357942028,1,1,0,8.208289508223704,0.8412375267894441,1,1,0.6668840080301641,21.920885366788376,45.00742995536923,5.302168688552754,18.039244161645918,17.027325358374462,0,41.9973353378718,0.42604134103214725,27.562773673272325,3,1,5.828103322604255,-0.18066354950346397,28.704398103553498,2.1428395004442096,1,2.7119502306131444
1,0,-1.2814076417548006,72.84010584086076,0.7143654883751378,1,0,1,1.2525613790606815,0.20167020089755128,0,2,16.93492196034444,21.268762212644123,26.208975753527852,-3.5551768391685457,43.99718004600987,11.709507469245612,0,6.839991140189632,-2.1646404285082697,70.57616192317175,3,0,2.65569490932171,1.025136707379087,30.896928392239943,3.2857696449013107,0,2.1966074905557162
1,1,0.10726723719891341,48.69692071370238,0.48812888006846555,1,1,0,-6.114846725588336,0.6828409603335182,0,1,30.95391083060809,34.36034711729131,43.24642141129408,4.662129282361722,37.47987713231771,6.5374134212172486,1,46.006447971563276,-0.6649166199173966,11.26095989369579,0,1,5.786246270207522,0.12913469820406007,37.44901715774886,2.752370301352962,0,4.132132449753346
0,1,-0.6197286885189739,28.93259755948703,0.7768551115860375,1,0,1,0.8960268271989378,0.23246503457592815,0,2,33.20692555359897,16.921382546295355,36.93700706471388,-3.4826166418569207,35.248113892055294,28.247357747612586,1,17.93097523586291,1.4013382264366747,5.99806726031904,0,1,-7.650117716949417,0.041679370066861905,34.629037497325484,1.9411107319243137,1,1.5608137404148519
0,2,-1.0088144794216705,20.470379517361913,0.8768043603626711,1,0,2,-4.607273257885032,0.21120203799188858,1,0,23.83579558071803,29.046750423131826,27.888230789615847,-5.359198561964221,43.887427291824594,30.662261573461358,1,8.965677948830173,-0.5631450613395527,22.154274159294182,0,0,-5.405652572236641,-0.07509736958600018,73.76004682443981,2.389834226021571,0,2.859671582675322
1,1,1.6407117439712,14.280191651772734,0.410877893959106,0,1,0,-6.470326085626422,0.796198738803612,1,1,26.03748119723731,17.730980598372945,66.71355942350334,4.683307235729258,37.82856818732688,21.87833035112517,1,62.356689132381256,-0.5781847177112983,23.89312672484507,1,2,-1.1733398222636549,-0.9974802244206924,29.795262283996678,3.332260552178255,0,2.1411063452592054
0,1,0.6543607503527517,30.301179076381178,0.42500981651213077,1,0,2,-6.391263119752272,0.21619898235644647,1,1,37.370738222892655,15.513721303287518,56.53589487722302,-7.650715875576898,38.50238195485065,14.578849640789926,1,35.12458759203536,0.8114357617131145,39.59484164391166,0,0,3.565679823045043,4.656544506430888,93.81247165795178,2.6321559185168533,0,1.7690937493260877
1,1,0.07598662775057001,54.18108802756733,0.3907563062765463,0,1,0,5.9957273470091295,0.7124580434696403,0,3,14.618064134638207,9.939672907752769,53.14381628973213,4.221645265367275,66.22640079657876,23.24273262743556,1,39.09826062026001,0.005834890757482295,8.12276480696655,0,2,-0.08698648335350079,-0.597027229497722,34.022922689613466,3.3306864103107414,1,0.6930621476527723
1,0,-1.2646958498588514,34.28488722580583,0.8724713332556524,0,0,1,-2.5874435679306798,0.213924032362107,1,2,39.90211766932026,11.985789555241148,20.209803630012487,-5.712902114204934,55.439846719033184,4.660277827385917,1,21.435512576178297,0.3381892210331892,18.3566296531519,0,0,2.5359409639680983,-1.0319745381696948,50.512251898532035,4.305621542492421,0,2.653271540378032
0,0,-0.22669116172526205,43.81247948252354,0.7824301282382108,1,1,0,-1.2505305825226358,0.44822242530265777,1,1,9.647211292504283,14.7904868832,30.86192586046065,-2.3792754092901376,36.754140166544076,21.007273325029953,1,17.244294957764748,0.22736464712588741,48.016445885543995,2,2,-8.628076458048847,-0.10158155001807719,28.879669760157924,3.9933127877223016,0,3.511647080333526
