S0,S1,S2,X3,Y,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,1,-1.0284844454060726,0,1,79.7788495217891,21.668178275663884,-1.9531376779198482,0,22.09865012664341,0,0.3134899725863777,18.661674904419993,2,2.592601006438958,55.810650499610446,0.13360672773034146,36.09865117203778,0.12388905369351873,0,0.3686771682608524,0,2.2919220503217246,46.322854538628384,55.156772537942395,0.3381473771756533,1,1,0.22380750453936016,43.35377673679819,-1.7786596592773294,12.225093448133434,11.881098991710001,2,1,1,-0.7582659272833752,10.093568426696338,1,54.73791966674743,7.20653819156853,20.847064067594275,4.170857692430309,60.5420688020866,0.5935891421715578,3.0173768441532802,1,0,26.94084220673355,0.3147994749824058,53.49686749524495,3.521521801353235,54.10332436870063,1,0.36263024583945747,2.5928870507358557,-4.370937829419132,18.766751191784845,0,0
1,0,-0.5186922913206792,0,0,18.24170229759426,13.478966179214215,-4.20304212093361,1,9.858660693325707,2,0.8560803918655648,49.18904890790203,2,0.8916611212930388,21.998417179364893,-0.4634368440149393,56.80340655579314,0.13695148149621397,0,0.34831070665720953,1,3.5615817535226104,66.55492216081844,23.588732992115478,-0.19411063176075447,0,0,0.9410402033113019,6.471790154797721,-2.4305515444075367,80.91328036095176,37.08872103389034,0,0,0,-1.3275220130782976,8.770137891639427,1,32.10008574030029,4.829680185748648,76.55093124364753,3.545404985698588,32.47219928592876,0.1627630967663169,3.206006020938132,0,1,10.67512122157627,-1.2365413699410315,48.77530135362083,1.8325716882816026,31.705727945507192,0,0.5140024020153078,2.102156539484625,7.7769368560215,74.00127733195633,0,1
1,1,-0.1059886325461422,0,0,93.63181850884025,8.257915063871595,-3.8633430178932233,0,14.980552529217102,1,0.3524030836743118,69.7915869472982,0,-6.26817121846435,15.866606252099999,1.0620775627928152,36.037752728965685,-0.8782234962159705,0,0.6321077671033842,1,11.853790481983951,56.0100951269811,32.830625855387055,0.13850194349931516,1,0,0.6335931593500056,14.235476978281971,-3.2756747195369034,80.15777809188947,27.04452065828095,1,0,0,-0.781197365395963,10.2575598468779,2,44.84813641208624,-1.742037427956987,62.64408181588862,1.902743147590314,32.02411427214711,0.8956287396924425,0.4603127521366472,0,1,23.816166526031783,-0.9856686670013809,48.20231176892055,1.395705919621007,34.35936708063672,0,0.5772921029280551,2.2631754351383013,4.969439622006352,44.25950266970136,0,3
1,1,0.965639412041691,0,1,26.65827967299113,13.852419842055102,2.325264301204257,0,32.97713959782661,0,0.3018028137111328,55.407611399284605,0,-5.709021207451298,22.852842303873704,0.7471418172098626,34.5775691249039,-0.8383872223243675,1,0.17718600724862782,1,3.453017832921131,29.118165295137054,45.07085722237649,-0.0038725348913959063,0,0,0.2554633366569433,60.670373219517955,0.27114111938582136,29.114861752878653,10.227173860469117,1,1,1,0.3795355697485885,32.45120549241588,1,38.05976109837158,-6.608005702366428,18.704970042015635,3.0506511957172995,31.81816074425089,0.583375673273876,1.8839187945879228,1,0,20.304301951986254,0.2912100691500117,58.82940245416057,1.463407696389872,38.694012140396765,1,0.6183660462651335,14.381980632256905,-0.5817077319190549,12.009178187628379,2,0
1,0,0.8882879864156578,0,0,70.6847741248876,17.862715642277692,-4.825724776872118,0,20.303958899863986,2,0.8516392009514777,59.97456600426537,1,0.25575976769091824,16.88273689249045,-0.4521830066834988,27.7110075971694,-0.4152981474480547,1,0.632151550498132,0,8.06024707929535,94.72128783483554,23.13399012287774,-4.461915220112331,1,1,0.9754312714058084,12.360255732652416,0.6832606315719661,64.95912876852205,39.78877011215885,0,0,0,5.707297401546331,28.667860795307902,1,32.73795053948022,-3.415143552215687,79.09408772427675,1.709930114216406,30.747334701822588,0.6226757870758525,2.6332642235017434,0,1,11.280727930497317,-1.4232102287803963,46.309344905052754,1.5960686684939294,34.1146239907153,0,0.9840446991634603,3.3816812938754164,8.91855242249256,77.51830965648787,2,2
1,1,0.24062818326621194,1,1,66.11754473717848,11.634039396385456,1.7377872232847036,1,13.759693383010369,0,0.3168902409667429,55.17278206464166,1,-6.162095168661593,23.492545390577572,0.5224471588958237,35.77954779657176,-0.796752564699966,1,0.389022762250097,0,2.7598610917474327,55.745753392535725,54.817514611287024,-0.19597709124733362,1,1,0.2158938757638706,64.6390687839675,-0.010364604510804185,40.64185701986402,9.714284963184136,2,1,1,-0.668942617686902,18.63789160139236,1,49.53580965067464,-6.5216379685677195,21.21304378455031,1.8475189550128017,46.32645581595733,0.17551681868707902,1.1814937413190958,1,0,25.63898442771015,0.6306322445074489,41.05758561732462,2.5157129452546143,50.5674316342058,1,0.28262047266263524,2.2842370724368073,-4.284324694259862,16.28482692345345,1,2
0,0,-0.5208253586687472,2,1,38.79335372491456,32.99445482109992,2.222999299457376,1,19.285789236414047,0,0.2872003986034032,33.31451305557102,1,0.7521169037818591,53.512481168763664,0.18294216398347318,34.92122183142595,0.29178405103726623,1,0.5066415768799619,1,1.2754728638762554,82.29285562000103,49.54344409701295,-0.10771758996057494,1,0,0.23782052075397675,43.5989792958608,0.7215135515044092,65.61787222269055,12.623761027862335,1,1,1,-3.7588263077391275,9.312740604905304,0,31.82675428808814,4.531834319414596,21.2133029741927,3.0657077301953377,51.326911399804395,0.8720605129429114,6.597909895888829,1,0,18.810557946169805,0.10758232464704379,50.44891078329172,4.956642914638692,43.343419631024915,0,0.2481682100502951,2.2865997067854757,-2.596389705868418,24.211616646473697,1,0
1,2,0.219562905471431,0,0,91.6353564722448,16.970565516292446,-4.024817450580683,0,16.89170083920669,1,0.3065961291658962,53.57330027186231,0,-2.243940257914259,27.609478565720966,0.7328056727233306,34.741460710567,-0.7880066764360864,1,0.5714785251964974,0,19.025231014212086,58.515012192018155,36.062774830126585,0.12697736260730044,1,1,0.21532292702560996,23.680419951272754,0.19006119011941552,21.06121052037453,15.43193663469266,0,0,0,-1.9194345676777491,11.030184038876513,2,52.138942493803455,-5.288802661519569,33.05235200072245,7.085656128114671,33.41827465766265,0.950563816799602,0.9940878236637141,1,1,32.11986645689552,-0.5302090867950369,48.22904423614091,1.9201877016047868,34.076853022500856,1,0.6313521576792064,6.998936636418107,2.3896527555212277,14.667637166146203,0,3
1,1,-1.0850149189555038,0,0,95.44298262798377,19.5582756464763,-4.827059583770634,0,8.957128100837759,1,0.3192692914690327,42.35620833076307,0,-0.16734438649718086,37.046437004805306,0.6131301806922879,34.19378661842249,-0.7409658500911243,0,0.9970885080012296,0,8.33440319051958,44.42113040044655,43.71353575660173,0.13000680007826543,0,1,0.3524516219050431,16.628373233675173,0.842516682321601,27.10820145353355,12.93320818267192,0,0,1,-2.4485403429580224,10.535716826128168,2,32.51454504924293,6.738012496394408,29.54494935322024,7.011492073885434,34.162021826930356,0.5793979228390477,0.821331709070309,1,1,27.112818942851014,-0.5253592897692625,30.652455817633484,1.990946338220266,32.189380333282415,1,0.21023715509911634,2.344599976626027,-0.06186579763937772,20.473839548061996,0,3
0,0,-0.3770147048501211,2,1,37.76077057268494,19.06539954184633,0.41694357472935906,1,12.694573295100763,0,0.3190486292301583,48.426126357126364,0,-4.1072716824677125,29.814645193155425,0.45501754437273695,34.656693380555254,-0.29673044353199884,0,0.5663726699643913,1,1.758948340886664,17.166763528675915,49.84424221587467,-0.8682702228764089,1,1,0.30540065583966003,44.803118769892805,1.5865728928108347,54.962781701997955,11.704232262131171,1,1,1,0.6223158916161236,11.851013550782405,0,27.496993179652623,-0.9953609147247846,22.29094990937603,1.6560344792284567,45.398767747598214,0.4017276348087101,4.2325909890415865,1,0,13.557079422683858,0.22239459089620092,42.041236989403686,5.447683046823201,37.02539741045576,1,0.2649539116560603,3.6936701284188507,-2.529594790104694,21.89768082629446,1,0
