S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,1,-0.6083475990088582,1,-6.086547906253124,33.64342559952077,1,33.20810117072625,1,-2.677382281814147,35.15325614281832,0,74.12040414846793,62.91285717241472,0.24853432343729798,0.8662722715149569,1.8792341280943274,1.0751072623579274,35.091772645194816,56.72793469025382,2,3,0,43.144746707704705,3.7746905682735523,0.9999972963510235,2.213665780560898,0,-1.1587785342363537,0
1,1,-0.019885467664180805,0,-6.463221331955059,16.570684498624285,1,15.604040072061679,0,-1.6014397150819697,37.69524367785479,1,44.06503551210242,22.534301784391985,-0.4446392447676232,0.40424884586565824,1.6459792349196063,-0.8886542741201232,28.917514376154262,35.8597484352909,0,1,0,41.85012576923421,-0.9205147936821021,0.4482834612187485,3.213808611597327,1,0.04706796837740522,1
0,0,-0.7199628360493413,0,-2.7348253965187386,15.360076589323842,0,15.026431532922896,1,0.6395301279205494,65.43599462179881,0,47.11770513276717,17.4355225908893,-0.3905129051571917,0.39953734252249506,2.0293180405101547,-0.5361312811066631,43.718247347204574,28.350438355063652,1,0,0,43.677447199898815,-3.0522281665039355,0.5435377418459867,2.1667586529459437,1,0.7685940177124673,1
1,0,-0.5562868835648123,0,9.965773386559018,2.737287528487482,0,2.583633207219511,3,-6.473991085650813,46.38775477038383,0,22.590975612592967,19.47196283757943,-0.4986382155556953,0.05589865512918363,13.606853166095881,-0.7515742737227611,14.25400785908842,4.715078729513418,0,2,0,44.28687564101086,1.6518334396242587,0.4620590235583832,1.4858093464188968,0,0.031069273240073046,1
1,2,-0.44580941192187085,0,1.151851836840338,7.808137712902212,1,6.069413829461787,2,-2.406377051415868,59.992536700638844,1,90.60147304263259,17.221971543658277,1.6500072513735424,0.2149325849330353,8.856111770314772,-0.8053361356875728,42.53981846606891,57.22238720538595,0,2,1,48.310911130895036,9.800883353866205,2.7779086516632745e-06,4.7409158903193305,1,-0.16983187715161988,1
0,0,-0.9911889984001349,0,5.519093658555933,5.336675004233779,0,6.070801013740484,2,-1.3582104064035647,47.661340191965294,0,64.83612762065789,19.751861433653275,-1.2311275702298952,0.14864013296728878,12.516427165080204,-0.7683398755894689,37.21657556070009,29.808253985440327,0,3,0,41.452166607923985,-6.051124702258167,0.5348872992538528,1.6435492929255453,1,1.252071602427612,0
0,2,-0.6402528861251497,0,-6.0117559987758185,20.921560446800918,1,19.223943564807616,1,-4.567058787846856,27.678879914153974,0,86.06219676338034,18.566077337670613,2.676686722195566,0.5415759389019935,1.8308876085148609,-0.4909999543891203,17.90810343826102,12.52181329750333,1,0,1,40.44147480239165,9.930716963529154,0.2807130978699267,2.994723493763711,2,2.7299561659848313,0
1,1,-0.7613253929248224,0,2.9998406272277514,7.464672976274067,1,7.569306153595294,2,-3.4129638141599923,20.155206406359373,1,64.78134064946737,21.647851271237997,0.11360734319846157,0.16155083359364925,6.429658931250545,-0.7048709240246491,31.399062168575544,31.62812150938946,0,3,0,55.421598677656526,-2.4253791942210494,0.5264195628515345,2.352953098459514,0,0.8652893675547557,0
0,1,0.37911582969503277,1,-5.4052148994695015,31.360600449106954,1,31.2125536851017,0,7.328146471701494,61.891472011310434,0,62.12590571650081,56.241380225793705,0.5680570733354434,0.796666696155707,1.9277005730756163,0.2939393654848566,58.73250227628283,50.940525988045124,1,1,1,48.7786102915603,1.273396456906708,0.7392450197504581,2.691480151991226,2,-0.24388484008975378,0
0,0,1.6802035523361079,1,-6.012412742985619,37.95223670397331,0,37.973333681774946,0,-9.108485988050548,49.36610726465207,0,47.145261538221106,76.51063016805506,-0.8259493217930103,0.9510246597884056,1.9089072599887678,2.02563405478751,97.5473206847515,63.78985258562661,1,2,0,47.35399653749138,-6.6270394204730865,0.5151139496522662,1.1138871123399847,2,-2.2309928131809516,0
1,1,1.9454105116725238,1,-5.462577097496175,33.19209456571488,1,32.20604241046012,1,-7.332179422405521,21.800636564742845,1,63.24317555767465,71.19998263478656,-0.18704402677710188,0.8076191801482547,1.7455819252755094,0.5629100457742306,95.56260735582748,79.73573139002201,0,1,1,39.72556849615658,-0.6301725324664726,0.44651392979102245,2.7317882083785467,1,-1.3259652020546016,1
1,1,-1.0308544741388743,0,3.084160359984649,8.484198519421554,1,8.853182521661706,2,7.43154780690659,65.12801911038565,1,0.6944717156078195,20.600523225186116,0.9336035859123482,0.19764852275796763,5.869422743790908,-0.7666995276296574,9.918322472842744,23.996121820017695,0,3,0,52.3939422890705,3.5396274455671097,0.5212370493754035,1.8267263972072756,0,0.7645379161398032,1
1,2,-0.3974172869335637,1,-6.205090303616581,32.72825521311036,1,28.202629890078367,1,-2.1138107641216743,34.94803396020003,0,85.80565414002066,54.09575280034374,3.4482096931690847,0.8012492444944237,1.7747479000855353,0.28395690507384075,24.22552122141401,18.840704954751004,1,0,1,44.909301665208154,9.998101067189069,0.42563789254833173,31.35416063087511,2,0.9214036925135465,0
1,0,-0.5560231580852704,0,-4.075258091077734,14.821329840277278,0,14.35003449312311,1,-0.569897324402584,48.9613310947892,1,38.0587706284844,21.763830949140957,-0.25041623420996334,0.3873173191838166,1.9356887196132935,-0.7065468835608243,29.741093128988844,8.467286403068037,0,3,0,53.639685322267525,-0.7182174630532909,0.6399800872451682,3.648326358128499,1,0.5953971945707628,1
0,0,-0.3940117220207983,0,4.396169909463431,10.75448165116521,0,12.996051458126425,2,9.668475641221338,55.5893053293637,0,34.031870955402276,18.331656222942726,-0.4199665514693495,0.27743055450492166,2.2056145411525376,-0.7411958249416664,24.757998597806473,51.82512444989928,0,0,1,48.77057073995417,-8.712756274223237,0.47727574296712316,1.6454491289436213,2,-0.8417459872201598,0
1,2,-0.9280617984122024,0,-5.025443881867105,11.545326492541045,1,11.706280847563482,1,-5.536116328189866,36.37754742087667,1,31.955095796704146,21.266187885613668,-0.21398713252585644,0.3836331957069659,4.811814578012549,-0.7216639597379333,22.871490004957558,32.35689549554508,0,1,1,46.490565977633864,8.491610428873603,0.3297765202932145,7.677608494026563,0,1.0262832410064215,1
1,0,-0.36322889291400695,0,8.36497901320368,7.238516571949727,0,8.556822263954999,2,-4.378473430984887,44.71940825500657,1,28.65012583548995,17.027506961763635,-0.8981830397989736,0.17166900034436317,3.3305643317576923,-0.74913215729883,46.888253514914545,38.32994657592549,0,1,0,50.589492591436475,-7.823247243537866,0.4083763822711222,3.047219796622283,0,-1.3000919438690481,1
