S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,Y,X12,X13,X14,X15,X16,X17,X18,X19
1,0,0.047337865774037376,-0.44041612306447403,-7.333211260377097,0,1.7278879921644492,3.4556080652916688,2.0926184512087698,0.2919545771733696,0,1,1,0,2.4013016808559384,12.062236045086987,99.19702426853864,1,27.36846457430511,67.59008797345632
1,0,-0.8380952880685749,-1.4715366491942075,-1.7537613092723596,0,1.8291487730980145,2.1202181594971936,0.7034612264029128,0.26916380302364223,0,1,1,1,8.562505131776156,5.637498911443433,93.55107866229113,0,44.28716880659087,52.315733814934276
0,2,-0.42957551867714205,-1.0414382261309156,1.473532448444539,2,-1.1479230520362638,56.99451694787907,26.401471562800204,0.7782504597761386,1,0,0,1,37.44113595747591,1.5119350625081271,26.281222014593574,3,29.557746595337427,27.152952444320462
1,0,0.7903245185600218,0.1910249014920069,-3.0009241827969477,0,0.8305975790803303,60.11815604662887,10.85642595877912,0.24664269907444553,0,1,1,0,8.464130297821345,5.727589313907965,91.61165210281035,0,32.040615225321915,60.74382579253529
0,0,0.6634723973963005,0.0602864159529906,3.5517899411135154,0,0.7950268359025299,55.33607928603083,16.185456523120973,0.2719368195770718,0,1,1,0,12.952263012366302,3.233478224415035,75.1756241065156,1,51.85537065146148,43.79548210869879
1,1,-1.416677621685601,-0.959018957906648,-7.904356732487509,0,-0.014112345241597782,34.954018199497995,2.044219583667999,0.2644105974502858,1,0,0,0,13.013285601102531,1.4741193228348235,23.606324579190503,0,20.195859897827376,25.184705651030306
1,1,-0.18217153682813272,-0.13716353902626213,-7.232447166331692,1,0.8699988693525279,7.918891771430405,9.78947815380664,0.5913920600181319,0,1,1,0,1.3064748776329305,3.986906893040925,62.51708000813673,0,25.146780788269805,48.43679558822635
1,1,-0.35580293998952633,-1.5100874090042953,-4.8103937396878615,1,-0.6696942965211701,59.17344405284762,11.989947247249175,0.5607117603011684,1,0,0,0,19.761211018222163,1.6637482076026648,23.972368415569644,2,31.44031675761761,26.165128022798037
0,0,-0.6909383720669394,0.06252878540597108,2.9201488173842467,0,-0.5419294669144303,72.07348027628629,24.575630784550025,0.24675926307225782,1,0,0,1,28.17326609678634,1.442766254264627,21.03577813213255,2,65.47223103166245,31.752051191327368
0,1,1.1366373993746803,-0.23160249705834804,6.320743937909651,1,-0.6725424869498956,62.373508471841994,33.82270469058228,0.8095851303765806,1,1,1,0,25.089793755484962,2.3160676339298645,49.83532276002766,2,45.02341581910366,39.16931221138512
1,0,0.09210294793555891,0.1897683370766746,-5.383360629176444,1,0.2594905903200491,28.401582174851168,13.79249541459361,0.2702740918466958,0,0,0,0,13.482017749066312,1.9084367110866887,19.537765263960576,0,26.82549890011135,33.23492812461346
1,1,0.6856356706624851,-0.6741580625786887,-1.6070072032136267,1,0.7327447201111328,6.534975579943909,13.464075550793806,0.309133139577289,0,1,1,1,15.096139705050104,6.493482751468847,73.380036951824,0,44.536636606627695,60.98772565152667
1,1,0.7804074637010328,-1.577038329779781,-1.8133997599025982,1,0.6386174082200702,9.758101036309096,9.96654416042134,0.4046860910401347,0,1,1,0,16.946977436768762,4.0260660069093195,64.11006732437549,0,24.98836788812258,47.31045666892086
1,1,0.591223599532616,-0.5881431207384779,-7.5475365395128104,2,-0.2789473939217876,37.739947946303836,15.679097099612324,0.9272725922449421,1,1,1,0,4.033216726645026,3.186672385918201,34.961420159197246,2,20.93353727694216,51.935171403557725
1,0,1.3551808865192527,-1.3671087201044756,-0.11646347151743086,0,2.534406132971886,4.646337337101247,2.238205346943911,0.22883382814529146,0,1,1,0,5.365076787724609,27.72725643516513,99.77855296001027,2,32.27764513139435,69.91476392330404
1,0,1.180984449181995,-0.5316826026812865,1.0342538533997203,0,0.887192745592867,9.308024105383112,7.650344362410304,0.2598607776472086,0,1,1,0,16.019886599379628,5.049012780881167,68.94284925759105,0,26.237527523268312,57.77436202243452
0,0,-2.314959374395687,0.11185825708784766,7.448299458006815,0,-0.04774652976592873,36.12406889594153,14.011385612450976,0.2885265729356533,1,0,0,1,36.148455798600786,1.6824909431269643,17.469228710849926,0,69.99995087790231,34.75483587081625
1,0,-1.2204803061939211,-0.4065563611012856,-0.6392783911304001,0,-0.1473128468162422,58.18719753316637,10.821254995662962,0.2520504243175388,1,0,0,1,26.8182925891273,1.164922503389146,29.789238133172102,1,48.53962332982332,26.559371141923677
1,1,-0.9302075934069385,-0.2571286409778194,-7.746560605138603,1,-0.16941464862870087,29.664036674067287,5.341125785222882,0.2558283795804189,1,0,0,1,22.93235541928778,1.4589547497245472,22.914106823591318,1,43.38740256788482,25.84758063276682
0,0,-1.3928343282311022,0.9465403535827709,1.3954209441388539,0,-0.025572995444156393,62.050307902830255,18.92598176019057,0.31865034081859167,1,0,0,1,27.72084799272275,1.7106722869050215,25.515564169990533,0,68.63774621468043,36.6819487846338
0,0,0.5739320586235612,0.5980364230879476,4.104631903588206,0,1.0857577041677484,63.65461843578877,16.929278218541622,0.22741591425538965,0,1,1,1,4.5885989138109995,5.516071410972225,90.32439428575793,1,55.14172479423541,61.802018009929185
1,2,0.04669157667525912,-1.043048897245287,-2.058513498779428,1,-0.20686393216972926,25.703492349195585,16.61698231099097,0.5777929216723467,0,1,1,0,23.699193931154543,2.361662732842768,33.507151345962725,1,24.964787169151087,32.31112287661976
0,2,0.09509201800187075,0.9157026455948045,2.2448725112185386,1,-0.9064571341581364,16.518498016974167,32.3966386852478,0.7492462912027256,1,0,0,1,35.41206082589326,1.6887832674389796,19.710733216711667,3,23.29239759136623,37.66345497122278
1,0,-0.6259211372960395,-1.1383293040413311,-8.110649982314287,0,0.9200757386743641,3.011898051163726,1.4562473397949427,0.23019490194451453,0,1,1,0,5.8194497266018725,4.9784291190128975,64.17566423798937,0,30.583377667882672,48.344078918718935
