S0,S1,S2,X3,X4,X5,Y,X7,X8,X9
1,0,-0.5381694830715477,0,22.465343175992274,2.6499444051385614,1,-0.1532445719428938,33.50568218900779,1
1,0,-1.0695687045218434,0,33.779448554421556,1.689044771280061,1,-0.888202146135704,58.59180234381769,1
1,0,0.42764476746490615,0,4.703869822069072,5.446592286381418,0,0.4527868563845759,64.3232562268463,0
0,1,-1.0842632263808119,1,35.21221268588647,2.3023772843429433,1,0.6487923754753654,3.868311216649689,0
1,2,1.2251088551760527,2,8.475191096380605,2.1980393599814354,0,0.5118028265256798,83.84843941679428,0
0,0,-0.7095774781658618,0,32.5088102999193,2.3004257447309846,1,-0.07512000268494588,18.82606981347682,1
1,1,-0.15749161767240125,0,19.634523351331737,4.120678907532369,0,-0.536644444252803,85.82319263087808,0
1,0,1.6925366657372065,2,18.89333439110729,2.840804248683159,0,-0.4893253163149536,30.521496822327553,1
1,0,1.425268972714748,1,31.447405228131675,2.6398946442962394,1,-1.6434965604806115,50.10021057143409,0
0,0,0.5364206512688332,2,24.643045849736236,3.395563310360425,1,0.4249982717882129,82.10551417990042,1
1,0,0.6060440906356276,1,11.47486899407529,5.422620045152528,1,-0.37556378713824157,87.65875413667227,1
0,0,-0.14541041856721076,0,25.45914684341477,3.028611988746512,1,0.6844788799898295,53.051952835570034,1
0,1,0.41009107365458136,1,6.771369820476254,2.4771422426936085,0,1.422206025071073,60.52067193734396,0
0,0,0.19948452815372394,1,31.570274344207032,2.9306470205599933,1,0.30953817143140716,26.397683194927723,0
1,1,0.2086187271325976,1,8.874984275444053,2.5112020354178752,0,-0.0881742599333757,46.11505268000975,0
0,0,0.1750203195545316,2,20.193792775000517,2.2844366582172357,0,0.6233455924462658,24.86295580062987,0
1,0,-0.9256701722628129,0,4.21006405908768,7.881437942572179,0,0.29594327356443,93.06102008733718,1
1,0,-0.00047595292775058786,0,20.134726612282034,3.491544322803379,1,-0.8212966763785725,86.24245004230738,0
1,2,-0.1358388470810705,0,17.376380766506898,1.1563958332421878,0,-1.5299742404843693,66.74468346770794,1
0,2,0.31336195778975445,1,13.00804299123036,2.432685480236228,0,1.0799372634868274,26.786887051492624,1
1,0,0.6411050592416407,1,11.787777690561354,3.8007392637447133,0,0.6166165773540561,77.21241185958219,1
1,2,0.509049837022144,1,21.833339043662722,1.816451672819312,1,-0.27382122221364535,81.47383533076868,0
1,1,1.101160439786039,2,14.346746160711824,2.3461423700927813,1,-0.29825526375006844,52.0546337937039,0
0,0,1.3313201652083244,1,39.8202894216175,0.1353352832366127,0,-0.7864147552174505,0.5203851365110368,1
0,0,-0.24016451112909445,0,33.710614987007034,2.188283453321518,1,0.19087080086406205,22.98784180621583,0
0,1,-0.515578267802519,0,26.207301946097292,2.0688185031870594,1,0.629118570112733,9.897570494655493,1
0,0,-0.040388800403283034,0,28.336556635929742,2.1180336519509138,1,-0.254372948286967,19.219532772222873,0
0,0,1.4840722790911434,2,14.587980682920453,2.1601040970103846,1,0.5543816281446639,41.096475788096065,1
1,0,-0.018641198663814522,0,19.849156832073092,3.095495403247637,1,0.5509216082226469,50.42619485574855,0
0,0,-0.2534427490594995,0,14.303503722662288,2.7193020579368774,1,1.8202769138797439,48.90120786013913,0
0,2,-0.3658497711667987,1,27.77191995978243,3.9007520994111147,0,0.7831960215481469,23.1110340893881,0
1,0,-0.45243806187979785,0,12.729588817334875,2.5794984023049317,0,0.28892068255597425,98.66668804722264,0
0,2,0.47953348131874246,2,12.778798693817377,2.1319653811255264,0,1.7618004618745042,29.044728217546623,1
1,0,-1.8832096414305968,0,10.78968859697055,3.708286527116084,1,0.17881026310846915,77.36057433719907,1
0,1,-0.3585524986274879,0,21.05495461556346,2.158663264640718,1,1.022585980020539,31.761047623732207,1
0,2,-0.16358145826093135,0,17.092868349723066,3.1528894805256957,1,0.6542813293768625,34.971279733445954,0
0,1,1.8480321065623326,2,10.399175296861394,2.618788936155602,0,0.5140556229975829,16.819750255572565,0
1,1,0.4419623455748853,1,1.3187070618775332,4.757553185538366,0,1.1267817721645685,87.40400090004893,0
1,0,1.331056512381635,1,7.337010911815016,3.7130118616358727,0,0.6053397297689992,99.02794893074925,0
0,2,-0.045711677927574336,0,11.972869745223058,2.356603099963345,0,0.7299386593241567,16.80572772965737,1
0,2,-0.11613553901874857,0,9.16916866649441,1.865386056680508,0,0.912297888289209,41.882985370182176,1
