S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,1,0.3519699389255221,87.10068560833915,6.46810053844574,0.988010918348964,33.7589602023486,12.52353168525833,1,69.11413275017948,23.171052955088342,2,0,0,-1.3971686292224064,0,36.56305445030918,0,-0.2715529715463793,21.52308660352721,-0.5671093992746747,9.486168048982012,0,39.999674630455324,0.46200426482790247,2,26.11845320668852,0,28.573774482630885,9.259658917229714
0,1,0.29137829079882693,52.32685355373439,41.44136810004288,0.43710704593734123,2.1662760315492666,6.302855106286412,0,36.92952851936556,42.33016496111774,0,1,1,-1.8035507289079131,3,23.511924616906445,1,0.432839522284147,44.70974099712831,-0.4983327377818059,-6.534204452630497,0,19.628741684345258,0.2712915949235001,0,41.48922415551528,2,21.95776458281436,3.2421273584229424
1,1,1.3476437735237885,49.690857371500854,65.96414487389546,0.42147581747604634,2.0908608614953477,23.85414571876901,0,32.81746468540933,50.908540001820676,0,1,0,-2.7337576010585387,0,75.37289141606868,1,-0.21708275565203974,54.048279163599126,1.4198866317040404,1.043406220864382,1,15.465591862123757,0.9998998871020668,0,18.94551025451248,0,33.01487942424695,2.3101747694992736
0,0,0.5423073666468083,58.15191111952232,46.51530869793892,0.40731939662488675,2.4965844960374515,5.964368860319265,0,35.06225236192439,43.34269923249826,0,1,0,-4.946963679751684,3,13.553734863026328,1,0.7389111241527665,34.08042663842703,-0.5225801486328925,-7.044106779351072,1,16.43049184077478,0.4879806691788321,2,6.07846386149399,2,4.607550562403857,2.8548256957995344
1,0,0.6318374982623609,30.54503875503527,35.22457469378186,0.3349131702173189,2.260881873011062,27.05672536475431,0,53.118320971575145,49.298640098143736,0,1,1,-3.186707926262688,2,26.866099462772002,1,0.5021227794523259,42.433544095265276,-0.15023878846747868,-3.598008580337182,1,16.97935748458348,0.5276784056439037,0,25.30542050538297,0,22.93129086542934,6.565357461126301
0,1,-0.4863387425745174,37.06414842201649,32.02227272662262,0.8800734933985712,5.736411539239797,14.899084774720546,1,55.82935292697261,36.38959321766019,2,0,0,5.2576287681327205,0,23.330577550689696,0,-0.508314766581251,37.166535790019964,-0.5380604090102056,3.5167591909794282,0,18.965616257488584,0.15706772268759045,1,29.94882185921727,1,8.413436960861079,4.872174259485495
0,2,0.5512485185739758,82.22160650853138,30.90745285895492,0.7087132706887743,2.1804847493510073,3.359108793774279,1,27.01076519368484,43.21394812175525,1,0,1,-5.658938913665389,1,44.88423643011147,1,1.0327815976404473,30.284600527139595,-0.48282287889617603,6.376110013075461,1,36.6741323957165,0.14725679467670943,0,32.46075683470367,1,32.173407484379155,15.95958977842002
0,2,0.143715390070271,15.1943810916008,1.8923070568030553,0.9442866453320861,2.226426014832561,31.090951222667886,1,45.06572156542251,68.57544532575173,2,0,1,10.0,0,88.62449613265173,0,-4.683098705909122,69.19425479482814,-0.4029622043211147,1.6226112199543472,1,0.6003575599678745,0.12566441123180688,0,68.0615343556799,0,1.2981364674313767e-05,2.363651402114203
0,1,-0.64338039117536,12.215516951314404,47.79353666786519,0.370746987295817,2.0424125951443868,15.436439647007425,1,51.557382003508195,49.51529818196553,0,1,1,-1.2667842513448093,2,82.05679685883152,1,-0.029623255771942546,44.221876936797095,2.9699356049156886,6.983885232892739,0,18.003506457261494,0.6430382056262317,1,40.964105470052885,1,12.465059988506507,2.1342986814877385
0,2,0.9215938988502568,44.43195595146104,16.590195812304735,0.8390934167547631,4.656010329719239,15.316745734641424,1,50.56479180338565,42.16709569597344,0,0,0,-0.566471433863466,0,18.55917409676645,1,0.08060933359441602,31.656335487427107,-1.5380843199295917,7.498816898084026,1,25.28083508041147,0.06638947323734146,1,38.972128066945196,2,39.8216215728964,1.826070852081003
0,1,-1.0823015026699225,39.33043552387939,38.99238764121981,0.41374788079497554,1.491869866919719,10.195174769903801,0,28.539851452957897,41.25091170140462,0,1,0,-4.777720118570048,3,46.13699318585908,0,0.7071278666178568,32.164700446587275,-0.5754813970112334,-2.4839673672446194,0,28.733825249780764,0.41927483225714207,2,30.275215547035312,2,4.684029278908635,2.8968626553825776
0,1,-0.4012763769562152,67.8047717629547,27.028979990485546,0.6657608619251225,2.1547444257475448,13.712494922768723,0,40.3169935158044,28.925578444046977,0,0,1,-6.162397061726425,3,23.403208055275286,1,0.42398303376323226,45.90619140103881,-0.33657563724066514,7.903455100454519,0,33.58451218864473,0.7786117736263288,0,37.205573900986266,0,11.530887185083909,4.38533972873128
0,0,0.6704457357608066,54.28316414631631,30.679535592339512,0.5118930294385673,1.540217677451488,18.47205509374153,0,28.805191207711978,55.40567184542532,0,1,1,-5.407258546590113,1,58.548349309955114,1,1.1182291542326377,26.30419261089835,-0.23337678754491237,-0.5038708460887147,1,17.266825666692274,0.49050292339181756,1,9.708500397602094,1,16.444718877901153,5.200268985890094
0,0,-0.21644127959769155,5.702732207989908,17.32479704213094,0.35383221717464375,1.4770942727877856,27.498795240624993,0,53.14085355461333,49.542344152649775,0,1,1,-1.8352331746932595,3,82.07532639291067,1,0.8713902891946412,30.575775744989855,-1.0126711950511535,0.7609467002525747,0,21.396219081505173,0.4609346453578871,2,51.48853327544572,1,29.354668469095646,3.337619708095239
1,0,0.8577176329407362,37.29827779934642,76.0977881391927,0.07613931350150549,1.9315471087085585,19.220870586645404,1,35.758947000318656,57.5359576474064,1,1,0,-2.8229070589232634,2,86.4984998238276,1,0.5416039064700148,38.24656037000652,0.8541081305508335,-1.330240600275662,1,16.71692299042894,0.9993984875783248,0,33.6375466345403,2,20.402861327686026,5.070521573784149
0,1,0.561505764574273,97.0070907049591,25.824508047293683,0.7811121045117848,2.2790884643996656,7.13468767074017,1,39.70441302031964,49.366512422132075,1,0,1,-5.405103104625598,0,17.259382175726458,1,1.1105316785111494,23.870182280214763,-0.7798883227395645,0.6619126217227986,1,38.04369626374805,0.35508080194164693,0,25.873355094892247,2,19.410427794160544,1.3223752313285317
0,0,0.4560391784231536,85.47025061748995,13.882407289709256,0.4518819128962581,1.7657408048284744,31.181960172111634,1,30.68761789850622,54.0961916961201,1,1,1,-2.1796665745202173,0,51.082597422319594,1,1.2045347927926167,24.771367650412508,-0.44712676523773925,-5.977366274529379,1,31.660353268069493,0.2509949750172057,0,33.31755804613768,0,25.308777462865102,5.004485009058518
1,0,-1.6048308509032037,68.09929317750183,45.366822812880194,0.4641783849200774,1.8268425485464672,37.76193829967734,0,27.005895845902163,40.03091895054409,2,1,0,8.71147301313924,1,30.450509140589155,0,-1.348964029805943,66.04186353933943,-0.05144582868710856,0.4965589721467829,0,17.763449212273606,0.08815269776091894,1,28.52413855968119,1,0.0003858354800789776,1.7429916540720332
1,2,0.37409631889980793,35.843334404193726,9.12402373832833,0.9152176572689422,14.815487040313867,30.787861100000057,1,69.5403214608377,20.710109555263813,1,0,0,-5.826348814078324,0,18.096809147767306,0,-0.5171836569340753,48.58597986554054,-0.09447346333964385,5.305513570424802,0,13.503617539690378,0.35475279890955014,0,51.77446647960464,0,14.589989679562796,2.408420719949978
1,0,-0.9099384766358524,78.41003638867363,55.71573169544031,0.40089505854747237,1.869672016518869,23.751951317781995,0,34.05460952018815,47.12873970096538,1,1,0,-0.7599122626353392,1,68.31362897865338,0,-0.0038487830070067044,49.83374517420672,0.2767984928556423,5.218712565123614,0,20.240111361985708,0.6744088487129523,0,26.253078069683244,2,20.184823161878384,2.5800553487885374
1,0,-0.38520894114280496,80.47170023033418,30.18967956316149,0.48849625615913045,2.4937544337503637,38.95188720038781,1,36.08676401175977,42.9423873549012,3,1,0,7.734918147960606,0,27.480584223682854,0,-0.9298402564511995,60.888936313756304,0.34217018720478504,4.71684342253795,0,10.966269291470663,0.22896059693796755,2,35.455443895750385,0,27.770986445144054,1.3606487177914839
0,0,-0.7123810675540827,74.22808120084166,15.256602028839406,0.4079710773164766,3.9674577868741148,29.06744461179735,1,60.57222810172062,34.576539668990094,0,0,1,-7.28153246132308,0,23.409710625680358,0,1.3892447123187919,21.967652742115853,-0.5195109947924105,-3.0246497294606574,0,36.557826083329275,0.3371478248267049,1,38.95609784662898,1,19.810355037394586,4.578605884752279
1,1,0.8157232117051675,67.13548232607653,70.09671106431114,0.2704040416835106,1.7383180368348892,12.87821828607262,1,29.321648367220458,57.897044062877164,1,1,1,-4.390714351209455,0,90.67616354537907,1,0.3558294056881476,37.505837079883804,0.7837431794991245,5.019685682720089,1,18.978304998211687,0.6787129414874964,0,46.670918598796156,2,25.936856203630594,1.3240612355796684
