S0,S1,S2,X3,X4,X5,X6,X7,Y,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,0,-0.2873314651838704,1,0.49721357886634115,24.51090722462047,33.467389501824144,3,1,-1.0180798120581986,0,6.305063830206329,68.83651387219639,0.7536049551062469,0.8663212406413715,0,65.63372302004096,2,0.880786817423471,2.392594278311855,1,1,2.886475136688455,1,2.3559904718053235,66.09749169766155,0.47713551635536916,24.870712836890483,59.43387295858632,31.755712211820505
0,0,-0.6806403204246737,1,0.6295670448511854,44.66205802765002,15.479433598039947,1,0,0.35420272792772756,1,-3.411137168317902,20.06101903297462,-0.5523228966504539,-0.718812934619263,0,32.37159634588649,0,0.303828557094185,3.2402109627187525,0,0,-2.309430564819972,1,3.232488214545164,23.90367359038816,0.418646137866776,21.44080023448614,27.304486060961153,40.880542819601985
0,1,-0.4606458594768613,1,0.9100908880542649,66.29848962011178,2.9916141787907202,0,0,1.2795205075632998,3,-7.577460966333972,22.340939639917227,0.6967909271125698,-0.8469727879860828,2,13.456375340548728,0,0.20154646998822262,3.3271846123486477,0,0,-8.888589220965436,0,4.32336244666,23.033029483485773,0.5843055673928031,34.43007838984158,16.951022879952625,51.27514092238023
0,0,0.4950295945592416,1,0.7437101077666328,48.42860298583,10.42896269277454,0,0,0.4756340386194331,2,-5.782210141567424,24.624369040792104,-1.0654302964181188,-0.6769002599039307,1,18.924121002194077,0,0.20650136054624135,5.249747983270358,0,0,-6.214657221475955,0,3.4678935257632375,26.999928008198705,0.5292105049802573,33.08855319417006,20.957513207081888,24.123920030502553
0,0,0.14536667285533528,1,0.9996472431818229,67.92887400922922,0.5871506690610451,0,0,1.6947698314856692,4,-9.076116929680197,11.920745965960327,0.5260911340122575,-0.708038302306658,2,25.964653583385974,0,0.15104639524760516,2.309636574006796,0,0,-9.66469497336305,0,3.600095265170246,27.447444638507424,0.17858747695303256,39.86106675386472,21.57087168620224,22.2142951659689
1,0,-0.7096038691680788,0,0.4688178747253676,20.17309311349504,37.56659875783181,3,1,-1.5515279587119006,0,8.175507589137148,81.61270674229722,-0.3109804522357068,2.0359720732335926,1,79.94359635773009,1,0.8800178777570593,0.3493523122626338,1,1,8.540447060990672,1,1.2152553327835942,98.27400619842166,0.7881977180172879,1.3844177776709565,76.82988662858799,25.34757279401454
1,0,-1.3613763485149817,0,0.3550399347807378,29.836734301986343,30.44449929903518,2,1,-0.4201689814763574,0,2.8510601740201515,48.93247370028858,-0.7618225289996678,0.6727269604952917,0,78.27058296321937,0,0.47339867182448847,0.6739731359728603,1,1,9.741682276544985,1,1.131965141282927,62.33488314405028,0.5433977316038767,12.32897910068293,52.17803360238568,53.020752101065014
0,0,0.6185802597979894,1,0.6786886240751434,52.5586349511626,14.324948009838565,1,0,0.39087730768568546,2,-3.3987180142523226,24.442787004975873,-0.47477319078808267,-0.7819851615209797,1,15.797656239369694,0,0.29172794128964896,5.051799734829379,0,0,-6.753769122596779,0,2.509779612436997,21.283335265896152,0.22070566900665523,33.998733698394865,18.360186048340587,40.37846296827774
1,1,-0.6537065360363261,0,0.5055379856079052,50.97480403832378,11.224474518743296,0,0,0.414432875949824,1,-2.6578970925959116,40.185208389977,-1.0345458106770882,-0.7987324867476451,1,12.08825548816288,0,0.23278436441375006,4.852889759708886,0,0,-1.420195665413221,0,2.2833701461532763,28.624153574485334,0.8332510907994963,12.20434782160191,7.994656912965024,34.389659730217375
1,0,0.23320942293652205,1,0.08261777765064587,20.597017935872266,38.75238451629087,4,1,-1.9328848660498406,0,9.34554270657976,95.98142393084383,1.8389940382840269,1.9545376949383162,0,72.1501106067644,2,0.9925915119860843,4.3435506648387605,1,1,5.814921014967817,0,2.841527042589314,94.81771250149164,0.3332626756400031,16.919080787792822,76.4606041589176,45.299857554660136
1,2,0.7153874848030484,0,0.06988834553525158,67.50232781600162,10.093255266037202,0,0,1.31444066810836,3,-7.877032691482672,20.84826261851055,0.36894385872832924,-0.7583850791745319,2,43.36522915147489,0,0.12355585295954447,0.9327898161059905,0,0,1.5346805846406184,0,2.1133212646514203,21.947853399865586,0.4701513629929513,18.27674323464381,17.114359463294836,69.42443887408668
0,0,1.1924005679062395,1,0.5473036199071504,43.05105827017985,15.704165495272555,1,0,0.18962839261853617,2,-2.1989409473849992,35.447623204033455,-0.34167832504506407,-0.6760231051620745,1,14.372260241638607,1,0.3859532749015313,6.401471622372237,0,0,-7.896839526810332,0,5.881306786143717,17.992095834067328,0.3355867331658024,33.9488680031335,16.5287695053394,28.25838753046233
0,1,0.26552552855362077,1,0.6454944238378464,49.363871160161295,11.323061543169661,0,0,0.555257714561363,2,-4.678589892550413,25.24483298639505,-0.965143480768079,-0.7319723633825082,1,22.57707706695409,0,0.2062606469877159,3.8932672440642166,0,0,-3.6275505942262534,0,3.201749323157594,23.54513043780657,0.4206219841964571,34.22902991244306,16.598307228439467,34.43758249105059
0,0,-0.3196702476820289,1,0.46803991989115895,42.94109766827363,29.57556258801464,3,1,-0.7781704279088469,1,6.277658147372094,82.9834797580324,0.3902949303454062,-0.08733029024183783,0,16.041288769287107,2,0.8559689878080825,7.721094746012041,1,1,-5.171694087721159,0,3.5095593992947274,71.83727039850977,0.6155975037247677,36.34713475496689,62.88917631844438,69.02722095542612
1,0,0.6695217560628104,0,0.29345981491516615,36.303458978537776,25.20335085259171,2,1,-0.4828873835638462,0,4.124893509832969,67.74823389119791,-1.0269464484749447,0.28125880836355077,1,19.182857202089117,1,0.5702015041199947,5.5586598948380415,1,1,1.1711179428803113,0,1.8338141424615304,65.73804645928136,0.8248200481619452,33.09134515008463,53.45700141288356,34.36687883618721
0,1,-0.6263615852580902,1,0.3173079182189107,48.569338249249974,4.3926913354507935,0,0,1.0794037359161646,3,-7.110664222084107,28.399397096966588,0.6079532099484987,-0.7932155961885733,2,18.785130993175688,0,0.23725025840740643,5.9537389832820695,0,0,-1.3679724930432258,1,4.2656753243877885,29.657263796177535,0.05641486425218312,32.656553168148946,26.42980928259047,21.758972090369554
0,1,1.287985441496255,0,0.31112756431767497,45.45616262282698,23.561102904950253,2,1,-0.045619515223667285,1,0.4059506854447754,14.410422568225378,0.08543761646152107,-0.25782724558715836,1,56.65579943367055,1,0.524715434070539,1.37278801327138,1,1,1.254185397387042,0,2.4234015181449977,41.90517297439062,0.43138771279060095,27.987330920690184,26.191487113776,56.29246791247206
0,1,0.1186242061593534,1,0.847646390806705,58.87360513613041,6.507544562454983,0,0,1.0822911220062175,3,-7.266352670277991,26.057364277008055,-0.15859098835278695,-0.7186115478667132,2,15.958283663187927,0,0.132564612089559,4.21776999885552,0,0,4.061003268064276,0,1.812483983048638,22.040899543898473,0.20126305993058907,20.98994597147351,27.865315432757924,30.869199669670753
0,0,-0.6018696804278464,1,0.12908692937206045,38.54892548490179,15.316669884990503,0,0,0.4097011863950174,1,-4.638316669980629,27.29148595320278,-1.0316859835452974,-0.7610631764867226,1,15.119110040543958,0,0.18370864464157965,7.826470243197463,0,0,-2.9445667089319985,1,7.112528020849022,6.412705975993438,0.2520946454120169,22.43306599507156,21.727149598098954,22.098384000330743
1,0,0.5448050028171303,0,0.2866370298830584,21.172762962124008,37.7518045379439,3,1,-1.9584968012263058,0,9.647391843833205,99.77158418211529,-0.5071360812416249,2.199967032076123,0,51.34517887937022,2,0.9620848808928378,3.136001310701474,1,1,7.205455321559825,1,1.0034725092893912,99.68419610840846,0.9866722850788019,12.027028767987066,79.80029434556349,61.549689993144256
1,1,-2.0742697211563788,0,0.3027704996233709,47.86846633364216,13.141596240718577,0,0,0.5545465999562794,2,-4.71422618568186,22.23245476444401,-0.7448608856230239,-0.7081922655621845,1,44.564229802521886,0,0.18969255410720431,2.4602232226888363,0,0,5.880926506388814,1,2.8309219785119875,21.72956404347576,0.17188517947148085,14.289612554835823,19.945635012141217,38.800706044229926
1,0,0.2638616977460659,0,0.8825810768366522,23.664601950315962,32.96879194506845,2,1,-1.3324334060939578,0,8.507351803531453,95.9465450652364,-1.0429190313899444,1.5938156146243636,1,64.06082118929257,2,0.8046105383585216,1.9660110805852506,1,1,3.735969994148869,0,1.063844924231063,96.23494482828869,0.9931081612078684,11.184838480966977,77.05848607129352,32.379600556130505
