S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
1,0,-0.015985235882366357,1,0,-0.10648670660393655,-0.3976140651924833,-3.716318318487417,1,24.463136787711043,1.735309044229546,55.69714811720608,67.18567892646286,3.103548440406197,0,0,21.468469491311733,26.718258227374644,1,27.166302259452884,31.553386611403894,-1.1893860950087536,0.5173403070654705,34.88258665407954,0,1,2.960653310179098,36.842949802965194,0,0.6541718117361566,45.32318997793765,2.676872322165301,0.3298102273283884,1,0.9497383360913538,48.469009847480706,1.1966557709882626,0,0,28.841609929170346
1,1,0.30907946021175914,0,0,6.359921165857116,-0.4861091127688183,2.982953568572558,2,25.056361663932243,2.7877922495926994,43.11298677512221,57.3245634504342,-3.1025259158899825,1,1,11.836410323969822,34.861243967741245,0,16.683409547537323,95.30526652204391,9.973852362535297,-0.9240855139472846,82.28920132764358,1,0,1.5964663347303425,54.962984995553434,0,0.5488875550547634,85.5206554065375,5.2227803330014195,0.9122295703576553,0,0.351663794917637,19.51037988526334,0.36462790302623527,0,1,49.85233369064516
1,1,1.9956222336595597,1,0,-7.6138155382831805,-0.3909355154696881,-3.713078940921508,1,69.08373930467138,3.65188337643219,39.91083527520634,51.361856984839534,-1.8703169134094253,1,0,35.02907739097749,3.7735326781379253,0,7.454267169209254,31.93721882008277,1.4910810612950307,1.260373792983454,31.51322678107317,0,0,1.7995124037620192,67.11981331201156,1,0.4275408415782772,23.03794347313376,1.3363471035123788,0.31802886363793625,0,0.5525538252479166,30.6831698541369,0.44662908729141776,0,0,70.87126147184173
0,0,-0.6898206291885511,0,1,3.962334543255409,-0.439543097003895,-3.6308628700873324,3,7.514381215340098,1.1946681630422669,61.34736607027066,55.038727294592626,9.620616321256602,0,0,12.040485296862322,35.13666379952439,1,33.1736761108258,23.6822714851677,0.720927347763233,-0.9361309313311029,68.49674318930332,1,1,1.610785768859458,23.85267543338196,1,0.7311294448212515,60.0160662921259,4.431838622538375,0.3507468035959761,1,0.9013107718186539,58.38351144638912,0.2636848544709667,0,0,56.20897788619992
1,0,0.186286879095369,1,1,-3.020744795363754,-0.3393516891953677,-3.5036502578224207,0,31.441669340846037,1.713332982474926,55.59734679241408,25.541831895362876,6.994662675419672,0,0,22.90473615245866,15.937126827197174,1,28.869835602863386,25.38400693031708,-1.6390948534168555,0.11278780765266984,36.00768679409742,0,1,2.066570941939068,61.05810796265104,1,0.5880649330073143,36.860785378182634,2.004749086986557,0.27613311710350397,0,0.612829320254113,34.81430879313647,-0.738255759880339,1,1,35.6025903860108
1,1,-0.611898372213496,0,0,3.9864631429785895,-0.43689592184385584,-3.6228408624960426,0,8.74957254765273,1.2854604355911863,60.64377113775556,49.337655674335906,8.938402607284935,0,1,13.579481386865911,34.920294286871936,1,33.49309192520626,53.46283276582816,-0.47087579823830694,-0.9064022909408569,65.06917176623723,0,0,1.869377272455397,31.232934872872598,1,0.5564245240478318,71.9090174606156,4.210675832555101,0.1292831589083131,0,0.7710445416530829,29.19367448496768,-0.3365680353206722,1,0,75.64773037856082
1,1,1.119350734266286,0,0,4.248942510288584,-0.3989847069237442,-1.474709963469497,1,19.202828069428378,1.8818217108077646,53.7873810125895,35.421800223360336,9.645491527297878,1,1,16.834010418638087,35.11813390904473,0,28.51361426200357,88.36157833049909,-0.4393578016564774,-1.272124642781484,77.82131673791368,1,0,3.34748833939143,61.97443425372715,0,0.453989351090441,77.61261003279893,4.974846040738903,0.26932361426170476,0,0.2119424184694511,62.319415877792125,-0.1299722775065664,1,1,10.195479440214328
1,2,-0.34594397836745266,1,0,-4.709228546673618,-0.3792930042668409,-3.5278696284019766,0,60.03336286256793,3.3122791726755074,42.818151316496774,64.39894201110536,2.013883572532043,1,1,34.224000445736294,16.527464146640845,0,8.295488707619567,28.92131184567456,2.547440250982543,0.37314712297952335,22.85418334078986,0,0,7.035945422348995,32.433279357622496,0,0.15242663700761055,34.993973133886655,1.4769783289769705,0.4149353483343265,1,0.10076848300068925,36.800292916084274,-1.59162273305895,1,2,4.097187812403007
1,1,-0.23185436731952502,1,0,0.07973129895574615,-0.5459901547850324,-3.4574988362144126,0,24.793273375014884,1.7257121967207223,55.89949519935853,36.32092567956594,-1.215331502810221,0,1,21.211168711866478,27.158750413916934,1,26.06616535087622,40.763545249605635,-1.4082469477547637,-0.336280546457218,40.16900942233326,0,0,2.701865059435956,44.83826196555932,1,0.5164100055048156,41.22249680788343,2.1998387233473538,0.5857281906551366,0,0.2515116598118206,15.75541894281785,-0.3493074570976343,0,1,18.300649578196552
1,1,-0.02403666938564445,0,0,6.069214900674833,-0.42164092344207055,4.781533932825301,2,43.18404130541772,4.751448977096959,31.94972803792831,36.63997067628779,-3.6792804675164508,2,2,16.006186864562228,30.96485307012788,0,6.290278010378454,99.87325666339702,3.2628235147258877,-0.9686443420550636,82.70373376627434,1,1,1.5180283958060221,37.13155644456917,0,0.5713804538698282,93.55761451027108,6.231835243482801,0.36561785553068127,1,0.06421572207433313,23.3987875590103,0.3743868054107732,1,2,36.80576765434222
0,0,0.5647776208990974,0,1,7.803163692593632,2.077190509252218,9.057181313028273,2,41.88413756614107,6.806710597622238,21.690964506074774,34.286606049032926,2.753353842497452,2,2,2.2857268305355682,17.559107451338136,0,21.94368164309257,43.84549669949527,-0.6579054341775432,-0.4436523824330768,91.61474573048828,1,1,1.5538094758249612,55.35629755155997,0,0.9621587716818099,85.11422074507897,6.089001035759871,0.45865622451297566,0,0.8873457883602573,35.807781530022595,-0.3311465703351262,0,0,10.091412556835952
1,0,-0.23893110308005472,1,0,-2.057530381981854,-0.40522561356019904,-4.17842604114805,2,32.35699700942282,1.899408271198756,54.03482259376666,19.563477634713504,9.567321078590993,0,0,24.510053186551986,18.400054336406168,1,23.515468520961626,40.42029544825573,8.030474543533451,1.462690060984255,34.319862649619424,1,1,1.4951115405269337,54.73152871233932,1,0.7590988803221257,37.87880625193088,1.9577596669103123,0.09165459052421743,1,0.8302757136930673,34.43282371441237,0.5831477821219788,0,1,73.0794616592398
