S0,S1,S2,X3,X4,X5,X6,Y,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,0,-0.5063683382095812,-3.41377181419287,1,14.352530422415015,-0.7030374855172353,1,33.19948993066118,3,1,0.5684410403551038,0,61.962142507631555,35.41340604455585,-2.37019116181819,0,-0.3402419006821691,22.873104904492493,0,2.1481177615336406,46.7983772648099,0,42.28098084170308,30.57230064713491,1,0.5662345221679022,2.1965596903298,54.222882702057014,28.680311376490167
1,1,-0.7376055862403371,-0.5445833024324624,0,30.026864401889355,-0.7180162221819568,0,57.46103906793956,0,0,0.5891970201880179,1,13.372890195289633,13.730978474397865,2.495690631680434,0,-2.1337303926832205,52.626234513902574,1,1.7836385718358214,54.57523670113328,1,56.339719454592206,15.491905259620378,2,0.03129032573095436,2.3773904223190323,42.817597288138444,20.504414257789534
0,0,-1.4680643943958802,-4.192907472375474,1,21.293222951635812,-0.7512987336882778,1,42.366710679044886,2,0,0.5221174027244667,0,48.477182060612286,20.00158740312839,-9.209323677763479,0,0.9355048303621927,64.34587784548562,1,1.7317026593874305,56.684468350399484,0,26.869855650256596,5.627821801735653,0,0.8931666822923314,1.0211182632447102,68.41895668100065,18.891889200428565
0,2,-1.1137687627932642,-4.196083246249155,0,3.516258512643271,-0.766730014968818,1,10.34512456334932,0,1,0.690693342283025,0,58.96807527213001,9.939740038416016,7.049529517812971,0,0.09754967567301326,34.144318905627486,1,3.1771846143496294,96.208740854099,2,35.68719823013881,27.57714816917887,0,0.0417101713348737,0.8832111470091905,46.52007448348368,8.67643587692884
1,2,-0.9156942752988083,-5.4675377036454655,0,21.339193674450165,-0.9216148355559666,0,46.5945587899928,0,1,0.5447905473780154,1,44.695966249714374,17.38135830604994,8.03694183659465,0,-0.016678293055457694,47.62198316784132,1,1.9433514546292845,96.22241423401634,3,61.00533399567492,79.66153027580188,1,0.003373117689198457,2.1234414557809407,26.679860392189305,2.1445073125239955
0,1,0.7025321648324194,4.165792356202143,1,10.611640360996507,2.068603393765012,0,22.42649337471418,1,1,0.9033061427743171,1,65.67154460701705,10.249381818846924,-0.024266990376064612,1,3.849280393885478,26.88662381024442,1,4.627357513414082,83.79356601378616,1,32.32995060881015,52.86978429377923,0,0.2050085291948256,10.451691809900764,40.07233474007727,0.637147115274812
1,0,0.5809970744144232,9.943007441309241,0,39.99143113440334,1.9611208444319632,0,79.95071292631667,1,0,0.9708581664580245,1,0.33336121971554444,17.00517853902432,-2.7302523934888328,1,0.3944357689277011,69.29222744688633,1,2.5531954195197053,12.054692899826524,2,64.37916913030664,42.363021908700816,2,0.9460011443123086,2.8776359572648196,41.031444332341415,33.47696928767398
0,1,-0.6330397125557539,-3.2139406709576193,1,1.4160212329047717,-0.07153114989244344,1,1.6088991663835106,2,1,0.08637235270805071,0,92.76951562797542,12.53384499717481,6.274644864005921,0,-0.31169430921462965,44.817638002418605,1,4.95387474546424,79.8149490925263,1,22.737332415845195,22.62872899395065,0,0.2534595135465092,7.440008932918492,69.23225014242351,33.560769196331684
1,0,1.7946613823786188,-2.7056940701621706,1,38.64114972893233,-0.32496211539920083,1,74.11787714270469,2,0,0.41484813140873317,2,18.649535613179125,6.459340727855163,-4.88446601052906,1,-0.11396458310158084,67.21514765478207,0,5.068397671780879,35.03688556052765,0,63.32005981641733,76.06139660967555,2,0.9292212422291941,1.1938911872127256,32.884020469666225,22.08366717055729
0,2,0.9689521074318325,-2.8188767110589197,0,9.003330455925447,-0.008942384010608755,1,24.53618924761864,0,1,0.38376594390107466,1,56.60201800990314,12.146661969247447,6.579290816395996,1,1.0710820516918462,19.976124923248925,0,2.518097567325484,98.30398983207219,4,47.472327432271456,57.50831871558177,0,0.058995467620589936,3.20726456668208,19.72753901612259,34.042298754414055
0,0,-0.5864105074311619,-4.207853779057591,1,9.31431394452872,1.0872351832844944,0,11.444393626707829,0,1,0.5402660834725398,0,88.31089744590834,13.0836644705366,-4.583442052632448,1,-0.2870021843169988,29.765140002905706,0,6.610899691137768,34.004714100614656,3,30.72019561677459,27.863442033707855,0,0.8714582982863812,7.15016628115654,32.340011618208806,1.614883800881406
0,0,0.5509281517851492,-4.009128181723281,1,10.17345466477568,-0.5303695240062504,0,20.330535211558907,1,1,0.3324128599225429,0,65.80694072595823,7.803178131290045,4.658889489300105,1,-0.7997566638836064,50.74067082588975,1,4.541210129017225,58.14693127173429,2,33.88548277007501,0.16175400967962883,0,0.8031889976603435,3.6032023476202113,40.6323235261102,18.406199850303658
1,0,-0.2543621818637712,-5.071381721406205,0,24.146630897280183,-0.7955360571664302,0,41.305027932315134,1,1,0.08365676899954305,2,63.40626334510668,8.393773062806245,-8.32601842811496,1,0.051972496836861205,62.808587522734165,1,1.890099949531892,34.208175995292535,3,59.21317671938107,37.8408089859086,1,0.6511646419842021,1.6689075320784212,54.842470767441625,20.36784018593501
1,0,-0.23886416055335902,6.001364637717138,0,34.25728076109424,-0.21010867729182242,1,71.03575430338351,1,0,0.24036818476567073,0,12.861664363228009,9.6849910455232,4.246136514251848,1,-0.40302888012886195,62.88688074943164,1,2.2526853426599915,53.54378526302056,1,44.43495489416193,26.89200609337028,2,0.2928908950320297,7.695626295004387,61.471812371697766,36.24523592017525
1,0,0.9318167258549341,-4.446622069840856,0,34.30020005251204,0.8247512955841863,1,70.7439254755655,1,0,0.5995407918310773,1,4.8358623548025665,11.961792990519374,-4.984967676112296,1,-0.9661848305025832,49.67081014223563,0,2.5267136500424896,45.25294576132769,1,67.6901025554188,53.62440373292059,2,0.9980608733146836,1.5165533150511876,45.59624178462917,2.7442577452584005
1,0,-0.6935787776314685,-7.455947801121422,0,33.757668266962526,-0.9948700568177191,1,68.1759990853412,2,0,0.670779595479357,2,12.028933603779423,28.641051231954705,-5.365470809809091,0,-0.02063539568132459,59.400085942216656,0,1.8856886502580512,18.68173561222169,2,51.589512266685084,24.878355267286537,2,0.5569915279722862,1.493923536550419,26.00008029920685,4.557810441514478
1,2,-0.8893504350773479,-3.052764996666191,1,30.183550732089017,-1.0996537367969084,0,67.51418692454993,0,0,0.21088695162772852,2,26.368370508425105,18.213939012839937,4.486194483798176,0,-1.1927123201574399,59.90918046974579,1,1.4908856580320837,66.81834204348152,3,67.28517302680117,20.089871459528553,1,0.19309694290659035,1.5903360320189628,23.354187605870948,22.525081353861975
