S0,S1,S2,X3,X4,X5,X6,X7,X8,Y,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
1,2,1.1653876243235526,26.94548678201116,10.896950958713486,11.47550313251684,0,1,85.21966009538328,1,1,1,5.8586839561525395,30.827760715070475,24.923829770222355,3.9655405466278846,-8.402276420470782,1,0.9444693537394278,0.858080239602357,5.162139792556602,23.19707475378133,39.798035672563934,1,-1.0431662378009368,0.5296389006051175,30.43939788909995,0,1,-4.710135831576803
1,1,0.9943466900128711,54.0653914385834,73.5528200615224,16.17106765827611,0,1,38.771715330575816,0,1,1,-0.6038046479722201,37.789899968820265,31.731095333866477,6.556926213648433,4.2206645202310895,0,-0.824967143394984,0.7610875796006784,4.797109963651455,34.9996459062712,4.005846952173567,0,1.102653262037598,0.565245884767711,28.643806372784077,0,2,3.4772643793081137
0,0,-0.14546558178941407,31.55190171428965,15.747242520412662,11.807140444229628,0,1,50.89835327773681,0,0,0,-6.317434886216825,98.7590506553735,65.44249701327212,2.203491942388621,-1.2917536453953034,1,0.5308203499883629,0.06446861303044366,1.1530258882578763,25.278238596336973,17.8570059738755,1,2.778107362637506,0.3465494929806401,57.864205349744765,0,0,-5.3676791125287835
1,1,0.021653693742765035,60.70402789106079,67.30857796277853,30.540247282955093,1,0,29.37450647346965,1,0,1,-2.6122117675371097,38.22215016994582,5.451822755811877,2.5750530947108192,-7.648757309754727,0,-0.8925100387561911,0.6327460372641305,2.692953293243906,10.824338847175516,13.15002614393736,0,-0.23730342449178074,0.35958611116352585,19.240373430485892,1,0,6.028896389844487
0,0,0.9627107351173058,36.011029212247294,28.546871442417064,16.74414783845512,1,0,12.60054488042483,0,1,0,6.878535352388198,62.99887275168587,42.98643142982386,3.988406071899373,6.337875548767951,2,-0.029773873680657988,0.40810097166976306,4.9735465176291065,37.91204271394773,31.25984529688388,0,1.808287894396116,0.4910638798728816,63.560618301672626,1,2,-2.4112609855819684
1,2,0.1336695890490335,42.20567323353461,43.00746221758857,17.016996607363616,0,1,41.18129143347573,0,1,1,2.444554015705055,23.943575044895766,46.79514476016631,3.1368030236425,-2.551111036057697,0,1.6178867780197719,0.7892157491896687,2.654893954743372,37.13425577450834,28.123937578291137,0,-0.36986534386693987,0.8138981720939349,47.23139264652042,0,0,-1.4462008972305345
1,1,0.00992355044159303,28.685966459052484,13.52330230760057,10.16012711516883,0,1,67.85463363229056,0,1,1,0.8853968255646514,11.547106275097308,10.756345242021963,4.592726481103842,-2.8625654130103895,1,0.5502966637116958,0.6497344144641426,2.843368815724256,35.005058532921154,33.505998413548916,1,0.46589729275336994,0.8223490534275408,41.09141495375637,1,2,-6.423937257524885
0,2,-0.09519768889371957,63.37516113005591,59.23215459769091,37.576935993482806,2,0,64.07077511863604,1,0,1,-1.8970351485325416,94.49590642400753,21.207356050007743,2.8242224020888744,-2.453538097296784,2,0.6352678285740472,0.6502662956406431,3.6976798806628635,3.998023952322096,36.52471769339547,2,-0.011642330526641665,0.502660394280169,33.67236262870432,0,0,7.278454792524919
0,0,0.11103055815211736,54.03457369068498,53.426266445624776,32.330705310673046,2,0,35.52971513586735,1,0,0,-4.2161537763174355,59.04251811499115,38.80677430413185,5.173441495149764,-9.799412767456257,2,-0.898510646231017,0.16488102184393405,2.9556505025642656,5.983207913585391,24.97399026179581,1,0.29523942183490787,0.2815900078508777,29.76171775943295,1,0,5.115747697414971
0,0,-0.1670532909379312,32.019835938020485,21.772725435211925,12.50094745585061,0,1,52.95550524572805,1,0,0,-5.178004102631155,39.97828382257001,66.10979162126003,4.423158763587321,7.032699160972747,1,1.9486275035032559,0.07080301533260808,2.35313263045565,33.5119027453661,36.048972013344176,0,-0.8069872693301419,0.6191644191953194,29.613445057369503,1,0,-3.5280640557629432
0,1,0.16871729799482243,27.337890546302418,6.806926704516187,15.763282810079746,1,0,27.754891920049484,1,0,1,1.7585353389788985,77.27308342718078,31.77999541176952,2.0096710304328367,-5.891617376612279,2,0.6684817568313346,0.9463926925453041,3.037326171387006,19.278778512216807,2.4818856210145546,2,0.013773321148821974,0.09376075449165105,36.29612290112533,1,0,-7.1414726633136185
1,0,-0.21118157015999384,36.45708094416494,32.041294711687605,12.124236985386702,0,1,20.058655270492782,1,0,1,-1.9320002361760835,38.03526922898875,11.378370253378636,2.9803214225882195,-0.4290960515098412,1,2.431492392814568,0.0858724428037097,2.1557666477091435,15.624600266308075,13.757436699972374,1,-0.7029184668905203,0.2667086051089054,38.166460442056476,0,0,-0.4276439345761798
1,0,0.14017187822164098,50.21031646015907,54.1733795498717,17.389029389350135,0,1,41.389687715600076,0,1,0,-3.710517907811205,26.32670903485208,7.00091276278676,2.6089529712717634,4.817147899380124,0,-1.0221192904627654,0.2592124209917222,3.343418827015097,39.308310904856626,35.274356059444585,0,1.216675633864207,0.8137717260260557,21.200927374631153,1,3,3.6582520091969
1,0,0.15064086609040134,30.606792985315057,36.95495536243196,4.229293576795357,0,1,96.78879390147304,0,1,0,-2.300821934327648,34.912741188012,58.30291553501107,11.588000446292064,-6.568447962287652,0,0.5764535825571924,0.07277512395353442,2.998967943383633,37.99824548598336,11.523575070782176,0,0.3582818124844312,0.7786151025176842,56.123177775334675,0,0,-4.599582236682453
0,1,-0.16857264832852129,51.516762858259284,46.22936729398688,28.395697998282774,1,0,47.08623568540442,1,0,1,-4.465880114491627,82.84793325466609,70.05503427711602,2.376914333990769,-8.257412090530135,3,-0.11115815469346704,0.43021048569906783,2.775882032397236,1.3880568990359277,30.27384035455642,2,-0.8939589719391935,0.42346362491453404,29.716776646414562,0,0,3.170683245127554
