S0,S1,S2,X3,X4,X5,X6,X7,X8,Y,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,0,0.22600097221476564,33.723150780651416,1,1,0.8337592502505986,-0.6662615566036454,96.74840709120672,1,72.93366779825743,27.252009831260082,0.4366197202947721,0,-4.926197608979825,2.9372636222790023,0,34.69087448283223,1,17.14634782375565
1,1,0.06357827067439721,31.839031114338013,1,1,0.7184493698520381,-0.7262734517907758,81.04101868130533,0,79.02158945694632,13.777876282708545,0.6531160682602636,2,-4.322576354681882,5.575166876810496,0,31.489747988281447,1,14.07377518654152
1,0,-0.03656120898911528,48.62824196763596,0,0,0.8717329355045437,-1.6666191668037627,1.8888824787391734,1,10.086511044776557,70.77084333551187,0.420527625037418,2,1.9363346313667087,2.2248023115493525,0,50.161634353337675,0,24.910118350316832
1,0,0.07635778647867465,29.8793546431962,1,1,0.6861624677817415,-0.14487243233733046,89.32748621181909,1,6.207460662770332,37.55052476170502,0.3257882587711837,1,-0.44139843650375,6.582709532374654,0,30.23192007164318,1,17.850493617246208
0,0,0.19891636628992998,50.08978235550389,1,0,0.08187004918041207,1.2729917409812237,23.073831000685267,1,30.77550709027722,74.52226873548182,0.765829313039714,1,6.440079391174059,1.9980533813968748,1,49.93002577393403,0,26.7120426059713
0,1,-0.42217365986598787,62.32972033431719,0,0,0.31929473474888165,-0.059712890277309603,25.391495450572915,1,56.503061091512905,73.25458617601718,0.9117367948202858,2,7.049606375341732,2.2655504317513264,2,61.88285515534581,0,31.980084968548958
0,0,-0.06430683387889173,35.01941979845837,1,0,0.21770218288579268,1.316370388122078,40.037869456270286,0,71.45390217770662,79.99241488671856,0.47843408259731224,1,-8.985148192147594,3.748683129681918,2,35.744348911554496,0,1.2372095371790315
1,1,0.02776240924967499,44.74661432921744,0,1,0.8282969055068126,-1.496871290052057,62.73019110825525,0,41.63670663786965,51.343568713670976,0.04662123280122499,1,-8.448245898112255,4.685875576822066,2,44.233516109840664,1,2.9399541779527127
1,1,-0.02867609178141141,40.078840062673564,1,1,0.8171302357052708,1.0348314286166544,89.57696729211818,1,40.115900132448616,33.03724506809628,0.8980252770267121,1,-0.6229696977308539,3.116337727431704,0,45.013675924392906,1,23.909705231135042
0,0,-0.1269383493848261,35.22852769066748,0,0,0.4426746279534731,0.17197830007058057,25.02150632716134,1,57.365319845558446,19.240572576610624,0.9269541400173786,0,6.061031293281314,6.342470425242954,0,32.922147331407594,0,29.849118832860945
