S0,S1,S2,X3,Y,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
0,1,-1.4440405697575107,0,1,32.979408143482424,1.1442019071896876,0.6447238608677932,4.573973908353624,-0.5144509518389961,29.52325184578754,2.9545432123286277,0,29.654431948081093,0,3.7383210839278966,10.008183906945685,51.762027258188205,0,1
0,0,-0.1726623411835353,0,1,44.898583982914595,1.9339263805939408,0.5151390822107053,5.1270185055882855,-0.6595402337405608,51.890813661471796,4.37179700470523,0,24.30869759474501,0,-3.8408083815364584,9.87121586389489,56.89509431727552,0,1
0,1,-0.02540708105268273,1,0,47.0847973775128,2.85694442507999,0.4207935016045126,-0.5398833924935111,-0.5708061835968834,67.70237329044504,5.418266929313208,0,25.31279733900472,0,-4.989684302049486,9.728082896261013,58.37341201639149,0,1
1,2,0.5606368429730186,1,0,46.2798021148632,2.866482990337263,0.3964548022867409,4.001906776353543,-0.4930736015270946,68.35160820563425,5.11160354580241,1,27.660547767561173,0,-4.743256343257066,10.465606467277118,57.3645446187558,1,0
1,1,-0.1117980071215452,2,0,59.817044824384325,5.227350951059432,0.2704096848314881,-6.00218537064505,0.4395848842729655,45.10687979885037,2.1733159083573232,1,71.73653750846897,1,-4.551781781255382,28.27761241234127,33.797742674707926,1,0
0,1,-2.0481268100630023,0,1,51.68743926842883,1.9968060458716748,0.31785076641598164,9.353982848701236,0.509547360146262,11.39573234204812,1.845476389561524,1,59.4348626880652,1,-5.4732701339183265,22.31895434473924,37.16181406529245,2,0
1,0,-0.3865345572139563,3,0,69.97208448839305,33.69630730272345,0.001321916243462562,3.4691717152398347,4.4605743041253305,0.07438508622554796,0.1353352832366127,1,99.99988998682011,1,-4.029913438178311,39.999983675628215,18.0000709598449,2,1
0,2,0.397785830994943,0,1,28.00294458675237,1.715994214970516,0.8297730374608197,-3.3856912307823803,-0.8665094613187478,59.268301778270484,5.431498706540529,0,17.27089306062758,0,1.1128028161505181,9.975794373238692,61.1206075629769,1,1
1,0,-0.1526922571412578,3,0,65.08016374568501,7.852363330958443,0.09346478548861803,0.6819513048735573,1.3629211352608697,23.66938599158147,1.161031791119572,1,92.66617249772928,1,-4.393753074634178,37.261009995300554,22.462178790074187,1,0
1,0,1.0029768047800338,2,0,51.643065887788644,5.134753278180251,0.29131244886980584,-2.400865901981165,-0.1793757144500492,68.8435823359754,4.511228175930453,1,42.55922255454063,1,-3.854058263466107,16.422621486492464,51.618422448891806,0,1
0,1,-0.8017549764904478,1,0,51.22413616364247,2.7008430224525237,0.3439488409157343,5.933325478877421,0.13477123212788397,42.83519266748597,3.143366875308715,1,45.02136268024597,1,-4.932893961428375,16.774797780003304,46.9959769567946,2,0
1,0,-1.8217967521740746,1,0,63.38025881986543,4.418158423853316,0.0683281531055282,6.8502830628609885,2.382641345636854,0.6639460787085483,0.39080666701169064,1,99.00738666298246,1,-4.886538048129962,39.64718873531087,18.35456568562831,2,0
1,0,-0.4001693182142244,1,0,53.083819717234256,3.5257591676957856,0.29210960835525424,-1.2048118732081416,0.13170811914440564,43.19725454425847,2.4237653423471825,1,59.90419883573803,1,-5.136030836941579,23.48987935384139,39.37096585762545,1,0
1,1,0.5952885794802498,3,0,62.08586374739505,8.227827599258474,0.1961939777191649,-1.4763350364143122,0.04166323000659149,72.9694726769628,4.5998884845053265,1,52.45663731248803,1,-4.868877463388996,20.89383156753084,48.07950127232955,0,0
