S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,0,-0.04290395827059195,0,-0.45474000902238193,0.4864533463621194,0,1,16.351965328030857,1.3521604789736958,92.3963309728669,1,3,0.220334941111213,-0.5759482819499365,37.46998155905446,8.413222253886616,27.334813518993435,0,0.4546716858371206,9.782577415685502,17.8303919030611,1.7881496929141978,0,-8.078561413433318,0,39.92163216332747,95.44080297195558,0,0.628721020846525
1,0,0.4200385840740178,1,2.46930743737694,0.027459816242705715,3,2,60.19131915224069,9.0122385358227,3.0045042599918856,0,1,0.9842842007006832,-0.6943371570897293,37.158913830698026,-9.607065138480099,5.9259798422116505,1,0.6190445023194637,45.59680963007358,27.19321609289655,7.652028652246559,1,-5.042506561810754,1,34.226786817616926,37.04071072389471,0,17.49157014370639
1,0,1.2273277220549879,1,0.6862843178957092,0.18389118307082397,2,2,27.230091211415292,5.956271227666864,73.08223108515762,0,2,0.7296614974399738,-0.5631054579044434,31.989159069755488,-5.659187957758743,22.0538518379253,1,0.9535134693335052,5.980196341925885,25.391836339994743,2.733582679697929,0,5.611405988014997,0,38.12279789780435,60.2285881894196,0,4.7976885938252956
0,1,0.859602183516213,1,-0.3946510501672429,0.499589965282003,1,1,67.58712023127117,-4.142472890540861,63.245161551107834,1,3,0.20522802579516797,0.08663344464858605,31.123334481018567,5.030609441582751,8.557307001487501,0,0.8357930062426603,41.91769878322827,19.19724045959675,4.0514915293233535,0,-3.9763056282174034,0,33.63472402567936,27.077548859624024,1,2.2134458458672297
0,0,1.2417966107308755,0,-0.5947007092814839,0.7614756567569774,0,0,22.020570123074368,-5.580213334094639,52.49741075582779,1,2,0.18524936549655002,-0.6801426749202589,26.983982906143314,-4.811885093370494,18.07373592192018,0,0.8889100275732946,67.66098933870474,29.70072057276181,3.3522654397015472,0,5.376337279257754,1,32.080982361086754,48.45978139384751,1,2.352743316805184
1,2,0.45807832616046834,0,-0.5778497438079014,0.67855510318081,1,0,26.568036279253718,-3.6168704040106237,32.09479423674615,0,2,0.6642337052642249,1.1339473165749165,25.69496077984961,-7.209989944209801,20.179258794804934,0,0.44134237990423025,40.285731783022825,33.48788613519736,1.5279752627154075,0,-8.376181645430222,1,64.88060361923692,55.27945963219805,1,4.8161682204093745
1,0,0.8788660594080446,0,-0.19326194743126604,0.8129398573676527,1,0,12.37228277499061,-5.1414330854592825,0.13769195098134457,0,0,0.22455896171383716,-0.9539350670610777,27.641881018142563,-3.237085485114843,15.4787093431367,0,0.9363880152836104,43.62655018330817,25.075510687688976,4.561120618896588,0,2.2028024797419814,1,35.06744883960964,72.14762056891847,0,8.375280695042026
0,0,1.2061826805274727,0,-0.5184155949777588,0.5578885614924171,1,0,12.266580588569717,0.4582344288013793,76.50111166713747,1,1,0.3374268615863131,-0.46012872545613703,21.571011021845255,1.0562562910978261,12.229886379581423,1,0.8947318348193909,37.50743339201626,20.23824892734662,2.4889208466338753,0,-5.558511034953871,0,27.16781731770987,51.58828768499072,0,2.374356246949867
0,0,-0.062334728237413393,1,-0.5169605152269671,0.5128007616087011,1,1,28.67746562358527,-0.8707994796899641,75.49472925208065,1,3,0.249092217976435,-0.7599929972629459,46.72114663348091,7.141106770941125,4.057721416608498,0,0.30696586683994614,51.77898316388869,14.857761019628231,4.285937676236773,1,-3.7464415802883124,0,57.65673493166954,30.668490767518332,0,1.89856917055492
0,2,-0.5493530794561846,1,-0.4937350526316676,0.4904481758769851,1,1,21.08670955832297,1.179561621525382,66.14943045514177,1,0,0.4149128677576016,0.761640374040513,55.26185978181843,5.121184822151108,24.838210114731428,0,0.6577413460388261,35.319333501024715,21.049269377360527,1.5212403144874722,2,2.4819048906311014,1,55.392796831631834,21.696803308015898,1,1.8395310029160084
1,1,0.587978284946631,1,0.34436656754665834,0.3531827528605119,2,1,24.84690190160237,2.981513623628768,22.61267412145977,0,0,0.6660815061570604,0.2513892831572675,39.96836205639012,-8.528488155969852,19.0313997599246,1,0.570983765661189,13.20114157347415,11.488039348280363,2.4922129067839833,1,-4.538012685489235,0,45.87518326736443,49.425452330185166,1,5.165184399826726
0,0,-2.1204015355335475,1,2.6504734880429135,0.0006023811021931835,3,2,39.09165508242811,9.987184038150513,64.06610234148971,0,1,0.9969794344172165,-0.765048185397518,69.617037454692,3.050359068673419,21.215772577843467,1,0.46590224892089716,0.7577095538015177,17.57271728029354,5.986820766453245,2,-5.584779209577392,0,41.17343563405846,30.329953753191575,1,2.8723592572834087
1,1,-0.4755036233763908,0,-0.5391111405180514,0.7687638918080288,0,0,58.80438454420384,-4.672557512385183,40.526983734416994,1,0,0.26130863687375827,0.06711422642592074,51.20154726171994,-4.032957178730561,7.5096862182814945,0,0.8256688028596599,37.15108712408321,13.710398926478927,2.9494144615941806,0,-0.5765375679712221,1,50.56833839087162,91.29483612273641,0,5.253715442631634
0,0,0.6975986520873343,1,0.2472916396464817,0.4130113350519225,2,1,59.86741178378148,-1.2600108729874968,52.71612712111471,1,2,0.4253045940729182,-1.2216581847268364,30.691656358436248,-5.468440271363891,22.34291422415245,1,0.7752271930299262,28.351285601152235,0.5020677926500383,7.242279264112345,0,-2.6659988469540297,0,55.05621041665118,29.48084083785909,1,1.4968347213016937
0,1,-0.9228655713033944,0,-0.5827575353767315,0.6368049779678238,0,0,51.153741761103724,-4.525254142020698,79.26205523830099,1,2,0.3673422989248703,0.5710378398282236,61.489050961587324,5.502732019924119,35.39838489592027,0,0.19040348240562133,31.63024821729688,17.32795374874676,3.828689186995058,1,-7.0377495517447315,0,48.75639984112921,54.417570368235644,0,1.9895816025769633
