S0,S1,S2,X3,X4,X5,X6,Y,X8,X9,U0,U1,U2,U3,U4
1,1,0.6783419196105424,0.5940245679704047,1,29.538461080741616,0,1,50.94339256471879,3.109846039161022,0,30.578907357678194,-1.3563144435623846,0,1.8535168268230424
1,1,0.8033892781059911,0.18317761975212654,1,13.484811184280087,2,0,45.857130782464935,-6.553701471913009,1,79.82837440221647,-0.051358605404917504,0,5.353863647835359
0,0,-0.3664430125393653,0.343583824575889,0,15.271979628293266,1,0,33.90348368469627,-6.113343848941362,0,32.83053032262365,-0.28094047802259176,0,3.575583698375514
0,0,-0.11616508315236904,0.7859655644612761,0,22.510574674127497,0,1,67.83457154637696,0.5977267135256703,1,37.36239948102465,-0.09088551331695993,1,1.9381969957103824
0,2,-0.7481654096110234,0.16242198144796727,1,8.1353956117412,2,0,34.0977749853564,-5.885221934740844,1,89.3789423592051,1.086718748237652,1,5.911402082057838
1,0,1.2043277571207436,0.8358474693674973,0,29.081330113549043,0,1,38.23611792423386,5.643655257471661,3,21.622940307716394,-0.5094895398387517,1,1.4362921923602532
1,0,-0.11141662453904798,0.7971789872894328,1,33.28312944463839,0,1,50.85229124976048,8.33660950087004,2,33.90097556594751,-1.3032162549890116,0,1.3176187165576747
0,0,1.3289327318920452,0.6035032176603027,0,27.647288358428874,1,1,32.025229641273135,-2.908194495476504,1,32.955274934830804,0.6162253263225841,1,2.3697586322803037
0,0,0.10279963256727481,0.8178458418561162,0,22.339327506496293,0,1,32.17789744017065,5.395245410099667,1,38.98698569678873,0.8678340469483818,0,1.3124144925111978
0,1,0.2235792502195909,0.617605714800867,1,17.85700635460267,0,1,37.841582365046776,0.5769071476695302,2,31.104618372618027,0.4991248201272446,0,2.1739400127952555
0,1,-0.8247639551937285,0.27485297217964044,1,10.074611070700538,2,0,40.324077758884854,-5.831818661012918,1,80.18639421618032,-0.46833468843812504,1,5.176812242665734
1,0,-0.7913877692200414,0.9558327406724398,1,32.62289178743089,0,1,35.57948824794674,9.832319648959995,3,32.03480776059783,-0.526083844772534,0,0.6919864330537635
0,1,0.21761148014262427,0.24265805105007082,1,9.196319976083862,1,0,44.81667863610873,-6.089521752128901,2,57.85508776761712,-0.340648150282757,1,4.6535797295945205
0,1,-0.26326022607957433,0.3250990044615656,1,13.380126100545823,1,0,38.69461796936129,-6.205972672538065,0,56.602815740567536,0.1453055707949833,1,4.7241592730886435
1,0,-0.4708109659012459,0.8347159694683589,1,37.613722832139935,0,1,61.41808576690967,6.350849759917274,3,25.515776165090532,-0.9341872000590048,1,1.3047990394423683
0,0,-0.29734601670719146,0.462550006178754,0,22.360732542556793,0,1,38.187220250800046,-1.6308688769776918,0,23.992397681661622,0.34765115923679696,0,2.4715701071637577
1,0,2.086495502586139,0.8602965965103876,1,32.83488563720957,0,1,45.59689932326296,7.5824424162859785,1,27.812085785204122,-1.1366438126221323,0,1.2906250181387098
0,0,-1.122741481034195,0.5289569420421412,0,18.047136328211238,1,0,32.17183490240442,-3.56607639755949,0,22.59340807901299,0.49800309794219155,1,2.843143276517429
1,0,-0.5619613791071154,0.5327599251849126,1,21.403186138418047,1,0,45.36195451901665,-5.75349498454302,1,32.190868130508164,-1.1836623366718597,1,3.4137649793894744
1,0,-1.283630152895097,0.9275895496872457,0,34.99092711389275,0,1,38.45130639661352,9.180861868181932,4,29.200531826744207,-0.963025232437517,1,0.8156402564503606
1,0,-0.11653046229719646,0.625752762542119,1,26.581548266186697,0,1,40.25047504703724,0.8573825067151297,1,25.621507610812277,0.08472313311907813,0,2.258541880526166
1,1,-0.14632995567405585,0.8428761495738238,1,38.49479752006787,0,1,63.54728109486929,7.0549259176579895,2,24.697563909330206,-1.4434229967657908,0,1.3879829764402372
0,0,0.12996744462072982,0.6116918584659845,0,19.36419188639221,1,1,29.51759944421489,-3.136292275877527,3,25.895157713314838,-0.7208164082932655,1,2.6270949716327636
0,2,-0.11436724162741525,0.15196318218853444,0,2.758452953801438,2,0,47.08032090732941,-5.181103660708252,0,85.23787879263247,-0.15837282138911318,1,6.123758578194497
0,0,0.22988792536819067,0.649084785751811,0,17.840268391311835,1,0,29.022933876937486,-4.878687370131837,0,26.792643935748373,1.0443342690492112,1,2.7198516197882023
0,0,0.9382579126858782,0.268687596145317,0,12.871759024205542,1,0,31.50061042496516,-5.498782570047654,1,56.486524996663704,0.19720809154423113,0,4.306559428293212
0,0,-0.2921536500582141,0.3048056637936421,0,6.014029382822699,2,0,31.241962906581385,-6.53001158675755,2,57.00009721388702,1.6952934896623608,1,4.278553303502364
0,1,0.3509543255288553,0.5974505379256129,1,7.479708768806834,1,0,42.83926746367129,-2.0870842979677793,1,27.416043662675904,1.908616175206838,1,2.7755711522071613
0,0,0.7032822411582798,0.5360539803646808,0,19.22847429472634,1,0,27.92595082248853,-5.770066503002457,0,39.015914241596725,-0.6097554282521767,0,3.2847696936085686
1,2,-0.23401066953823485,0.09061140309957516,1,7.107467181627307,2,0,52.69589626687349,-6.342849733224957,1,83.6489222531713,2.080645886128871,0,5.365160047632454
1,1,0.17729528631829075,0.47924456758481937,1,22.480425377625572,0,1,48.59683701051043,4.282322662246312,3,29.66207880793196,0.3016145294585001,0,1.851434777508234
1,0,-1.9104900897711927,0.618783738466915,0,22.320752194959617,0,0,33.61686616225922,-2.4877125144929977,0,22.205479516589723,-1.205477598307785,1,4.516235413694495
1,1,-0.18886549369233582,0.9105776048169956,1,36.348871574698045,0,1,63.32202370370226,9.759969930158256,3,30.308671497619045,-1.1522797561087714,0,0.8113526202135307
1,1,0.31901133216855126,0.7867742034422813,1,36.59070863528429,0,1,62.67753988052947,9.0453144940243,2,34.41050493776711,-1.0231659172172396,0,1.0219438495462636
1,2,-0.7052247586814716,0.3456653189127701,1,15.538293642098772,1,0,65.11615338649355,-5.280330024502769,1,29.473745716629402,-0.2385967222380904,1,3.7037297223642254
0,2,0.46647654583783654,0.06782392504897605,0,2.5906348765486964,2,0,47.78455537055117,-6.010201634913381,0,92.24994385767027,0.07472071849789054,0,5.485510228949195
1,0,1.3595091595677307,0.510615243008984,0,16.365173234524157,0,0,36.92485786461843,-1.5128221278222078,0,30.52867594619188,1.2388826765396461,1,2.7705934253994395
0,2,1.071161061306556,0.03450030256365216,1,2.020309515299048,2,0,50.892801992447275,-6.174775280065694,0,99.9555058887643,0.34814180475777123,1,12.965866135825951
0,1,1.647107051945624,0.19870701601101093,0,4.68608994953099,2,0,34.07445111586732,-6.062797706907227,0,54.303899386220486,2.00628768568424,1,5.440701937828776
0,0,4.767305610688272,0.21229688202518843,0,8.896753747490768,1,0,42.193463773238506,-6.161659908076842,0,55.02630724932863,0.34604103341895215,0,4.108164534659308
0,0,1.0941845758617732,0.5930591807647887,0,17.328866381212308,0,1,25.811399927748376,-2.0708821363827923,3,33.10600667436182,0.4780255258251491,0,2.474833420702506
1,0,0.5379238332699968,0.9948094423775173,1,39.812504748154936,0,1,57.59807670390332,9.985330423643425,3,27.042317683502482,-2.373238391772085,1,0.47751081632619563
0,1,-0.2009463122808879,0.22803496646053345,0,6.227859117812137,2,0,29.603835586015563,-6.469552222861051,0,67.92329783967838,0.9648834411174482,1,4.956793532456515
0,1,-0.7870726550332529,0.36731279292967717,1,6.945712522909462,0,1,38.73647514421879,-1.3219146447943473,0,29.991773123333388,0.28581026968164175,0,2.5115346469708957
1,0,-0.10147148830001272,0.9276065671057399,0,36.22580693298047,0,1,32.794680583011434,7.788253594559453,3,29.9977429119958,-1.307033420832308,1,1.0384127899745252
0,0,-0.7739441723462458,0.8172989950648994,0,36.18668251577395,0,1,33.02302126744862,2.602879153014454,0,27.18692672417726,0.8260538535936699,1,1.545473295113154
1,1,-0.16942622629720241,0.6504041487631178,1,22.329561557376397,0,1,54.97806169991288,1.5256030285900692,2,28.253993209056972,-1.3118097452303858,1,1.9455610009533884
0,1,0.15414231628741526,0.2819550030328722,0,16.992438765611915,1,0,30.240624936739696,-6.289986839710808,0,25.748874982156355,0.8481112226724686,1,3.631551605666224
1,1,-0.7172314495703997,0.05665415901798532,1,15.980628549542201,2,0,50.76041981123126,-6.196574248019963,0,97.07034421497582,-0.5585127248377161,1,7.590990831682416
1,0,-0.2281798771246122,0.9391195421809695,1,36.570606968160035,0,1,58.95635261170195,9.89178864716914,3,28.15396743775368,-2.024258454697191,0,0.5057142619328855
1,2,0.7845624310806082,0.20582718727889754,1,25.015383318425087,1,0,55.41938036775343,-6.245534448372794,0,89.79980015834234,-1.4684592500768208,0,6.4606805980178095
1,1,0.9508824506346897,0.4800976649453333,0,22.417721374676244,0,1,28.15503832257128,-1.7526579103529354,1,23.184980885576785,0.4343826433920117,0,2.6166400800528833
1,0,-0.16750701560511672,0.8040442535192893,0,32.519368077592105,0,1,26.56537952076208,2.9432864089206348,2,27.44828712366137,-0.0735214761550396,1,1.4618456946676852
0,0,0.8887933850054095,0.20457071162560786,0,4.70303586691535,2,0,30.67579734529479,-5.442611356595873,0,68.15677683671034,1.2395932995848817,0,5.393783331046205
0,0,0.25029774325440857,0.6800451425338789,0,20.453020575626446,0,1,36.33870614760394,5.005202620907969,0,28.08314230793021,1.023673975913166,1,1.7518599161714006
1,0,-0.6845831389386331,0.8574671878081777,0,34.78047696128406,0,1,43.32252192344058,4.900700681621393,2,32.859206981011546,-0.7344227672115516,1,1.3733870888319109
1,0,0.32342241271418937,0.8548189971584272,0,31.212056240999182,0,1,32.094989055140914,5.529997679327421,3,43.16072114445533,1.9883897238434212,1,1.113201531303651
0,1,0.032638085104697734,0.3957804639995088,1,18.685137732780458,1,0,35.743441134069,-3.9513326653535543,0,28.552517967782286,-0.21001650978232342,0,3.261881575368774
1,1,0.18451086659283486,0.9458889625041982,1,38.799797063723545,0,1,68.18245579857141,9.794093966793884,4,28.501084131624033,-2.11090830676309,1,0.7139550478388398
1,0,-0.38139226452213243,0.7294674774405284,0,21.277398218023222,0,1,37.802966595458706,5.683544492491084,3,29.64994126631027,-1.0323995728019628,0,1.4756928141283674
