S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,Y,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,0,0.8599944333526386,-4.609402505427454,42.95934792767325,1,0,37.838196260506706,0,0,2.843084821636033,1,26.913987157436488,0,6.352992264973707,39.925046458938276,16.63029776066074,0.34163719984821833,47.63024956748998,19.561191879727463,-0.4280963439916243,0.8353882852679699,1,58.72286128891407,1,-0.1267587147110977,1,22.953092546712455,0.01856037944562415,3.9887125729991086
1,2,1.2712430409942432,0.19191576755086537,44.35063289327468,2,0,29.921261570977965,1,0,2.1664861091394294,0,66.25182253510309,1,4.405691604685671,65.0680980306426,9.96712221196793,0.1155089139266271,52.40250820675947,83.08173671204366,0.07555528379296494,0.9082311958407687,1,65.06547299159332,0,-0.3560932655907887,2,16.736191760716,0.47694952674992597,3.309287202454845
0,1,2.560123901565255,-6.736249085951156,79.33336476126316,1,1,41.303610155816884,0,1,3.5503490996050378,1,22.61822702076797,1,-0.9140377124907388,37.76760118423415,30.137777756063322,0.49207518358971214,34.11108443088243,18.236561514693932,0.07490883033702934,0.96131661866358,0,13.526237011458488,1,-0.11100201262624353,0,17.84097049627926,0.21950647638854492,2.582734089045934
0,1,-0.09123432861724377,-1.7053820844036203,63.70459647233852,1,0,32.561091668647116,0,1,1.1471846830726067,0,66.85853625673549,1,-6.48991920683596,42.97454837915476,8.077010659669668,0.9497589861575351,50.231116185497314,84.69107503176178,-0.08464007355729848,0.6251105289908552,1,18.83781770820785,0,0.5270641829969027,2,19.664434054945247,1.1797960812237644,6.469758221677754
0,2,-0.33182710295156514,-4.868817903299016,99.85913068368514,2,2,28.897326080693592,0,1,3.6629276768447627,1,25.189121449385638,1,2.53373271998675,39.84517316684088,39.811784011304695,0.45128030356132115,26.18927414590398,57.847243770017,0.6933401335130599,0.99983037918218,0,74.91050132545313,1,0.030388500913558502,2,18.003276101785936,-0.3976303656812445,1.875245215188718
1,1,0.16376022680637317,-2.483086922160714,67.87405957617146,2,0,45.264722778096655,1,1,2.3638841580382124,0,33.64638451439818,0,1.8442600340740043,48.74073567877328,10.847883249498336,0.5489628912666626,47.204403975577776,47.7431967694682,-0.058880078636311416,0.22156944881802154,1,33.757403977764874,0,0.05900038293162051,0,9.94947174830937,0.28624784226790356,2.675113148440521
1,0,0.9551424468901915,9.040218261510788,60.479090397347804,2,0,47.53993628886411,1,0,3.533128544411446,0,32.69128905968576,0,6.3486855447923745,35.1051447683776,14.356968186282389,0.30094473529331234,47.13269931807454,35.81433638285571,0.26892857653225777,0.3027887174468342,1,59.802477002236635,0,-0.3729424874445814,0,18.231226614292257,-0.13068510632645752,1.603886970807369
1,1,-0.6051204784857828,1.157281396285752,29.01976295944868,1,0,55.771634908846,2,0,2.2593869246418388,0,21.39109328529967,1,-7.091517779412026,37.451541712145534,11.254616334753518,0.5177755916718101,45.827149697275686,57.953074395659044,-0.2745413326936705,0.317191956238532,1,32.52960680381105,0,0.5033311158978266,1,12.66527448303734,0.1344256720958489,2.822298852564639
1,1,0.07458874400200874,9.754009687449713,79.31182025857544,4,0,18.203344211001877,0,0,0.545835281425916,0,79.99901738017618,0,9.509963438276007,69.9567856869817,1.815187086504606,0.16100106144903015,69.755448976134,99.7817455901856,0.05421660417184505,0.19866798779587774,1,29.0111438482573,0,0.12492739739481322,1,1.3473900656009241,2.0504618081998265,5.047228441245348
0,0,3.2335694889834126,8.124555990775995,35.80194893380989,2,0,39.08127749031047,1,0,3.00796746712945,1,26.260104983146448,0,8.24944887183733,54.698208007032285,21.55491965981966,0.5743161395703522,49.73655367209131,49.6809003232806,0.03149120783877759,0.4896031033638422,0,38.422178142378804,1,-0.11968181110682276,0,36.040485250507956,0.5765474571796948,1.4682524425410297
