S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
1,0,-1.6258532174649651,14.54845663171695,-5.205107329277551,0,35.60901711130213,24.034264259576457,16.795306411133424,0,1,0.18046461722946275,1,46.62746738513387,0.17684728003856573,0,0,44.74771753742488,3.1400820505575116,10.674952821889345,0.4813208855919205,6.276351531804797,35.4197290761605,98.48305870713251,0.16878891314163874,-1.400014483269672,20.37247928956655,0,-0.27152392484996823,0.8751486299501161,2,0,12.383372935947168,1,31.361137581444723,69.26974607667165,0,0.9563771585672634,6.313276626111884,2
0,1,1.2025047014144237,39.27032469023408,9.508380782591502,1,16.369072867880835,12.72566313594429,78.89185077345738,0,1,1.2156477412896305,1,62.68604937072815,-1.72711935968853,1,0,11.030954998367676,-8.293842428935697,22.34270551837252,0.5468355444973827,2.157438186177373,75.43740253208601,0.07034221831824783,0.9917251957234046,-7.644518156263702,35.204826634925865,1,0.002699881462356795,0.29942153723580656,1,0,91.59800320035775,0,33.318704008915915,64.99768035348855,2,11.389501313851813,2.020678292607909,0
1,0,0.22877353921034016,9.201455328920963,-9.890574799239593,0,59.12840833998454,22.92103624834749,30.228329130578345,1,1,-0.4589352997659876,2,36.8291771250121,1.2000836548293647,0,1,41.82866066054495,3.760904686098039,13.122541495622404,0.3046037539501492,2.8414077584842112,2.1576848437384664,41.11718503966523,0.15161431788328195,1.669490099129387,36.90903447547797,0,0.022997568089296334,0.47857749142118744,3,0,5.689131237238209,1,25.76801747478553,68.06126726339384,1,2.730133208552063,2.511821587247041,1
0,0,-0.658993705972471,35.55171898697804,6.169854321499358,1,34.131215318045975,5.370630877091496,61.87205879777741,0,0,-0.09988029090551291,0,28.199107575309956,0.5216705885851474,1,0,64.5695476498919,-1.5300799213494223,13.594679538787368,0.8554833213587789,1.1516809512748971,29.32165922960257,40.42916350004625,0.9793454546026432,-1.5609311689161505,69.99999859291376,1,0.26609192525615044,0.14968420754891154,0,1,66.88566144880559,0,43.79756533708069,2.993546675313956,0,13.246187559766803,1.1540516098751465,0
1,1,1.1564179130128094,10.853230451834222,-1.5873024837137706,0,78.75194049015062,28.0854468537514,23.663638353828496,1,1,-0.3397291910511335,1,43.57835105252086,0.5852201817661591,0,1,44.83037422590669,3.5777912892246952,22.435141837517904,0.24620745290134288,2.572441611615385,57.57052711674782,56.13831737089008,0.3302820159555102,3.8245809562320083,36.516261680519364,1,-0.025429950647122418,0.33681875608566164,1,1,66.8093263376924,0,44.78661875592036,24.526249961439596,2,2.944037534947975,2.4203192307218,0
0,2,-0.42454079470816564,11.63988192548322,1.9337167809787772,0,53.40744225894395,27.33480958047304,18.142242466652764,1,0,-0.3171663843950979,0,35.75647210744748,-0.11600037817180188,1,0,60.92052830215101,4.220323092447195,13.036844796107784,0.5385573225856558,1.6354246474201812,81.73703430668107,53.46859619489176,0.6073783417196557,2.051087964253309,38.74286647724773,0,0.014334561954921015,0.2627940635219145,0,0,72.70719964249294,0,39.20869478857621,49.51540880502306,0,2.7199038228637513,1.5024588477509817,0
1,0,1.4302035517896619,10.04793440232929,1.2839631307441213,0,92.53148655803636,12.716588507920097,78.349334991469,2,1,-1.0145552822697597,3,32.01365378331286,1.4161074096187416,1,1,39.462095224058,-9.474906518586613,1.7604930985499267,0.48699317579864676,1.943023347039166,17.985821109735085,14.018589413078269,0.4286849359101638,7.55356486400904,36.59164596462152,0,-0.26990582667507385,0.1902029692971952,2,1,80.98770914115705,0,69.08010149091531,53.803230328898486,2,1.8112762423464361,1.440947920036822,1
1,0,1.0257398597349712,3.924432118724208,-0.7002094760368003,0,91.29210511030136,36.561419581971116,31.379667537705608,2,1,-0.8745081782187226,3,40.75074058957062,0.18121829191190236,1,1,19.81916633734613,-7.840985276815845,39.99851268475967,0.32973056099273257,1.8550677368417572,35.927247059430236,19.368317827334376,0.15287351034108437,6.520790222128369,36.7988827105611,0,-0.277934924611132,0.25321395487192744,1,1,70.70670579826252,1,24.189159904204246,50.33957677754518,0,0.8106449939536656,2.289186800472062,1
1,1,-0.7885881042612153,7.5382135570645925,-0.14924818121331462,0,85.12970137245101,23.907343708679598,52.949771521977084,2,1,-1.1239511760638567,2,24.884542075472172,1.0626799756268566,1,1,63.45149531566054,-7.692578964638322,35.24271259808933,0.43404627285930797,1.160673537586885,74.17085442868395,58.27423605579371,0.4637971533666293,6.87085171929753,38.55327866091082,0,-0.45588160955927076,0.16054519430236974,0,1,23.14585541769573,0,55.04597830972409,18.590395114073296,0,2.7762056228352647,1.1559313802410167,0
1,2,-0.04002267091139987,19.120637163951272,4.104333166556566,1,55.8412213930601,14.259639666114111,6.3611607448942475,0,0,-0.23069978173062602,1,40.67408068688685,0.305768381226828,0,1,47.19016458077362,8.984421290412111,22.92847635924374,0.5012055455315115,3.067268603619741,64.41372431536084,34.80431879928171,0.4513218547222447,2.227135882981038,37.81528806565545,0,0.04258665603552352,0.6600648587793835,2,1,60.04498067317524,0,69.42784430696707,17.71148064692563,0,1.594532536687722,3.7375249486507545,1
