S0,S1,S2,X3,X4,X5,X6,X7,Y,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
1,0,1.4101183106111865,-5.5214813053943645,0.1594896352504832,0,33.751378305483534,73.2786803845487,1,1.9064405411174916,0,0.2751374776076593,55.077069823671394,1,1,7.2498444753165,21.75168546498677,0,39.50743570343658,52.519449507145154,34.85151791932133,-7.327246513203281,39.86839635997075,1,0,-3.5738468485004766,21.578418496957468,2,0.8232434079693889,-2.4374296755655784,0.6890302430408896,0,2,2.5500153610478113,37.730560239134796,4.022939929728356,0,30.341957782618124,19.997339441656358,0.6395019190054233
0,2,0.11753932184051598,7.77740902001873,0.41793248179846376,1,47.45297021193734,20.23666122910084,0,-1.269991428740949,1,0.8589565526184854,14.85836468605299,2,0,1.8775212081676518,10.09942363290005,0,9.184721576958946,50.23521102919113,48.35924171961959,2.3489883823654107,11.177915626285412,0,0,-7.640065248879541,12.148864655671453,0,-0.5748076853642029,-0.3706148012187107,0.6144667306302329,0,2,5.236658013307997,62.11486834797612,5.134095508621208,1,24.857986566699054,41.07365029483731,-0.6115668432010982
0,1,-0.5120890512108843,6.328969676332591,0.9340259901750165,1,44.6138970331195,19.828684705748945,0,-1.3367208726162776,1,0.887369410659881,12.252152176785112,1,0,1.8103092412300426,20.870811665842425,0,8.869648716775657,31.53625741454932,19.975661275205255,4.078120647225088,45.21158195814413,0,1,1.0812386244137624,22.794591528075323,0,-0.6908837925406595,-0.11301554187087959,0.14518652588742892,0,0,2.972559430160405,49.73326616885515,0.8045784883771375,2,23.327005791818006,22.34622180139415,-2.206087778316771
0,0,-0.4755353723846486,0.39705075634004494,0.6682259448170199,0,24.74230745399843,11.935213204661599,0,-0.15488564914801337,1,0.29125267288111234,63.98457204084862,2,1,2.41144488701621,30.22744311266594,0,9.66029178696135,59.22112335416585,50.15555773148029,0.38757095432201893,84.85506440144277,0,1,-0.5627869267200509,32.43957859061861,1,-0.27816511661836835,6.941923187247333,0.533279814533317,0,1,2.002441425541695,43.76749560371986,1.2722345318568449,1,32.89010654746348,22.077245605671827,-0.5558861550766394
1,1,0.3704274619355993,-8.329189110347608,0.6145683784935115,0,20.53619404843156,55.19327122149076,0,0.2785827503913798,0,0.2678292750160097,54.06966912201081,0,1,2.0184265957412784,23.532765908546544,0,23.24746143303024,42.330570420115365,41.576897093309874,2.4204908133557,41.6427653252711,1,0,-2.5077329085790474,19.652227143722627,1,-0.9276560126069644,-5.24933558228542,0.2912754190853244,0,1,3.080022834701977,67.99035775398296,1.502899728693875,1,46.606502730225706,34.3413884385145,-1.1315094724221555
0,1,-0.132906067496064,1.6992163358421823,0.5912608971176574,2,70.16778238664877,88.48456008758416,1,0.40443930883886536,1,0.5427876690568493,30.737864609416743,2,0,1.8288394568114956,11.011172223524287,0,20.327390804284917,23.169934732885032,17.357917885130846,-5.880493264934041,78.21665968848876,1,0,3.5734937009316763,20.263058654762585,0,0.978992059394221,-3.0901016031992814,0.05382765036626824,1,0,2.725718012550861,42.630826485952326,1.1476698431864734,0,25.564261345448404,16.284343112515355,-0.12550414679909733
1,0,-0.3477975495000309,2.1677562509653683,0.3194168290711856,2,38.66955240764315,63.80555792622145,1,-0.5354141961001914,1,0.678674140526282,26.25891911064563,2,0,2.5642460906059608,19.397726223996784,0,8.454615042907488,46.96963337903736,99.97395958618993,-6.533298258435899,99.9772911332283,1,0,7.111132765932545,17.245230688841396,1,0.26300965262100784,-7.318573705242039,0.9998872408729549,0,0,2.503127080759872,20.83776137639397,5.247541486428829,0,69.99060139069141,20.999020067981505,0.35188720403407164
0,1,-0.3248120125381306,2.663930616821812,0.09439590960530314,0,30.882119825610243,27.656266322159084,1,0.8389117023280288,0,0.2729363399042378,66.76999273311738,3,1,16.392003617386166,25.822354234255158,0,24.132354913204495,50.75758152826579,5.718651746080311,-8.173340642891993,7.369796764424047,1,0,3.671054506773837,25.439930634546222,0,0.9014485953353657,-1.7110926584963,0.41727887229887684,1,1,0.7502056563082686,39.98528525373867,3.572230017970486,0,34.42921276660795,23.67708572221732,3.7341519773653618
1,2,-0.4993728461074724,9.395913538778906,0.4071492683277025,2,79.89214892788794,99.71519320731885,1,0.5207514334799475,1,0.9071140246586455,3.9910055901456243,3,0,2.219866466206189,13.244651689882678,0,26.322934351367273,18.138315211370728,47.11454865750228,-9.908868447847905,23.34732976184315,1,0,9.96939468539388,20.497965480926908,0,3.685851163611359,-6.1082886426397085,0.6272171255072281,0,0,2.6463691351902403,63.3596175302174,0.4938260361850135,0,39.52635492190766,25.289182284708804,1.1071790538226425
1,1,-0.00021902200294742687,-0.12297140300733922,0.5675515894130608,1,39.48057176356416,59.257273407754376,0,-0.4523153016157656,1,0.5368881622041874,36.01113632028363,1,0,1.4537877789380136,30.002812088477423,0,8.540258914279983,28.606086952279046,63.386220846048424,1.5966735420725993,79.58294959969867,0,0,-3.2047742157054904,11.677824674525299,0,-0.5791077531982691,-4.835146027393153,0.5558346134792405,0,0,2.802365597529755,37.121835304135146,7.761099249769441,1,45.75524409083757,23.479302124400526,0.17197097199677958
1,0,-1.294540281409348,2.627407557134873,0.018174164262709902,1,7.528361210376486,17.350522016380403,0,-1.4144390665693536,1,0.7282077556470409,27.403143584757363,0,0,1.8667254503975788,13.248583409013705,1,7.756096741956615,34.743330814023686,60.19454604370972,5.323640000945517,38.36057233738253,1,1,7.629226059470863,25.4125476606656,0,-0.7512425465300279,2.26247593571361,0.07590318215952574,1,0,3.092135633537096,38.295935066855094,1.3470196787449904,2,35.880620376130324,77.49689080894602,-0.2577820619466078
1,1,0.15584919861986785,-3.522327138811474,0.2831534785357901,1,36.25518251292229,64.7325394023932,1,0.5842093836704566,0,0.2566413044060166,56.95434886230254,0,0,1.8683122687660294,15.07278372014865,0,25.40069649916518,54.27413718677765,84.42928688940736,-0.12646322589421288,94.95959542495972,1,1,2.298653845445063,11.962576341743247,1,0.2101629808509836,-1.8694823875212414,0.7656805232138693,0,0,2.4282088275380764,30.77646591573246,2.979050970640158,0,65.54211294135388,32.15533018105901,0.7102626218658227
0,1,0.1197281317948079,-1.1429508899160918,0.6861662242797828,1,35.777789902371495,36.92331705139829,0,-0.23785950144304094,1,0.48718875990871985,41.5313217556954,0,0,2.2267867018057776,10.606777710417663,1,5.513647620448829,36.26126627725753,12.104393689050468,5.577642418148798,32.26058013007359,0,0,-3.5905036789913574,20.30036049371852,1,-0.8315583527093011,-0.4782524707868241,0.12603636627453885,0,0,2.43794896493907,37.31864672490886,2.987348206927368,2,29.38324466002645,26.92744153149222,0.1582738515328459
1,0,-1.2130766853992287,5.455377155017885,0.2714570292321229,2,19.929240260498972,16.795398419298014,0,-1.6992695577403512,1,0.9093766743226188,10.399070055415368,1,0,1.9006065854456056,11.42015453722371,1,8.260571507566015,31.10238369245959,66.83833917777062,2.5348844804208976,38.66025415963297,0,1,8.846855275889858,29.986820295413494,0,-0.7755049458166029,-0.028950021058539832,0.8019764954332628,1,1,3.9979589266422466,48.58681961766011,1.8252000634210588,1,44.820936663910715,33.165302516755546,-0.31433079135295994
1,2,0.10391678821198173,-7.0117332669741455,0.5676011807475886,1,47.267914112987405,92.99449634032715,0,-0.3716360321398869,1,0.5347913578960399,18.026255638363796,0,0,2.1443234204433264,15.374479679342222,1,27.247049219378198,44.61642481776899,96.35357766440136,9.393323831177135,69.64007850381863,0,0,9.026297039495226,32.8378120569149,2,-0.8542952370229112,2.9262080036554075,0.8731909653258816,0,0,5.415318158430034,32.444450432050125,4.24949617137199,3,69.12944092425222,71.52900295150414,-1.6755277423362613
1,0,0.4047287641556747,-7.105715903850452,0.37425225199776224,1,21.28277062334787,79.94179992363723,0,1.0706399639231634,0,0.2635666360821203,52.57458246900511,0,1,3.516645849945457,20.008960364982855,1,38.317857330332515,64.60959166390822,98.08628943258555,1.1591095565007574,87.31088689806738,1,1,8.799728346338973,24.955422038363203,0,-0.9101160480829874,-1.2670034088975797,0.9802970518396641,1,1,2.653554080389386,30.093944386590138,8.05254939578566,0,69.81758170720283,29.428754708883904,0.3125682475316998
0,2,-0.2565826643604836,-3.903043899553955,0.7296849705307776,0,17.639653190987552,22.62206288593812,1,0.8697603056196551,0,0.2436591690528659,68.34284401422579,2,1,18.629629382747265,23.424140658354386,0,22.981226956504393,62.592891549367636,15.569221665591638,-4.287702687305534,93.35127991709804,0,0,-2.571842748848077,0.002588107226599856,2,0.20081781506035862,1.0088557687121895,0.4450191136595344,1,0,1.8266143175440306,31.300102891890273,5.976614695410617,0,26.395785239521842,34.375046349204496,0.23793523518000342
