S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,2,1.3366900713548922,0,1,0,22.533751172365932,35.0536960934876,36.08095537251204,47.94448091262851,82.40985861922951,8.957171895000307,0.9965736563517935,-6.7450464726894745,10.300492964397192,1,28.349502024724217,0.9404466223457084,0,0
0,0,0.7286337948880053,1,0,1,79.94913735215721,69.97560274781367,3.7557495305609967,76.73943947159627,2.319352124755447,2.1632803205381936,0.5016116282331142,6.008109213643607,0.4655324024884968,2,46.717174433250335,-0.2722784039199938,3,1
1,0,0.17785520913086011,0,1,1,23.210110906096027,34.91608101831979,16.957025742759505,23.771416601390683,94.83636436085048,2.152228559830413,0.43997442681474813,7.951779016708958,6.1174853097067725,0,61.30852481207893,0.14096542551408353,0,0
1,0,0.452315580242418,0,1,1,14.687291335125142,37.454780429958774,15.925036475717116,12.308014295505604,32.684971230709046,1.0958918481140576,0.525224289362532,-9.445540758123697,3.966308054718881,0,51.14573044291463,-0.14641596135613677,1,0
1,1,-0.11047682835776941,1,0,0,36.675598733068696,22.15723242493083,1.6447733470953074,55.07858759883354,97.27927322485259,1.900257930229286,0.9353791214434519,5.657385406560401,2.2253290330474838,2,37.39059963038278,-0.2160821954606434,0,1
1,1,0.2759900470067923,1,1,1,21.803829839821027,33.90268090720191,18.660863862946105,14.650738014678408,64.76368962944706,2.3556487434978988,0.7151915717572903,-0.35099873468761444,2.9047994002529003,1,41.81723999580636,0.0010641247890301791,0,0
1,1,0.4480267449218596,1,1,0,76.45259846121954,26.595964612785153,7.735644993520991,77.73660152879583,41.51947702745604,1.5624925158976326,0.4555035004238329,1.4562963424976605,1.051597860473424,2,42.38320032086783,2.299840490756625,0,1
0,1,-0.4665552248265607,1,1,1,63.05472375116577,25.386780441646795,16.306563275617634,71.12228471316925,50.12397861550332,2.8777949486073457,0.7570117019605933,5.165680299925839,1.3743898272711839,2,27.356725659792623,-0.23761920108343837,1,1
1,0,-0.8002512066534949,1,1,1,65.61664700763976,29.811859744098854,2.9271934591809345,62.632187539539856,61.10344874608037,1.442792525497541,0.7510369869732105,8.700829213133307,1.399840526086705,2,56.76379104833594,-0.5748556113076293,0,1
0,0,-0.48835776741308734,1,1,1,79.38476650718042,56.161003034969696,1.979113704614357,78.72555123585607,15.569403313381958,1.8086169597373802,0.382457054972946,8.926370754397155,0.7497891100411499,2,29.282142099178657,0.19951004143114098,1,1
