S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4
0,0,-3.6195893285099228,1,62.85113309859359,1,0.27251634089079596,35.29486837231254,2,70.62176824703118,0.7909715856364454,1,-7.384613971738176,1,76.51664105219183
0,0,1.1184255276974735,1,69.9174191416441,0,0.16939958617583317,39.999999987042415,2,79.99999998782236,2.0872933373284686,0,-9.912975720553828,1,99.6510532674094
0,0,-0.5720573238174885,1,57.499052780300545,0,0.1794976771174986,23.04443731623504,1,50.36616190318757,0.5945054642857669,0,-4.520119995248331,1,82.1421486409337
1,1,0.3868039446169536,0,31.840124923260117,2,0.6104746069302696,16.469288396177426,0,24.493292950039212,-0.8291995522864773,1,0.35010284549148807,1,24.708632661963108
0,0,-0.48721276929233265,1,56.419433016215265,1,0.3128216422089425,11.04757823584503,1,23.659923856301855,0.07000536087177828,0,-4.334880002328109,1,71.68449886145977
0,0,0.8869050214126513,0,44.688035404118665,1,0.30595360560420803,16.390629993879035,1,24.33371160034001,0.5321907906600835,0,5.69725835810668,0,51.437208639778234
0,0,0.11431558101166527,1,61.248552072894256,0,0.19696102937877968,30.035611892660317,2,59.03293600130247,0.4260210269108764,0,-2.434170103019361,1,86.32631136698295
1,0,0.6842449242924384,0,22.176636803946103,3,0.9156197229390945,10.36597727102854,0,24.315771318796227,-1.0884972559927788,1,2.5358959373246925,0,14.37209103701843
0,0,0.6823783179205309,1,56.091520694058204,0,0.1901675337821329,34.85090229325521,2,64.350980072227,1.6077112983416169,0,0.5483890475701081,1,85.90419300005057
0,1,2.4095113290529833,0,32.84852742053009,2,0.595099373157224,10.548530220573667,0,30.394398429984175,-0.09580737180778462,1,9.92009923128353,0,20.59032868218144
0,2,-1.5269180177962167,1,66.0509266607208,1,0.2713419237076728,30.340807801137643,2,56.757514660021045,0.6244801282325851,1,-3.7602394396175676,1,84.67979033425937
0,1,-1.2578956118408093,1,60.149013224712995,0,0.21866904781056107,37.73963199373556,2,75.43530455384838,0.9081366167629101,1,-5.121836140440848,0,81.31701586433964
1,0,-0.4527312384105309,0,46.09384417612621,2,0.7201789903540357,8.78181901513389,0,25.116335980878034,-0.9326560743483446,1,-3.1267334710304784,0,31.339424401119555
0,2,-0.20445723082966433,1,60.994159547682656,0,0.23290116030011204,27.76128966922542,2,60.729176295193774,1.3194911656789903,0,-1.9823644344169988,0,81.12525110705701
0,0,-1.8147858239782968,1,52.502451330009706,0,0.19722316118581246,18.291438908110877,1,40.562518961758116,0.29724197310502126,0,8.296063789200275,1,73.12542342224904
0,1,0.07375016521700763,0,39.33825962736208,2,0.4739150632233611,11.791405830836839,0,25.21112726339811,-0.29293820956165173,1,-3.9678840005593274,1,35.94706074080126
0,2,-0.5517178382400714,1,53.54055693641953,1,0.24597504707006135,10.52155476983851,1,21.64251828879592,0.6948086576384164,1,-2.9327653350005223,0,60.750893120195656
0,1,-0.29685791133190176,1,49.04530022272891,0,0.21809446190750587,6.576411632880945,0,22.22950189351569,0.13265413331252618,1,-0.8071259890026017,0,58.129190769293125
0,0,0.9426702737933057,1,67.16051729244492,0,0.17487080071351108,39.76842538369428,2,79.84296822637306,1.9648591819469385,0,5.197254056736924,1,98.11127441948307
1,0,-0.708439591485927,0,18.33455564640053,4,0.999691399582767,14.435958971802641,0,25.444418884087877,-2.259202357336854,0,-1.7766948745221676,0,3.55959265241958
0,0,-0.15753867251522755,1,67.10193275568218,0,0.19958252724752812,39.30081179101806,2,79.12797484278698,0.7958801092408616,0,-3.214787132061695,1,91.13406171144311
0,1,-0.7593663560020184,1,63.23341670430428,0,0.19760087339711346,37.051974713056886,2,71.8451785330055,0.9641623355010557,1,1.5805906262759013,1,76.68022813319281
1,0,-0.5353940304435347,1,51.69217421795417,1,0.28287423229374486,8.964797040613623,0,25.58083132409704,0.10483571502385954,0,-5.454268996843204,1,66.56058832679965
0,1,-2.4116270015749386,1,58.84014416254101,0,0.19962733669761507,28.96181232234566,2,63.406976336362284,0.40456521311488136,1,-3.60369732746459,1,73.70888117677568
1,2,0.6572688576390713,0,29.288638800580618,2,0.7021118817007932,14.551514046259948,0,24.343094507545658,-0.5203592371103787,1,4.145921906171544,0,29.02195611757304
0,0,-0.9244198575082617,1,50.447230366584435,0,0.20350668894702573,22.072819124438183,1,42.03340402625507,0.5542144907648283,0,-1.335457373105589,1,73.90801728438792
0,0,0.5144193635555409,1,51.52773645692751,1,0.23756154405007407,14.026273128733656,1,28.028176838261096,0.4800961591695318,0,0.9186517091602617,1,65.61116259758319
0,0,-0.1644713240351996,1,61.97083416802453,0,0.1742772432978093,36.97598280244993,2,71.009237448698,0.5929935401575709,0,-6.828743567089573,0,78.75608535782482
1,1,0.28838360638408905,1,46.66905153124958,1,0.2716271975435037,6.82884767861772,0,24.800860676267984,-0.09129380250539881,1,-0.11752156400645397,1,65.06419262154814
0,0,-2.2283565596313673,1,62.096822953939714,0,0.2553313409999637,35.6269476792989,2,71.10781591699946,0.7432504137867089,0,-2.460572368214934,1,80.79818380478247
0,1,2.398134935055186,1,54.96650177494149,0,0.19965663564357783,26.21535969934873,1,47.31256211297189,0.7986491381132049,0,9.739606156633034,1,52.37858484321109
1,0,0.5390343988717292,0,33.22489060233757,2,0.7544940292585234,14.409911244695161,0,22.29498918218433,-0.7793559172796719,0,5.035347330102917,1,28.59435303587883
1,2,0.04361385730804259,0,32.31005699360975,3,0.7711424421764883,10.584039134480532,0,24.19232980610724,-1.007127228997578,1,-4.619832216285294,1,38.32295966966178
0,0,0.6889580119769719,1,52.006304096733395,0,0.19921291148449233,21.480729532823368,1,39.33091746269164,0.8293951746886067,1,1.738756160493967,1,66.31305621882076
1,0,-0.9837153869693921,0,24.61803182939169,3,0.8522470406147957,11.035364049896259,0,24.935693994188245,-1.840177390482476,0,-6.104002672490648,0,27.72127661586773
0,1,0.5615675544127643,0,40.405316998050615,2,0.5219632605971206,14.612597031988201,0,22.221408630021667,-1.5046988461116066,1,4.4893240382822075,1,38.28673398942718
1,0,0.8679923145379653,0,32.30330874429167,2,0.5525386040795114,10.947952897368689,0,29.315105750580912,-0.17036624600950695,0,3.8849250446788623,0,25.612357849105027
0,2,0.046255425474984097,1,64.52269611655831,0,0.20332453651817234,38.24671110133217,2,76.8151762851976,1.5001395455279274,1,-2.1248372757068665,1,82.56614101825429
0,0,-0.3433846388368475,1,66.4093674191612,0,0.16073025806986602,39.791949700252346,2,79.62883207392221,0.9555365444077041,1,-9.998766591021333,1,93.38179065246335
0,0,0.09833078186407207,1,57.907004207876795,0,0.1911349403837721,29.34187089184148,2,58.5026773628515,0.22147705687499006,0,-0.43840184453385156,1,75.86355285287667
0,2,0.6703320381132213,1,57.24359902042588,0,0.23599564933290412,25.54150385604652,2,55.72275964962479,1.219987194929525,1,2.790691488395682,1,67.29506028380001
0,2,-0.9606538974365546,1,51.434689476617876,0,0.18801025705075602,20.67835307973081,1,37.879243460514125,0.4044454749520846,1,-3.196896873022456,0,66.21579146769987
0,2,-2.294598941323866,1,47.54321445968037,0,0.1731167360173183,13.57845494942314,1,32.77428458789268,0.7875356168401978,1,-3.0633164764842817,1,64.82429349433464
1,0,0.314553473815316,0,25.657282958450697,3,0.7855885031596586,8.898022427550618,0,23.9142638611513,-0.23713760593792352,0,-0.5537642110339256,0,26.852969684043277
1,0,-1.063268718704498,0,32.534817051844925,2,0.6860725945787997,15.276595476093773,0,23.788956142308415,-0.8728901483560048,1,-3.406769430587035,0,31.599098581359208
0,0,-0.521580979907026,0,41.438039056867424,1,0.47246651799546013,9.074332736682145,0,23.24780469694702,-0.12442609035044672,1,-3.9845763582519433,1,40.26138359252446
1,0,0.8552612434839928,0,32.33368297257939,2,0.634678246270029,16.818753844234188,0,26.91399507241254,-0.3225821244804426,1,0.6766563709661018,1,34.30652781370439
0,2,1.4711153737914942,1,50.77982233963774,0,0.18368592154846258,32.36806609427351,2,60.299080244043836,1.4601635589499167,1,6.970181756308847,1,63.3703483385212
1,2,-0.2867240198298247,0,19.27856370359969,3,0.9811965093256201,15.408808617711935,0,28.099111201362987,-1.4498066918800314,1,-0.3201156462845258,0,2.5662605231547952
1,1,0.5797886384746537,1,57.194454682286874,1,0.22957406282021248,12.379268986081264,1,26.310599365617065,-0.21035395197499598,0,-9.764108747811663,1,81.74146015290273
1,1,-0.5344044154608383,0,18.999917152902263,3,0.9886613781586404,10.297971014218149,0,20.57935410147266,-2.1409187803353134,1,-0.44206994494614626,0,1.9956840701334966
1,0,-0.2962939745355231,0,18.266987676094317,4,0.9998099358679609,13.42819240262838,0,20.35262598074403,-2.8497146918857,1,-6.253192537524255,0,0.5481652049283914
1,2,-0.6486919397380057,0,22.03361226000148,3,0.9159127160754137,12.105248330651744,0,22.86464398110638,-1.1276423935456037,1,-2.9389169401977178,0,24.403076478291325
0,0,0.9003633000983468,1,56.95628020239496,0,0.22722008385245474,19.800796150032117,1,41.90616309799586,1.3760125030974106,0,1.3337325176008292,1,77.50942123695744
1,1,0.49133448402571256,0,33.226183876428266,2,0.6594041695813149,11.798965824670969,0,25.624526196830463,-1.2055789925080942,1,-9.940778262700752,0,39.30089243215016
0,1,-0.5275354867584519,1,58.93532101812373,0,0.19252490597229682,26.91688681202674,2,62.068169492397516,0.7149481994591529,0,-2.305037683715822,1,76.51422509294295
1,0,0.5844949405718902,0,35.966327129970914,2,0.4922727017947216,11.952277964683287,0,23.773637336354803,-0.09314357851020423,1,1.2798766173685543,0,28.338901409104256
0,1,-0.9376470698308854,1,57.840066195094465,0,0.2582589791005673,23.851515253671955,2,53.68910977044517,1.9977440751478566,0,9.529931098879764,1,65.3405052267441
0,2,0.5609900357936812,1,50.1594578332073,0,0.19821013749598482,22.70895114243547,1,41.931167821786445,0.3775293800603338,0,1.363856205945682,1,73.21353764778185
1,2,1.2288019523973057,0,36.77357605471398,2,0.6816008705501071,13.15691565507581,0,25.59755285618435,-0.4411445004557303,1,7.745198864258072,1,28.158872789593364
