S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,0,0.21659465698528488,-0.7991712228680883,1.251639038431525,1,0.7924037826343189,-2.63523213384474,1,0,0.9963008885221472,0,2,1,-5.3524428248647045,15.084954933247385,52.60982932407167,2.4796023674865086,39.851312839123445,0.13432971992425768,0.39141766468417727,99.59531977990777,-6.8172890216967374,21.53691289425926,2.3263455719372614,0,0,1,9.910647187957036,44.39705292890909,0.8962756096212019,1,0,0,-0.0521401864776544,1,0,46.09602878851882,67.5447286947583,0.1502756940143598,79.9374841529583,31.423680402352716,81.87742569608756,17.352473230561923,0.0010969189262942103,2,2,79.95124744596896,99.86134729630852,-0.5363767478090722,0.04692949150333803,0.7905919740832654,58.62505406431185,0,0.2285291330280723,0.3117493873612594,0,2.272562783799702,20.40549157097804,18.043996351783647
0,0,-0.473024826310931,-0.3385303575027492,3.676389046049627,0,26.425323096227867,-4.857416423565185,0,1,0.24323928234463688,1,1,0,-2.703642879716927,14.929943679499464,46.147985403554856,1.560940642999165,9.41441787526837,29.652761499909683,0.38033487038023056,19.263292912960882,-4.227528880521346,1.614972297465089,-0.5451960747251522,0,0,0,2.5158020348173196,40.751607886212156,0.08563926834479961,1,3,2,-0.10505556385792146,0,0,25.856863996971125,37.53090571312956,0.3411505034750434,15.016810384631869,47.20693397678667,58.24713103854705,41.56719767342625,0.7659080196383472,1,0,14.295721072609457,24.212056774434775,1.1624246016799162,31.18717472063029,0.16145487833205585,46.54596775752256,1,4.995105935969587,-0.33535221579256247,0,2.775776386296463,23.44144773683166,59.230475726924624
0,0,-0.5791959794159541,-0.4915157102369975,2.6510656260932897,0,27.338586341678326,0.9030066605092362,0,1,0.24708834591267548,1,1,0,-4.240136075105458,16.086079918707107,56.18922715043754,1.6492742147265302,11.449992147977746,28.088728735860006,0.8246898349657662,12.776117177397406,-1.594197172345302,1.7654226387568956,0.06276193867527576,1,1,0,-0.8846230897966461,47.18840846241412,0.5734492026909085,0,1,2,-0.04884051180724926,0,0,42.961662471155606,31.85098176348751,0.4189528400484373,14.855441866210853,60.12380251442517,73.87714573748572,49.71704582371484,0.7479006168637431,0,0,17.080307439138007,47.094381673166616,-3.137447537271587,30.738150868336504,0.12157128036496434,48.33454125211183,1,5.0391097054562755,0.4502718982812381,0,3.1035242791040094,57.07185237549812,58.525837041340694
1,1,0.16707102155160336,-1.0413605041955567,0.8725395546271975,1,0.3635782471918714,-6.555297092500031,1,0,0.997741986619613,0,2,1,-5.410323521168506,13.231435417597982,58.9319719806664,4.370265900351071,39.91051469638681,0.09328201504764655,0.26085770430704047,99.41825315930205,-7.937486825008328,20.352525162386254,-0.2676410214250757,0,1,2,1.3077230644848274,35.722500034392226,-1.2493740577615464,1,2,0,-0.7845975735890715,2,1,43.49923766390293,67.7921753309937,0.32326280541695723,79.91243787267054,53.788445526773316,64.36412664725609,35.06736438461515,0.003437311921495434,0,2,79.87596319192795,99.27511232999447,6.917700921958762,0.06644213071482108,0.23240231810922535,63.44811452792011,0,0.3011160671151439,-0.8921079828260168,0,2.4597994786591793,36.15548150086646,18.09615113862416
0,0,-0.6053681374495331,2.867182842763494,10.910548161961241,0,22.230951109053013,-4.061253888970093,0,1,0.24650906130481842,2,1,0,-3.625771837630058,23.191317170294653,2.311283523013763,1.7205531087075028,12.615428532016395,29.157772954342164,0.3699041924796125,8.562663708127594,3.2211331492662296,1.0780476107388919,-0.3734765755650539,1,0,0,-3.665934681252909,59.887887951693855,0.9304978314129798,1,2,1,-0.5004413485292609,1,0,99.96063122127137,25.35798362525974,0.997217622363066,22.738818847017228,42.346890721316925,94.18154884275663,30.884699177649296,0.8272516896941762,3,0,28.34212884836857,30.05724365724205,-8.874420898411774,30.00422737163276,0.9097163612190827,18.47552836476271,1,4.004899486133164,-1.6923393107049076,1,5.346934049674008,74.71303209208004,60.84766624848821
1,1,-0.4087636001845852,-0.4005858271443212,1.2339815434371184,1,5.40220522330761,5.28427867037362,1,0,0.9170585653630727,0,2,1,-3.2348951287768486,1.0461852643684444,53.77683617058746,4.253087512822111,36.839141722109645,3.0807376162592126,0.3399378993814232,41.125865769171064,-9.027246528219633,8.011647065624508,-0.3968022595234699,1,0,2,0.47323664899115414,52.669342745366684,0.2097483568286062,1,1,0,0.8769578740157921,1,0,35.84222319824871,57.434737844818585,0.307639892614221,74.81803620129607,58.644177491387374,40.374345592241966,31.96670097761192,0.06662376691569671,0,2,75.59251643266057,13.551080454169979,3.291649228136169,2.943866414140013,0.48839853183421456,48.256347451551235,0,0.900438079004489,0.45518597760600443,0,3.797822012742242,26.44760129328967,20.941180248623514
0,0,2.3872294260516536,1.7330685252944165,7.010150417476488,0,36.05402858296125,-0.5081566215303663,0,1,0.24746741063856253,2,1,0,9.60974450035949,13.359478280428675,30.977361087679466,1.6642252027868611,9.79935407791843,31.5110497449815,0.9645887463349974,14.065393526322906,3.611381819961533,1.1811152750091145,1.606793911531958,0,1,1,-5.366385774785563,39.966645321355436,0.026685917128104,0,3,1,0.5979739421091431,1,0,96.73329173330177,22.719601917673458,0.824400768050233,19.765963211307565,37.49193826899581,66.83193482824194,47.457806636721884,0.8364718954140784,2,0,22.031415047838827,12.355219411997453,-4.961223793164477,31.790607122188717,0.5428318655238248,26.54814926304548,1,4.714070522095864,-0.9046515201597065,1,2.607531501455399,72.08402974640552,60.53690971341742
1,2,-0.4180317513776138,-0.23904514241975283,0.6694327411566166,1,2.9692994065769374,9.78190662705325,1,0,0.9598802256724166,0,1,1,-4.467519393845098,11.533470239609914,80.67144167042595,19.826100532045626,38.3071565219044,1.8459186929030724,0.36690397595581503,74.66385221841452,5.69557954009095,8.493621146080931,-0.37184826446831415,0,0,3,1.6363673843547808,29.380285974521698,1.0658979590675948,0,0,0,0.9947782212574036,1,0,41.27284459086299,51.745129576009866,0.39877526296888377,73.66108202695446,44.03090765789709,4.98117884043538,49.72175471407731,0.06764833650723545,1,2,71.29978788436988,64.00469765814418,8.469286387991424,2.545339478420816,0.468714661738087,46.147395703996274,1,1.0815073810561868,1.5281812533152195,0,3.2172884806537714,9.084363453682322,22.247875397784703
0,0,1.2286369332216331,-0.3396982263168113,9.407295278009956,0,35.926498583654656,-5.742102529280361,0,1,0.24071649259409406,2,0,1,9.924028465795498,20.927163665166972,33.72426881730585,1.614389312997047,10.088929935258326,30.52633826942614,0.2768913069497455,16.497879861428956,4.829432823526986,1.3626435716408443,0.9272235843743847,0,1,0,-0.6837991317219405,25.026338747032128,-3.106683599272806,0,0,0,0.06110354445917945,0,0,34.67788453168376,32.38657706398429,0.19442975218464165,37.790621825107095,38.88566142064656,50.26601399964061,34.58224427880941,0.7185016008146776,1,0,33.4611955901945,23.171798389026886,3.300671185045303,27.80269625592137,0.41973337173140957,56.18107207286984,0,3.1431054796079625,-0.1808882371361111,1,2.3327753395482556,25.74251509416854,54.07104205647548
0,2,-0.8721654140044087,0.009586910328183988,2.3817431647231517,0,25.578775242757686,9.55737647474178,0,1,0.24100942186918473,0,0,0,-2.97736197196961,19.7558504116859,80.73028464986567,3.2331545619679574,10.584794098667626,30.525356631240346,0.9160248129373971,59.938880466589374,-0.16649637168170628,2.049077528536327,-0.3371308004026248,1,0,3,-2.0725122149019892,61.185325399905,-0.2924073478611741,0,1,1,-0.2177433587742103,0,0,37.928706987762396,22.876196467134722,0.6034602410060187,24.06921819729055,42.426790336763645,55.94630371182067,62.23567865697454,0.7331802588717954,1,0,20.65588007573155,42.87155768680812,-6.740158120818855,31.242351515262683,0.24900269537615077,41.518545204091666,0,4.5448825533091695,0.0936993566466275,1,3.332674804560653,72.01353956970303,56.574397125974066
