S0,S1,S2,X3,Y,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,0,0.08993869575096307,2,0,55.443071688962206,38.03007999454097,0.2621309286057403,2.260314841462841,1.0133111558258128,49.10934197024656,-0.01666617842206719,1,28.200205126176748,0,0.18972226097172615,41.784085424128676,0,1,41.70461097775459,13.226122060524697,37.495455830248396,1,-1.7207509082486148,37.34305138556187,0.04879256499376462,2,2.642421487119242,1,0.19122793903150986
0,2,-0.38616850244744355,1,1,25.268425595231236,37.53269481731308,0.05550160657491676,5.0902054035690325,1.0397555260959215,38.18304238145061,8.307278526441841,1,38.88082644853492,1,-0.745898888731367,29.872994040944356,0,1,57.47155200475472,16.84811186345573,84.66535996612556,2,1.1687037273826952,8.8161305218553,-0.6199160675343327,0,3.916433301209363,0,0.24494565841226407
1,0,-0.9836818185040307,2,0,76.0098476226838,51.403997882900384,0.20923679569700948,2.329588366335491,0.34233619442717145,24.50478737742486,-7.0417963207533525,0,36.34171932641242,1,-0.029644693015463453,42.923224852592625,1,0,25.949202248506822,17.44133193670309,34.68795517348152,1,0.7151892313087913,55.77336420077866,-0.806426043052264,2,1.2086176612573527,1,0.3077475528032092
1,2,1.4600625658674924,2,1,0.7722033451964927,58.96759849814769,0.9968337113746095,3.7525275662719975,-2.7115539106907742,8.586900221224901,3.1648247038738972,0,12.56730927623324,1,1.1789145891596853,28.169756343381387,2,0,28.211298072412454,12.783464711522324,94.16245794179797,1,2.607384900646057,5.233528449635001,0.6047613166177052,0,7.036298230103975,0,0.21106501058037003
0,1,0.2119178138305104,0,1,39.892925874386535,54.49031189501059,0.25314153132153044,3.557428467859598,0.47952257247766916,26.36226223924868,-0.5324685142394809,0,24.883641006545368,0,0.8032850178530082,29.469988943558143,1,1,36.74858527863815,21.4736925487305,67.20921834942837,0,7.075449529474934,23.87654587607768,0.25605939352737,1,4.127600826029128,1,0.295710075489259
1,0,-0.4616131505794409,1,0,87.86549585093609,30.807484045705223,0.45467533200241067,4.468615660931631,0.29408736376771216,79.5968429299583,2.5327971431140526,1,0.01951891788102067,0,-1.7972389165741705,68.25673775178198,0,1,69.75736434112487,9.951707767257593,9.184418375999392,0,4.998894481130451,75.96559513749841,0.36667663651927496,3,0.8766053530499842,1,0.42661028852077476
1,1,-0.4114631193779905,1,1,47.075611536112184,37.7863832740052,0.2691813520698334,2.6011807152112234,0.1905438449999847,25.127764917181068,5.081192080436017,1,23.225856828556886,0,0.12423238743039135,53.83280841574853,0,1,32.322825593014244,11.671380406820987,79.48850192640533,0,1.9690233104867723,18.473817093405213,0.6757177097513014,1,3.5307091293380144,0,0.1788753949029091
1,0,0.21468309016135048,4,0,96.01795411858525,40.275886343608775,0.33971535817029774,1.174905293033322,-0.22313956748136474,26.38956636006652,-5.200130785097025,0,4.192034411660945,1,-0.03905501478503681,53.31709188072894,0,0,33.76050997785647,14.578293220027147,47.23038619833958,0,-4.090670041525555,46.65896373602668,1.9844323847109062,2,2.877514915905794,1,0.18763813435268722
0,1,-0.5049763058120647,3,1,7.8674745718368575,67.8064861487454,0.8422926010347449,2.3211274767925136,-1.6380012377461304,25.35908981206269,0.3131960815783348,1,17.722505972627143,1,0.5358434056769794,19.739188295492774,2,0,51.25281205150618,25.599110127413375,70.97988329974841,1,-4.409967496039496,17.717865841590186,0.014252270232008868,0,3.875744973302096,0,0.5049752568313531
0,0,-0.38434245217246643,1,0,70.39913082683216,29.9236266366027,0.8811055424952438,2.6680322891486505,-0.09349088407980355,78.44329941592585,-0.7152968135759288,1,11.529057918441424,1,-2.0254083636059823,65.19500438915684,0,0,57.023930522205816,27.03612877547693,3.3145067433029474,1,-6.272008147298218,76.00947931532816,-0.6116789335488174,3,0.5890383904208366,1,0.4593021626934268
1,2,-1.1880979255491932,0,1,18.609090358144144,62.00793232274018,0.755069238824747,3.9097624612307813,-1.2709332689804644,24.88305866768372,-3.5591248592080564,0,39.81137362741777,1,0.23361440270003048,31.420810382476564,1,0,30.537726511305344,10.31471669670811,47.580942297155886,2,-4.7163059730797485,41.64384265117441,0.12304983197098988,1,2.0536704834206922,1,0.8625976909369046
1,0,2.1671038240756677,2,1,85.3621810180901,30.06106836833037,0.2520651415225663,3.8835706746792864,0.9502434183869998,24.712337230558013,2.947357056852793,1,15.286900247586672,0,0.13465577877830412,45.211451583295116,1,1,40.37592894902207,11.03598616153651,65.54337301791233,0,7.958938876912377,26.782421217013564,-0.6685685567189181,0,6.374787122597071,0,0.5118898443339212
1,0,1.9227447912616809,4,1,91.28184906091856,41.08700462879561,0.2687248782321867,2.4997469669025207,0.5477877052555309,26.007077871273943,6.434673945124459,1,18.88786112860046,0,0.560885313925894,21.38681489658693,0,1,36.39156619658603,19.9431406384316,92.4075938411195,2,9.971974029929335,5.908726237852693,1.3436788580922767,1,10.01664579529628,0,0.0728606289662867
0,0,0.3829682961413397,1,0,97.9154433296687,30.023758021082877,0.26101944602232474,2.052013329198862,0.9557427956417875,71.92459566397031,2.2657516949095076,1,8.311233923442249,0,-0.6566099142470472,58.378984841621715,0,1,65.48125166594741,0.006639121635190204,27.057358090485785,0,1.0498007928365904,54.99789312423867,0.24563404568076633,3,2.012413212571402,0,0.20507075183022339
0,2,-1.4850675265981501,1,1,0.3436904615084835,57.35766773860928,0.9884807323846079,6.156953110925854,-1.3720751162085782,25.45610468643394,1.7627604209069467,1,5.621663328243855,1,1.275116843342141,33.314138917551844,2,0,42.39426279706749,32.17273908799799,67.81942389209352,2,-5.682540037226658,24.47156919900283,-0.6895276223949676,0,2.258682228424998,1,0.4233543570235288
0,1,-0.41034472734027994,1,1,28.399453128355294,29.335277360294537,0.28461830172383606,5.605917536537668,0.9848087744454794,24.760989743924462,6.420036519345452,1,18.63768587350474,1,-0.22469368252930239,49.4597038448101,0,1,34.0272217518599,0.0031699311532262797,68.82076124047968,0,-0.849133264058672,23.312216225232785,-1.1597593772973949,0,2.6115071264878864,0,0.8548651552858466
1,0,-0.0329356999516816,0,0,62.971654601788806,27.865580457496904,0.2600770499751124,1.33397360597435,0.537260712857794,32.6478887524849,-1.286585978174731,1,7.892398972909547,0,0.11621751834799107,62.22617704897199,0,0,36.38248153392941,13.638600236668266,42.4822388229163,0,-2.6923062723645996,46.14159943442894,0.45377158843582016,0,2.6378109111798924,1,0.49895438689366983
0,2,-0.41753884607684466,0,1,10.217851037909353,27.887873920779697,0.2181243993074572,14.370135888416003,1.7501600241867457,25.314059987855053,8.920018786992681,1,12.355322886041087,1,-0.8543432454927699,43.35816375718119,0,1,49.22000238040571,29.118135086762233,85.4934755078293,1,-4.923983817868214,13.294925359269909,-0.9619669118870069,0,4.811233264404606,0,0.8125866480832962
0,2,0.45943263484072305,1,0,25.820567333715655,55.57872488686229,0.7870188948018226,2.8797426237853085,-0.4296469214065309,21.54392588581497,-4.584971456333654,0,17.756261807804275,1,1.0155422279175246,38.169806509661925,2,0,37.90963881205796,10.162002000629279,49.55612383859857,2,2.8937880914573437,47.34908616988065,-0.12487955641856989,1,3.741402764863255,0,0.8856750763447123
