S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,2,0.27699995675806977,59.8992539108868,1,-0.7660712054196107,0,0.43115174537811624,2.612315058232792,54.486669518587156,-1.2803065638780051,0,2.814128200410119,0,26.791224025291072,1,49.142092776177115,52.82644931562028,1,99.49353691162598,44.2006508268735,0,0.4598998761746129,47.75646845702636,0.4248021004910477,1,0,0.4800686770809719,9.936220640173055,27.440805921928757,17.520801689280237,2,1.0398055351476796,0.5561102179456502,-5.138182949669458,0,0,5.269051447957656,14.231086897823403,61.04901787798859
0,2,1.0834652597101704,52.84479011583456,0,-0.5186265271457897,0,0.6211667697941319,2.568599883871404,52.82581074935874,-2.611963559424103,1,2.407400049364781,0,32.68660652196064,1,50.63633995681124,48.03437278038943,0,56.18159273352376,40.88103009647388,0,0.6062737874833,33.87104613228649,0.776562254522773,1,0,-0.8536413589297691,-0.9348768876942586,13.927905260756452,12.881267937326495,1,0.1191795390464581,-0.6744466380620967,9.87920280277287,1,1,2.428003795433226,20.6214110626818,32.87789588017216
0,1,-0.43402511362377866,48.65617848298882,1,0.571492779585082,0,0.42653883398158293,1.3952422217721596,35.54594903514692,-3.930624128188203,0,1.3967410648430545,1,26.377388261201283,0,64.18173269301744,54.430994008684806,0,12.481143926354088,42.59661838334521,2,0.4622352135442556,30.827371351679673,0.75038312128736,0,0,-2.38077641522049,8.548896802083274,11.706434892488085,13.43913391242404,0,-0.5695759792379296,-0.40172081425638945,-0.3713643559771427,1,0,2.774285021492695,16.437766861235318,48.851267335240436
0,1,-0.9442900498197487,50.71358599977206,0,-0.7650208225870718,1,0.4593623389596247,4.156287624296257,60.15889265153282,-4.465943965189991,1,3.6676539155281604,1,41.50344102383728,0,36.270163323451364,33.53396310890138,0,33.36141558881048,13.815248123284945,0,0.5113159948379817,29.77214720410789,0.6739976387588393,0,1,-8.924497308199179,0.20151167290752525,13.747157670993552,15.123718031483982,0,-1.2484833944810236,-0.6618223041294415,4.173462804959771,0,2,2.78929551459388,10.137467936654282,56.26246266675336
1,0,-0.8494476022924917,45.28657126274106,1,0.6845435141197334,0,0.39673754792123395,1.3225745369638944,33.567658939229766,-3.73850759124518,0,1.3408396748169198,1,23.30001273219314,0,65.76874304681239,59.791930710763516,0,70.94869619532017,42.4264335612559,0,0.5967121529822648,35.242301398625074,0.7579938772605489,1,1,-3.988344559710195,9.99591208532496,10.386447173952726,15.513794575201583,2,-0.16299447556406596,-0.5155581823648282,9.609594841747406,0,0,3.836064745302146,13.838440024018476,62.02398076733263
0,0,0.49098229757932593,63.0380372173438,0,-0.8620451532071544,1,0.4313017359885548,4.496466246455378,55.28383622588799,-5.9686641177342405,0,3.937096458723207,2,39.64075807239206,1,31.527668604762383,42.08768070118941,0,94.45958066809945,13.76634383816996,2,0.5728065343076008,28.770497526595193,0.5718594826144774,1,1,1.1559018006034556,-4.8829697879735185,12.025993813225906,6.700400965576949,1,0.4637113568954734,-0.6744682935393964,-1.5868859333226393,0,1,3.480255482392161,18.390207776071893,55.130464182524626
1,1,-0.2931276656529088,42.692636927124056,0,-0.45016477489438383,1,0.9997288699410016,4.417729693374293,29.09751463750234,-4.962616727470257,0,4.091358823781455,3,28.95063456089688,1,26.236741808844187,72.66697147887362,1,95.26589105032082,77.75141664560965,0,0.4915901444452281,62.912489893041474,0.06326089934313306,0,2,1.0100565549695322,-7.821640236160803,32.77822839300243,11.05640931286278,1,-0.24606944244485868,1.3938660788300377,-3.686508918430686,0,0,4.210250446596444,21.411424981018513,25.44565802167481
0,0,0.32022530336686,63.32668448149148,0,-1.0964760395141249,1,0.2836318344753821,4.252061028395463,62.62956132229414,-3.8725252700291923,1,4.249618938476058,0,60.00797282086875,0,27.709132529824522,14.762904908856589,0,23.949407574898856,22.098062558302413,2,0.003429673468216321,26.240352947016703,0.6483048699160157,1,0,8.922536138268384,4.329318885882877,12.269621253886122,12.471298275516375,2,0.25057133031127876,-0.6387992984327616,0.37848255920121154,0,2,5.384647140758692,13.004387330986454,38.40613762870209
1,1,0.5051811462571815,14.870567792769048,0,-0.8502184194033372,1,0.4829728033973243,3.858174789993435,61.53312434683327,-1.1365467104652005,1,3.524862342965059,0,78.11882198294472,0,29.29349203837669,5.836130838309139,0,1.2292196104666475,52.41599948286982,1,0.49028039120135375,33.56457971970582,0.719308902959422,0,1,-2.950940397253696,1.7514446276469275,13.243792669042595,17.57177739701065,0,-0.010181520924053326,-0.817226212208308,7.028051788270183,0,2,0.9168802468363073,33.77399332893162,28.464467519633665
1,0,-0.4780045471426451,37.47826176375858,0,-1.2609368278120991,1,0.37094376837517096,8.940132760387149,52.40548777197544,-0.21986723772670302,1,8.047964889446444,3,48.18124793227686,1,10.97973221909998,52.46610520071954,1,99.99782021493688,55.84289884736099,2,0.0054527079187629,64.04968120139829,0.07026992224825124,0,1,-3.130812456640788,-9.267937133743837,36.07932780598179,21.579113477373685,1,-0.07190697851479258,1.408856201144096,0.42143684663530934,0,1,1.917456533028979,14.076996635864415,67.39829646213454
