S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,0,2.1050711617367677,0,2,2,68.65963334812895,1,1.6476311150469325,3,8.340904031385616,0.818671920585955,1.4145244689674863,70.87534636244825,-0.6330808835144526,21.932776933206128,3.1301606319845074,8.19662848170993,-1.4081764822525558,0,-9.182145980008258,3,28.13619093265255,1,-4.695386398923864,64.12912584643641,0.7151703658786989,2.736237159730348,0,94.24823319800917
1,0,-0.7614628988282871,0,2,2,64.54617178812701,1,1.2167949257306854,3,9.942344529372278,0.831906824119174,1.6990213552017208,38.293449395072194,-0.6455973053858695,19.644211312773482,6.126081347390421,5.4541438231174055,-0.7504766640687845,1,-7.750857027848303,3,31.801901192200944,1,-4.504154127480998,64.09151890101708,0.9541262854400074,3.540304430145109,1,71.87049587064807
0,0,0.29876270749004485,1,1,0,35.47260852330241,0,-0.7623193809499845,2,9.21900316332742,0.16607994504014106,4.4514816892304525,69.03780509071092,0.8089747290122302,44.06674857160767,66.79739810458037,1.4167085984223258,0.4877544425461539,1,-2.6066798584768307,1,33.56491829387153,0,8.978545601981153,58.904193929755365,0.820041884193607,18.23899772801946,1,8.444390147307685
0,2,-0.3940924478164949,1,0,0,23.800938770936668,0,-0.45278165094583034,2,19.50651452196555,0.32018780123302165,5.73113100740292,71.92849587863253,1.0589675035232697,62.61537106041638,73.34343114114672,2.332818184594623,0.3403860080195187,1,4.520799266789259,0,61.92198561970526,0,8.506630017614366,9.811236115671855,0.06664341363023601,34.49367367225845,0,9.224627475876934
0,1,-0.4800099685805453,1,1,0,35.70718235046881,0,-0.7851601343153297,1,6.191742492054302,0.19182220663460675,3.987171572598945,70.808869496868,0.30873113614355857,27.782285551682065,76.84798101933691,1.4807107774890211,0.6154567508350183,1,4.813498119505667,0,46.947255653393,0,6.3504344584973715,41.354363742808715,0.3879508237422794,23.835849344180914,1,24.176442340858006
1,0,0.7834568344168409,0,1,2,65.5879503339516,1,1.3575233186888471,2,12.370994161897958,0.835320577769612,1.5512815009412941,43.31683293094941,-0.6347035271476582,21.591563305308217,6.004139922093637,7.031198002359028,-0.7781605397020719,0,-8.083020328359623,3,32.25693583669609,1,-3.210983173331508,69.87005489877177,0.8747224173468365,3.6741095241494603,0,85.25967083697495
0,0,0.15213147769144378,1,0,1,38.283311741232865,1,-0.5650920104346551,0,12.372104262674224,0.2763494313128859,1.9175001523589792,54.44657068728491,-0.6654075516745018,20.096701525784354,64.26540824401874,1.6898083083101116,0.9875542085406618,0,-0.8245856302304801,1,38.74145738471765,0,-1.6739195873464414,38.90353182583335,0.645143155400191,27.02005314666323,0,26.698370449503585
1,2,-2.8829445275301797,1,2,0,34.001919919139674,0,-0.32566568780471655,1,37.01463186803857,0.4977968174571073,4.391439524993401,56.29045827213476,0.13937947785706858,20.161538320761725,80.82909011669736,2.88012592297864,-0.1529717485027392,1,8.979739332659864,0,66.91133207734268,1,-3.254101013226065,5.138208212209565,0.039563548660082826,36.54546409619927,1,85.50829747397782
0,0,-0.5837019042231179,1,0,0,35.41988756756306,0,-0.8051036824648397,2,12.241893786706273,0.17021591292036786,4.905088494578738,76.28029590066959,0.8765835454190293,51.29452200416817,73.3364740808313,1.4076206320669915,0.25646350656746136,1,3.294427755794585,0,53.46781096457303,0,3.0994267986661193,54.678784593800714,0.5296811958632748,31.632521152334462,1,29.51320322437497
1,1,-0.11666466550324968,0,2,1,52.62584057508945,1,0.3638970539601959,1,39.9106981282805,0.8479700028986246,2.265439031043767,7.71875790538103,-0.6356271582220385,22.0515568603885,54.65414805085891,4.521110982463801,-0.8247675284194586,0,4.353935783996587,1,33.91277993764154,1,-5.349230292598126,17.084838306374557,0.25170985066073137,24.5464530690629,0,67.13328801745317
0,0,1.3714226637069187,0,0,1,47.390722894265046,1,-0.5644240795267852,1,7.862728955432159,0.2148552177754649,2.0585365946674,54.80762213493983,-0.6238357472871467,21.981199772849955,54.28703980478922,1.4175047602074455,0.7684540240775578,0,-6.14378004286209,1,29.117368260965762,0,5.430245896451799,59.00775775187753,0.8823101576883736,6.321943055339789,0,15.530022660116138
