S0,S1,S2,X3,X4,X5,X6,X7,X8,Y,U0,U1,U2,U3,U4
0,1,0.4539010321013578,0.6293642078021076,2.9399416989026417,1,9.104719643540683,4.097609812864544,0,0,3,27.6229483708998,0,-0.08983936291283151,27.206238005809542
0,0,0.07825454494162856,0.07344653449363547,1.1013862496841955,2,-4.489532669019603,36.150086721447884,1,0,4,45.964813424857404,0,-2.154902108790861,39.89883574206385
0,2,-0.08238608035461585,0.4181600786610104,2.698298795157059,0,-5.57974314548901,38.295766418629704,0,0,0,33.479245396989086,0,-3.1203663677953513,28.79728441580381
0,2,-0.08113199538408233,0.21662904069371114,1.8285353346250504,0,6.999359721194654,27.739110095756697,1,0,2,67.05230771885817,1,0.26638139507432734,18.623945523089972
1,0,-0.6310710802680615,0.41286513885933285,1.4988451306264172,0,-5.675020618950535,17.07215434700383,1,1,0,42.2551708299945,0,-0.37540984194343785,13.13689690180297
0,1,-0.2330954961571648,0.6228924171533111,1.2914498089401745,2,0.9009640919730604,63.489496528689294,0,0,4,25.703433624514552,0,-1.1229446711187474,39.38921964316609
0,1,-2.0257960463111275,0.03301989626172186,1.2045817924147593,0,3.532777463819796,8.255838680608896,0,0,2,57.05232057648229,0,-0.45639648987281545,25.03520915013734
1,1,-1.1015956854083022,0.3418934648989983,1.128364230663031,0,5.078395907420825,47.9930106581667,1,1,0,30.848224245877713,1,1.8053092919258462,1.625240421689711
1,0,-1.5169975554516126,0.5156368024566325,3.9323277234519805,0,-9.467783710386046,53.356906684790694,1,1,1,19.53872155843482,1,1.006789375537604,0.9027385755478323
0,2,-0.5469643249809504,0.1450031247959389,2.0208809968995354,1,-1.97110237787102,5.7715570823703155,0,0,3,63.53486127355212,0,-0.19022009580322957,30.4754201878092
1,0,0.09328550773638719,0.5706841075552248,2.212270175402896,0,-7.0612927801399605,63.99703944566152,1,1,0,36.60697957120483,1,0.6558398882999703,12.358949087536622
1,2,0.1995964077937728,0.6456682540627459,3.4869681918368034,0,-8.036727836129337,88.90583159611792,1,1,0,40.7182307645363,0,0.2436023254215804,11.79698305319484
1,2,0.8378199291595944,0.9908342245528337,34.659027628900716,0,-9.720356162198836,99.99820000083527,0,1,0,53.66758694388798,0,1.381550121204862,12.761624614446285
0,1,1.1767220089768622,0.7692887322560331,1.7912753001981703,0,-2.906634520594884,84.55266539991813,1,0,3,33.251209799360076,0,-0.3195726852655731,34.699807338213105
0,0,0.45617513745568916,0.6167573598643165,1.1358705920666818,2,-2.251993936726194,36.02428931493428,0,0,0,33.38225529267295,0,-0.6476977354595319,33.19353439917473
0,0,-0.3354479147385152,0.3567984787435402,1.6164350323688956,1,-9.552926346336829,96.83981673330024,0,0,2,35.52684489984722,0,-1.7572747430228874,35.11570061024439
1,1,0.22656308164252398,0.7183749551754376,5.458380175811339,0,9.22550812591416,38.6024316842881,0,1,1,52.58102439521792,0,1.1543501203675555,16.129045189983408
0,0,0.13647017379473284,0.27888867493335345,1.7547192846416244,0,8.528082928615984,28.04719692216231,1,0,3,66.3994868524039,0,0.053423141322463896,27.515376959586668
1,0,-0.38350288727597415,0.4660689302457286,4.506710700727997,0,6.648716422470699,38.71446966922955,0,1,1,21.320155695435272,1,1.4148278891607904,0.5872711743680714
1,2,-0.6953699114298895,0.5867655277858608,5.514411754496263,0,-7.240665704720675,65.82374666135398,1,1,0,31.897486023056782,1,1.4680993965974614,0.595980457932006
0,0,1.8710720064825996,0.41485135564632675,1.114514422512617,2,-7.0378728466239036,57.55276931425435,0,0,3,52.91303033295707,0,-0.8666080708452825,39.52680565073513
0,0,-0.31642898641752915,0.504304213434192,2.6760987109128997,0,-7.281028430524885,72.62466763061911,0,1,1,31.240421334814116,1,0.6275437101324105,9.362711546305748
0,0,1.3186210193650538,0.9340068239121545,3.8021912401326707,2,-3.6739339522365597,98.82917638336737,1,0,2,20.524372310087536,0,-0.2068034210688066,35.97431920553569
0,0,-0.10572787448426268,0.2087074434041658,2.666404488957497,1,-4.750659697248092,24.118203411783174,0,0,2,28.373901938258694,0,-2.171712558856816,37.90358307432694
0,1,-0.6614048763537965,0.3029551223551131,1.610921290629164,0,-6.002218678993688,35.59110789530585,0,0,2,53.02273769024867,0,-1.2020852555972086,28.235079061634888
0,2,0.19065736031646577,0.09882096048552896,1.4558566033433928,0,9.098902661206854,12.352225100859005,0,0,2,47.37183052316141,1,-0.554261586839231,15.99686715813387
1,0,0.7158551581052152,0.910495532120839,14.808993806865606,0,-5.109643347503637,79.80706609512337,1,1,1,25.92072731840358,0,1.0425536246656872,13.59472048472323
0,0,0.0910246800480794,0.12757088054933974,1.6872702705827989,2,-6.771492617526648,5.6919272189883685,1,0,2,67.49092799065505,0,-1.238589716702474,28.45396347172718
0,0,0.32341982556734217,0.8585273029014961,4.1063983366266115,0,-7.790094806243644,99.28943186405223,0,0,1,30.863099456907662,0,-0.3520673633635693,26.379005292161732
0,0,0.5475596737619683,0.23526127176536393,1.0330738439120735,0,5.937351182732794,31.985410572338385,0,0,3,28.07473973523016,0,-0.7818930186146179,29.096890847165295
0,1,0.6317160137639863,0.4130659408086944,1.490067193782966,2,4.419981031940161,40.66763136398646,0,0,4,69.0375310685606,0,-0.7639037516987622,38.60817440990595
0,1,0.15848762303772782,0.2527549721862963,1.700941326941793,1,-7.331460389513975,59.47789417224212,1,0,4,42.80861927937556,1,-1.4064406348229885,38.000630910043526
1,0,-1.2671962031936606,0.12508225267559225,3.2255134473118727,0,1.0399578196945285,30.742419835636237,0,1,0,57.8476406341308,1,0.7304462014838935,3.959506106549142
1,2,-0.9846902726124942,0.5131978176385464,1.5820705860738429,1,-7.298911705438103,69.72300290953753,1,0,2,60.738386277375014,0,0.515832518270946,22.605738206105443
1,1,0.12753575660114336,0.4129920275525759,2.181230383420609,1,3.3984056813548573,6.317036524402525,1,0,1,61.7139179184262,0,-0.21167782141443925,19.307215796162517
1,0,-0.6962072568254654,0.7240142328869736,3.8897586773297035,0,3.225964980400027,27.20539164633457,0,1,0,25.875009053760266,0,0.6323202803732003,11.790451980363684
1,0,-1.2599059184067019,0.38366180885203105,1.336749666880708,0,9.51464087239371,21.188446127243665,0,1,0,36.694769026543405,1,0.5050558837445946,9.14873183484599
0,1,0.4237596498063846,0.642578860874365,1.835632568631047,0,8.337521368643898,17.38163489361344,1,0,1,43.57388636035377,1,-0.07791850636934183,21.718396670197674
0,1,0.5248290094489231,0.7448018717994593,3.2228797218888485,0,-5.774641657313938,96.64846933044655,0,1,1,31.366026092995238,1,0.5271710948953416,15.89499738682978
1,1,1.0731050006979521,0.9948787606357987,54.598150033144236,0,0.9362132911150294,99.89043418842552,1,1,0,29.63385514280985,0,1.8143882822750546,13.551712619722377
0,0,-0.020939263782860748,0.00947283658970588,1.5589506124275074,0,8.256249433975725,58.91586565812891,1,0,0,51.81290896278041,1,-1.9486629224761518,15.464549401418337
0,1,0.5464820209177109,0.6271934873194509,1.635305078120726,1,-4.99917994223555,68.82806436807766,0,0,2,53.49669026640577,0,-1.5679508337328145,38.401261763231616
