S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
1,0,1.098603696555851,1,3.3889109092243768,0,-0.5521432865245239,7.03027243392537,49.279990002629404,0,1,-4.925686142407145,60.387707494188525,1,0.7824734705345449,17.280269199204067,1.5186230670228096,21.185875920774617,1,-0.8162919805056513
1,1,-0.622530283267808,0,2.9981150335049973,1,0.10905199584991936,18.120024573720137,57.92757666442961,1,0,2.9992051435814293,43.147301086085704,0,0.49042011336840474,43.115979288722635,1.899615971315694,57.82859272738526,0,0.18267022204127994
1,1,1.3641987941464495,0,2.6224744018147756,0,-0.6064683835604503,5.986420549315974,31.343681569020518,0,3,-7.299003596019657,48.83005406995672,1,0.6409684568067098,24.104166313187175,32.764560948558426,1.7618437426001665,1,-0.5929120466334226
0,0,0.36202560344224255,1,7.137766737493819,1,1.067082531944835,36.01322588756709,21.739959516652,2,0,6.383942562231564,26.313276933205827,0,0.1310063319923973,68.0198377335034,2.809997748663227,69.33096803615626,0,1.0295564734867275
0,1,0.037477804833093945,0,1.661905555283977,0,-0.6273026711879606,9.511530693009448,55.09062810387956,0,2,-6.507782778237958,58.96779479482902,1,0.798024309429822,17.04031106640295,2.1705313346856427,41.135887721581746,1,-0.8805104706606928
1,1,-0.0596425171116666,0,1.8193423974406275,0,-0.4042977060336527,8.449262230851524,62.78027605889024,0,2,-4.961022014414227,56.80148181442034,1,0.7835465017184758,17.644164797094287,3.214207005947484,36.94813082632087,1,-0.8075326701207418
0,1,0.016025153133749918,1,1.3859280381336123,1,-0.03461580826917701,6.510509660289927,67.38387735592747,0,1,-2.291115480217245,61.17057403213398,0,0.8299828346037619,15.343381549922599,1.4209748515606146,60.97079356124927,0,-0.9132811725389419
0,1,0.8657961383509057,1,1.981811009894861,0,-1.0483212301013318,6.810312812621431,61.340977980470754,0,1,-5.244999657265671,57.920672054578574,1,0.7982293415253223,16.17565107796811,7.1606279793846275,39.755655958768465,0,-0.7298859943713252
1,0,1.088643167851849,0,10.852593622926642,0,0.07399575673055271,8.944539910646824,58.21731894490861,0,1,-2.5561237037880993,57.46504150675659,0,0.7335868798838354,20.825003353421742,5.721921264727074,27.658481612078173,1,-0.7150962225372559
0,2,-1.125568496700029,0,2.0356106314334643,1,-0.23093098282295868,16.418115563235027,60.426784686344234,1,0,0.09825014313788216,47.775888065457245,0,0.578655226095508,36.195551968670856,2.5967337168604137,64.85355746723765,0,-0.09576396340864071
0,1,0.35611317009128385,1,0.1429249783609381,0,-0.6868398370179895,9.019283934761567,56.25602518588377,0,3,-7.689589059021885,55.92802568107328,1,0.7549098677105561,18.261433159494985,8.775468089941645,22.286709920882014,1,-0.9180447216428225
0,2,0.947148859805445,1,1.866817902788029,1,-1.06249224533703,10.719385663655165,57.64908553981935,0,2,-6.0185423535906954,61.88662632925923,1,0.8297281122927944,13.39763037396164,2.150730643444857,62.02487685969004,1,-0.9312336729463444
0,1,-0.6481889732508392,0,2.3211087536699724,0,-0.7888147241321687,11.893219403565425,54.76553683514769,0,2,-5.986324609240395,58.06555055506059,1,0.7705927217512825,19.200922367511545,1.481276570602089,38.17944101132435,1,-0.7717799476792389
