S0,S1,S2,X3,X4,X5,Y,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,0,1.4988156403251833,36.3468676361144,0.15256392620269088,0,1,1,26.44397052746814,0.6329951432083022,1,69.46872404376867,0,1,5.218581684900547,19.544115646246986,0.39224652308978314,1.6794425097864458,30.424532974327963,1.4767635776699968
1,0,0.5586259647537956,37.393595571075494,0.2462911226628699,1,1,0,4.357838177138298,2.3489289324796503,1,97.19277642579141,0,0,3.35710641395133,3.081082137726898,0.5300109407135246,0.6965152534323463,37.76087154779562,1.4532469294709176
1,0,1.2348580921813634,29.43965080574462,0.20414133160518005,1,1,1,5.212671631340213,0.4516723565757789,1,38.214272295562154,0,1,-0.07962911096422509,23.74423352489517,0.3141818639295255,2.285460801483577,25.899828981927257,1.5476536555500264
0,1,-0.33195544910323205,38.19769579312697,0.33111056699923264,1,0,0,65.95507037997045,-0.4414302655286988,0,0.12943622041658998,1,2,0.16985562866532256,98.33933942850311,0.9088995175663658,11.59651538019036,1.0504077879883855,23.67482676375956
1,1,1.5553908398214848,41.78335883364433,0.23793500649808447,1,1,1,19.10184056979499,0.6796949659471947,1,71.24171360676783,0,0,0.28404416781524944,25.25154043103928,-0.7550003474661022,2.0566543165489013,25.4286061063916,1.71906724089314
0,2,1.3163448974198975,60.26609736450896,0.6508203978981055,1,1,0,71.92846181423933,-0.8738828193659371,0,45.8708307459893,1,1,-5.074840439294559,40.35211022816093,-0.9308819965122213,3.14003229916232,18.2897122953617,2.0523004978209483
1,2,-1.6701469422627813,59.41166815993706,0.7475170745814443,1,1,0,47.52037651754661,0.6873028568184967,1,98.76140667784696,2,1,-2.241459044509238,35.82633395844853,1.1678499435350223,1.2163629616902811,26.79253716899238,1.6030613615005354
0,0,-0.3250117028170034,24.438698559406728,0.197459487441354,1,0,1,44.77332513547671,-0.7363234652725367,0,1.3636028212775153,1,4,-0.010150550387983515,99.50092140406241,0.639203388321363,18.992146296193386,1.1217399239388293,54.598150033144236
1,0,-0.5844540615866348,28.431235384361607,0.0788572368630091,1,1,0,16.318216053978382,0.44831750802899345,1,65.74513936737493,0,0,1.295167716795497,24.837330695706754,0.059043495054403136,1.8301824871035774,27.108964394986458,1.7936474095470578
0,1,0.7462776091430489,42.94413191127187,0.24359554467860295,0,0,1,63.39945994825014,-0.9168984984036773,1,24.35009761822773,2,0,-0.5881594773903451,69.44589660246861,0.5971543915640498,4.4070640004262485,5.464775680632559,2.4829572750550457
0,1,0.3124313503386851,33.71206681075136,0.17511672203327133,0,0,1,58.54047186827696,-0.3336854806922959,0,30.061981613405287,1,1,-1.1905526462588867,55.56241196217937,0.4091016477239569,3.4955905162933925,7.566158640613086,1.6194999787773605
0,1,-0.7739423951369584,24.714431617949053,0.22249692046641467,0,0,1,37.61907470765428,-0.8781747349429935,1,11.635822561845789,0,2,2.2747052816904016,85.15859192571861,0.06535327381701361,4.80931837344208,3.9620501638262495,6.683179661182105
1,0,0.6111752463647487,27.711084440619857,0.2603882394491615,1,1,0,4.2467333145103225,0.012061827724500462,1,66.16591759641268,0,1,0.7495588322929336,30.668460637931105,-2.2547628061497442,2.6559268922910357,32.808425316427076,1.4334992141105205
0,0,1.1363925460729951,26.744801394676404,0.2890647232473166,1,0,0,46.746443219477825,-1.2350988566525318,0,55.712327101379856,1,0,7.917875090689922,69.85214669954574,-0.38928635282103563,10.376121788866678,3.889694861717916,1.964014969163554
0,0,1.2500321064270863,45.73042962171243,0.6431103108994505,1,1,0,40.28926243096656,-0.3204237679868379,1,38.35196240679793,2,0,0.20019917862895475,39.2986891100369,-0.0033441710185093862,2.2741002504392496,28.134625837790814,1.6918195812789514
1,2,-0.1649217656039876,56.972549273503745,0.6442830485183502,1,1,0,52.06063952337426,0.23881193366064912,1,91.47514777599683,0,1,-0.2934999779120169,47.09135624059999,-0.658296290296289,2.003048820979454,16.997254034316445,1.7011279872800948
1,0,-0.5544991035194152,48.64257688709142,0.7341758712977178,0,1,0,9.901747325727111,2.320468303266282,1,99.78040621225155,0,0,2.6397674987279647,4.300107198221398,0.6790529462564004,0.4398815187701056,35.61652013308357,1.509388477425465
0,0,-0.4085797269744574,24.63523804222644,0.20760621976532911,1,0,1,12.432106357368111,-0.8820854171643223,0,38.61754550959072,2,2,0.418219810346141,62.37186126086184,0.22259917327212692,4.902404905540478,18.359263583277997,6.849562166335147
1,0,1.0101055308487188,49.94897149968669,0.4632690158372499,1,1,0,18.822138334863247,1.1844608666950134,1,83.99613155277483,0,0,-5.141623224661652,8.496769618539691,0.04168724541173208,1.4746739894634995,33.49083047520115,1.7186983614959728
