S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,2,0.4154623129743529,0.6680499566939607,52.743796056065115,64.34002461624301,1,0,54.015211557490595,0.29742097812349644,51.61744723575391,19.790286120815892,2.3099330913140657,1,-0.44433507316067994,0,0,25.42028574571229,1,-1.8452833816447711,1,0.18827307962519546,60.674652408726764,41.06083518523852,1.582836869931887,49.268184780111284,0.9600413774443851,-5.2102228950878615,2.777751029055411,26.38096755227746,76.81135040548114,0,31.153609407950313,0,1.3962830294697635,-0.8588209979135228,0.7310854617387127,-0.2915007221538808,3,30.059620855291918,1,42.204705148679935,-0.7413747697241344,1.4862541118731887,70.65281645792648,0,2,1,0,1,33.97135867143364,0.81457549858191,18.015174240723223,-3.9341340990363625,4.274759133825136,0.5558068357980461,1,15.405255613323403,27.416250443996223,0
0,1,-0.8799243333840068,0.17792273069254583,40.16065297267501,44.68173823113415,0,1,30.626459275729406,0.2486773739881753,20.610635182861998,10.554637926507073,1.643894692315164,0,-0.5587412140464253,0,1,29.947266812970135,1,-4.509452477208406,1,0.24104964146159147,54.09467272295768,49.53347531142537,2.0134714104640583,66.09692775224134,0.7593070172215355,9.579395432720371,5.242501795042093,19.84596737750708,21.408720704372357,0,29.696437157625155,1,1.501322546421761,-0.5183461875310964,0.02929863691264817,-6.014990834405128,2,2.8817320041236294,0,29.72239103353025,-0.6419003756694057,3.9593862761365335,45.538991479834536,0,0,0,0,1,59.88630926917082,0.7468705091045026,16.26886837823958,2.0259477171110856,4.703335145728777,0.06219871074016109,1,29.53988683242222,15.987775317796377,1
0,0,0.7801821211832137,0.5147060821546325,43.614983542438246,45.49523772658114,1,0,42.33170577091835,0.2836947754192251,45.065718751729975,20.227262618759458,2.611967242288202,1,-0.4739535719285347,0,0,25.736412286896062,0,-0.3400404027136883,0,0.31576959587383513,20.88657225226631,50.39515157043769,2.242813340663455,50.05937526189825,0.34155916822367943,-4.0368315858678905,1.363189071769078,22.904332035076695,14.995276846674109,0,26.589487155319684,0,1.609169396710892,0.26670202280786476,0.26569711404371404,-1.1987634744107574,1,29.34074601694865,0,42.849698398110135,-0.3916505482118244,11.267711584083086,21.085765189543764,0,0,1,1,1,54.03837412525262,0.4261143124865978,20.43623557240808,0.26077600653961497,3.2325561898156807,0.1747629171372998,0,8.897498295765104,11.389798149035343,0
1,0,-0.6688965102322856,0.6499902292325637,26.04709755755205,18.429402259624077,2,0,59.23963370048836,0.2846035107161664,80.42729387042917,31.078799644376495,4.160734067284133,1,-0.4869605064659213,1,0,26.227363622172007,0,5.933426732807984,1,0.7198370672773678,30.917691193616292,37.999073883070224,4.231929669285122,18.234807904563578,-0.2929909890043389,7.406785435037122,-3.968321304505757,73.54645225478971,33.295283451059404,0,92.7580442358621,2,2.2314017300155355,-0.21423749998312874,0.17319533593525138,5.885660236831683,0,16.213146174318048,0,57.995051851075246,0.5788323859625789,6.932812734380245,88.90113845483913,0,1,1,2,2,72.20695980606095,-0.026681359062286605,3.997084448103232,6.394309728920064,1.8969496018122478,0.3258482802805476,0,31.399977069326788,22.883443834956246,2
0,0,-0.26184642182961737,0.08209716220729352,60.24897160432163,82.02971273278318,0,1,20.447748238088018,0.8995602890602701,21.33710808053574,5.953314017273512,1.4383739693234412,0,1.7090913872639222,1,2,79.69674796111153,0,-5.601572849702219,0,0.3587301503996966,38.291014125066226,23.042165275606905,1.5595082997337884,90.44329891837693,0.026604575916957002,0.5140540009792929,5.634112022104931,36.991069882985805,37.3587067513112,1,24.46000875078498,0,3.362374506306354,-1.1627960658264056,0.014761480692892237,-5.5256448534436755,0,5.782019942955497,0,28.745096522461523,-0.46244238155904793,3.3852621771299685,22.412263437910884,1,0,0,1,0,72.35831622012387,0.11947156270186603,30.146648831073364,-0.05612509050401826,4.281158829129137,0.6919264319573626,0,29.020055477476355,36.85199074551251,0
1,1,4.378619269276819,0.9960300418742896,68.12034666032221,90.60739400711064,2,1,64.10080437153069,0.9993046937397105,81.18862673317835,25.289862973739723,2.9205580797504114,1,0.7328349623841184,0,0,26.918979665956,1,-4.2295890558557385,1,0.25225417499790675,31.643710718159248,10.673820677831284,1.5012326334700439,36.59528735578086,0.92961202236461,-9.858868098444551,0.5938563784705675,42.155944099311654,37.01010646312427,1,61.19605165336359,0,1.0370335028273212,-0.06045923774005502,0.07667472103071132,5.33534901293233,2,38.41165685805596,1,51.17158300702716,-0.5585608629429011,3.465516340321375,42.45387235293814,1,2,1,2,2,46.38183639227988,0.997152287135896,17.978342947584885,-9.999751295517981,3.4995281826655384,0.31793156539431994,0,0.000875387139005479,20.02927173287237,0
1,0,0.34206175530357036,0.7326031885218858,23.162170234314015,6.848580787015191,3,0,64.1006510317165,0.31989605666273596,92.80699866678454,37.18189408881928,11.00405196410127,1,-0.3749706789981571,1,0,26.45950092238966,0,7.695598870600868,1,0.965512488013303,37.12033724346908,35.9586344465952,10.11310741552166,5.757221054898554,-1.5903987000038138,-1.2471446605541807,-9.462771492212688,70.40501832664404,10.434913955389987,1,91.02284003264576,2,8.475689199080538,-1.3189149053922873,0.7874144783517846,8.767083624787524,2,7.361723808159666,0,66.55091217989856,1.6156747819557247,2.754333942433544,93.75346951773876,1,0,1,2,2,51.958991569513046,-1.6874705476622518,38.97395115492213,-4.021331260935339,0.6763616466710861,0.2784265519335969,0,18.423329032395962,7.678850189553678,2
1,2,-0.23769684782219233,0.7161386636182935,35.88312325469566,24.512028215308813,2,0,60.46077082174955,0.48367432788446046,77.1446035521988,32.238123887787104,4.772352859430447,1,-0.5509225194473417,1,0,28.464833066993506,0,5.547607324783343,1,0.5947035137670766,67.71621450727622,40.23625991234262,3.0625839146574094,19.468813850031214,0.48419366725497215,-0.048249411872053116,-4.211455068759731,66.1141974735989,75.39958228900653,1,78.76267225579676,1,1.8652615633152287,-0.029759691454038534,0.9452245200916138,4.755804564265754,3,5.641083089344918,0,59.427269430320436,-0.06897658159683993,2.3383698896246616,82.42276998563575,0,2,1,0,2,30.73643067239747,0.4378234817730402,23.521593094407933,-0.7591359103171147,2.077576528963039,0.4132002635407628,1,3.4425671192930096,18.807304265579386,1
0,1,-0.5742373774766819,0.08542912349994497,56.95681453550799,74.28938320319017,0,1,24.62363735555006,0.5442086462352523,20.923194998125837,8.005685866914408,1.5258598578125946,0,0.2882639897021596,0,2,59.42939213024967,0,-5.730772355250631,0,0.1540475887841779,64.26833325094319,58.73370690950875,1.506477435433796,84.25169550068235,0.536539076045197,2.325092185419644,5.767009567907742,23.290474618005923,26.784980352953774,0,21.875895774872152,0,1.7697262157474507,0.16402922798306044,0.8917013801088278,-5.859243791679322,1,1.8397284158078575,0,28.854844275766244,-0.7599546001890516,1.4248482537860274,66.750571509461,0,2,0,0,1,42.08789420702934,0.7108326620250219,17.20304682916522,2.0145211274765966,4.971525254690373,0.630318974506554,1,25.715942797713616,21.094281378334905,0
1,0,0.46468764102422283,0.7257047571613737,47.84416206831947,34.057829517929285,2,0,47.76365099024332,0.3528992772988562,61.78985111804762,26.958568188973775,3.486868462841329,1,-0.5116858681860723,0,0,25.671675997187116,0,2.604729612787377,1,0.27610591502739146,42.49679556059479,47.85906978026273,2.3704080949458435,33.6824075923511,0.7626308186075808,0.4519558457426669,-1.090175849640966,27.976849143048756,21.577080359886864,1,63.45034029115979,1,1.4470924469822148,-1.1551672981252115,0.6322237041298597,1.4931318453292146,2,35.15226044605757,1,52.37400245005069,-0.6287243468910704,2.077323370073835,37.482462205322626,0,0,1,2,0,75.36303149547922,0.7102143821507378,29.147149561064825,-3.448717592753784,3.037349101088741,0.25284662726010265,0,12.01453451407972,16.576709632213763,0
