S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
1,2,-1.0921583910361847,0,0,0.8064607083174897,6.503066172974453,24.31184213004282,0,2,1,48.60438577878132,31.371369082900603,-0.2914962271867516,3.0308054640044855,53.08330472762498,91.44325072331054,0.3633062535131048,0,0.6605777620276054,0,1.311804268101745,8.848245606066275,37.64452463011601,0,4.055864882419784,9.837949342548743,1,13.22585509376674,0.6588198566071389
0,0,0.0691479522285886,1,1,0.3693383358112242,1.753585700195841,43.53651042437931,1,0,0,28.92164087630055,70.19212324775606,1.5727734101461095,4.664633633523775,20.91745242962682,41.1003396775374,-0.6867562531949092,1,0.254331115539013,1,0.5814366866495232,-3.2399359010400435,60.83512962538923,1,24.786062966290423,-3.981937352323232,1,21.69084961689574,0.28774649467703217
0,0,-1.5010291670106868,1,2,0.20276728266115246,1.4983734978419225,71.15868781928529,0,0,0,33.82149363264083,30.83347694329589,-1.179882488190881,2.928752980670412,20.88775552413571,30.84951762922924,-0.593824240377823,1,0.2559326418064435,2,0.005925642822360828,9.59234613737145,26.877388209749483,0,34.883487083081086,-3.529871424100234,1,36.732190686822136,0.5720858455940188
1,1,-0.02369357670000255,0,1,0.4797841490373524,1.7630825434264534,25.906465018577816,1,0,0,29.931457728474314,92.30815415350762,3.8618688542818354,5.972928378105565,20.830797300947662,50.7403617219261,-0.7133982954880909,0,0.2537269123373802,0,1.7289911534767426,-9.792354784677062,53.24061973751703,3,9.041065014915933,5.081306857802934,0,12.59772569368205,0.29097108982336867
1,1,0.13558513210663523,1,0,0.2925602888029488,2.4255776107615206,25.636884724194378,0,0,0,27.576477635101455,24.559983522865902,-0.47464187023184734,6.215436322938841,20.686301611417615,83.02182623063663,-0.7095641449700193,0,0.2525370030176568,0,-0.8113304969940638,-3.8930272598872806,50.9555163389855,1,10.704229255792734,4.480676164885388,1,10.849851711061952,0.4334638539858624
1,1,0.449852249274563,0,0,0.6725842352913092,4.929551859686016,16.92465722599211,0,2,1,51.931096269543616,19.220497654775215,0.703024205292828,2.3275515675575993,57.27711683024833,79.47593033623569,0.5301860351828582,0,0.7322858485524466,1,0.6735909725392965,2.1814206376255214,22.92505333170261,0,5.296790758826424,4.399179474245338,1,7.458102208977855,0.46719124802732837
0,1,-0.5021263502616111,1,2,0.2744167411552881,1.1038713748597593,75.3105114312196,1,0,0,39.78536698835832,98.46649183004972,-0.709191034800277,2.2706982977714985,19.662182260063364,3.056608612386502,-0.5455729871807511,1,0.24539313827910408,2,1.1745543548156152,-1.7777919551747985,18.512037726326987,0,38.19025656303704,-6.138926485336777,0,37.6272384310285,0.5627971995281509
1,0,-0.9603046856554579,0,0,0.4489364025046998,2.7911954115902526,30.2962470915043,1,0,1,30.82060382692314,28.52741927796861,0.10354554564827714,5.19777144054523,22.279397205093723,80.25155381199227,-0.6349822459577161,0,0.25686520532058793,0,-0.32351131811737177,4.276207241801281,23.394734012813224,3,5.322973483054376,9.802300922926776,1,15.052153842008448,0.2795137377451955
0,0,-1.3543947372911764,1,2,0.3020092396730967,1.0931217506303494,76.90377194455964,1,0,0,38.52086058282205,90.86663059368408,-0.5814943460835476,2.1405280509801856,20.67917575980923,2.5230758347116633,-0.5450490529350738,1,0.2504948752888326,2,-0.38968526763876277,2.9312951142753256,46.39939158259452,0,38.61124171811543,-5.484935115058159,1,38.67618426679644,0.24856496747530593
1,1,0.28343907304958393,0,0,0.9716892027338582,9.511885219911846,22.96618967888304,0,2,1,68.14653343507915,23.382207705830403,1.0124231020546992,0.792221432874661,77.41262178822252,65.02210015461381,1.8349026151701122,0,0.9666320205925611,0,-0.46446557987623244,-0.2017281308695278,43.265806291762004,1,4.463879786598152,8.883005136256124,0,11.62829986727048,0.6816763318528579
