S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,0,0.1224223077497251,0,1,1.2638776718895808,1,8.027023401455146,7.012454643811516,88.76589107283115,16.526177966172977,1,57.87047718687775,31.80257675864721,0,0,36.89069706527458,0.5466177325962827,35.89368006037882,0.5685362596628957
1,1,-0.2780071203849691,1,1,-0.5144060454137267,0,-3.6844163600033886,1.202853248351197,39.07796978562349,30.001310280331836,1,46.374477230617615,53.91733741609053,1,1,1.8172636672477371,0.5091040498332862,30.315068894289602,0.4294435383923491
0,0,-0.32085395741188966,1,0,-0.7813639408565554,2,3.1046622711156697,2.669852181000324,97.2055626492135,0.00014168181089457832,0,7.596512262648565,47.15116609086659,0,0,12.56730331764013,0.1786165036186793,36.93225893423295,0.4938245876250484
1,0,-2.062544597517142,1,0,-0.9786894366401381,1,-8.438228664142413,1.669367179700442,29.90787423505185,38.50002795251871,1,26.196680633398017,68.79820646620101,2,1,6.044716587157657,0.5390077042487715,51.744822752415566,0.6053278754136492
1,0,0.45510363205180104,1,0,-1.040931708205634,2,-3.761376035327099,1.53997762678242,68.19974326924331,35.76814696441304,1,42.077735377085105,24.931754979222276,1,1,8.239928799093224,0.38277147624351204,22.944369015252725,0.5511697852602248
0,2,0.8490683551718321,0,1,1.7538579806751473,0,8.465209672506269,14.571743068875993,82.69337554140654,20.3541338344948,1,23.55799157858886,36.80433991291031,0,1,37.35469100937,0.7044988598642891,65.52128070668084,0.9820892779311863
0,2,1.095140611297726,0,1,3.980896193996101,0,9.995784117538122,46.72260474942793,46.08094992078352,19.767219925018445,1,79.70716605614847,20.819966199848725,0,0,39.99904378507818,0.11003317876356894,69.15986267078199,0.9410672737909502
0,0,-1.9240472380868394,1,0,-0.9109299825232603,0,-9.596573476700428,1.3155105114676322,88.12995447636776,20.521063252379538,0,1.3921292307694344,64.29797040508684,2,1,7.475867427325992,0.9999652134405101,33.54572716655953,0.6070529360898665
0,0,0.6877615738523917,0,1,0.24956781730763333,2,4.523934784712404,5.751487013753309,96.109359247732,1.8942105935029385,1,14.775973529369622,33.680556959242764,0,0,23.225155265128752,0.40770207189814095,39.595305480530584,0.5205585523436719
0,1,-0.6346171220580817,0,0,0.4626478489470562,0,2.801364739338016,4.058197500928709,22.026413670741253,17.08976369126844,0,77.18800522032873,56.776195404058726,0,0,21.299868898658012,0.24055506174520852,64.08536339992287,0.4308553425545504
