S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y,X13,X14,X15,X16,X17,X18,X19
0,0,-0.6422336021062643,0,0,74.64759591675796,0.6065582042247697,64.004459153721,24.501737239203102,3.1920369172178713,2,2,1,-0.04384421831807373,22.7270934010412,65.71807142809534,2.4096422897116163,0.22852928282211554,30.795409045103778,0
1,0,0.12505836357562083,0,0,62.16398662058291,0.8073140847653557,49.96616918798633,26.903900563548667,-6.503027135921146,0,0,1,-0.08479191381719382,14.317218873136248,28.37607253233501,3.2854483593900463,0.316001072243748,32.695185640249164,1
0,1,0.37990442731829926,0,1,27.18879175780598,0.2815802200610995,33.43082747697173,12.059499312568555,2.2539705163423562,1,1,0,-0.7147885599913827,37.314235074407385,55.353431501353334,1.5969154750219055,0.5177061522843167,52.98194453160836,0
1,0,0.3100616133573639,1,1,77.82053713348512,0.6194335793108944,52.38579620293549,29.55314822722488,2.6142988520908084,0,0,1,-0.04850330744055243,20.05614699864666,29.60842652053006,3.2137993413808172,0.26775173349693704,34.42512562168314,1
1,2,0.27718810302722835,0,0,38.344721030283644,0.2519639461349168,39.2365162377204,20.851407831848366,-2.1031769017545896,0,0,0,-0.6975870193295789,18.21900691256836,60.09883153610774,1.651143126031286,0.28287457234182856,32.05426740454628,1
0,0,-0.6605599035065626,1,1,72.46350470390522,0.3114741416842012,65.15638023588428,21.115197377329757,2.2510106961518375,2,2,1,0.09101724996381429,20.01003509168667,27.6850300382132,2.4084291707730743,0.23852199748001723,31.135795408478373,0
0,0,0.47710958433280626,1,1,37.30132760690068,0.13682076572108015,39.26736162848616,14.21470442244678,-0.7560387576418659,1,1,0,-0.6994869369789031,29.86621249341721,66.54291728338534,1.5693409839592194,0.3632773075585223,33.32735796507093,0
1,0,0.15073080930017166,1,1,73.57722842637936,0.35519179068207196,47.729977407458584,31.943596101019924,-0.6416155276150022,0,0,1,0.9765363534696739,14.7168830575356,30.841070885737896,4.415292569695882,0.24315555064184535,31.330194205377012,1
0,1,-0.6431655401052868,1,1,37.73092466983522,0.5175750238738344,39.134564499410814,14.656385404671536,3.102325088751133,1,1,0,-0.7352702121419888,42.3804902028396,26.60926395320729,1.658677990378361,0.40413446753286947,41.21401985216943,0
1,0,-0.25657111750833944,0,0,90.4143456510784,0.8379752033367369,66.58400086011329,34.07037996775165,-3.190040686035667,1,1,1,0.6358593623572109,17.9364652291355,27.49072534025858,5.596727275287276,0.26543932807790716,28.2268912314113,0
0,1,-0.6046412795094432,0,0,38.90052135941599,0.24615027837123404,48.32199973604858,10.451205688540131,-0.6770285718470905,2,2,0,-0.7074093186162342,19.66859301722453,61.94480482548297,1.5004869584047296,0.4235549778455835,49.061017244427006,0
0,2,0.01508142913017272,1,1,3.329020781062686,0.5656865536699472,19.96614686490777,1.2612105191206058,6.021798538378988,2,3,0,-0.4161105307953903,77.56331029015828,38.32691990751938,1.605439450178755,0.9287265215722371,69.53583182501893,0
0,1,-0.14779435352699022,0,1,55.27163944707777,0.1738568681638908,22.88631540438763,19.142917851754046,-1.2202214143070886,0,1,0,-0.6157491049383468,37.25514421470369,42.66327008275738,1.4820060537778221,0.42820679892390784,29.955813724525,1
0,0,0.8385365129145073,0,1,3.215261316175788,0.18372810341510726,19.104728913759956,0.8511527460598112,9.776231853316233,1,3,0,-0.5960505362657115,79.97643027133456,28.88901456745522,1.5553465169540615,0.99384654599963,69.95345519188183,0
