S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y,X19
1,0,-0.09745822733460507,0,0.5171971163017837,45.15744735355463,55.0300837389445,0,0.7492014648719536,1,1,2.667216387975375,10.739703039376236,0.20938901537098054,0,30.67354521310415,15.394756417618282,0.20225585817212105,1,37.55635684648923
0,0,1.0320028785267479,1,-2.4810178395577847,28.409769933597214,10.801527319632998,2,-0.6881745385031864,0,0,1.1851280218323688,35.398604808890546,0.5877949284654892,3,41.98596940310546,8.015768196943146,0.6085299416670295,0,54.28200718969441
1,0,-0.885038860797769,0,-1.7830843459458894,47.687290918128866,47.13520109729348,0,0.4756460813915329,1,1,3.6991822630188715,17.597444797647622,-0.2162702671607641,0,19.923150581153898,3.0676471951299877,0.21937207679207338,1,23.463754322214015
0,1,0.20190213104879312,1,-2.1140976233776847,26.747588879822068,20.976161389377303,1,-0.44315924618647856,0,0,1.483744405581585,7.148661258045548,0.7730790568558822,2,42.78287422349696,31.832354862549224,0.6627990065361179,0,47.09073942665823
1,1,0.32469334373180675,0,0.997433512897242,42.30583473058297,71.1367185591013,0,1.8583296170991954,1,1,1.3072536060338933,17.884631984474264,1.361616479322029,1,17.981435807064415,17.08478363287182,0.3007585111942098,1,46.99998699773252
1,0,0.5651575230192418,0,0.9772451262848136,44.24970085802828,54.281313393720474,0,0.21866461394747752,1,0,1.9914931723410545,12.74078409834444,0.374150474493637,0,21.231775352362064,18.75411713536351,0.2745523253689474,1,35.23426162135091
1,2,0.42444447757770976,0,-0.10112442647868036,28.26077474937496,31.4026621965574,0,-0.0008588142511219264,1,0,1.3229458918241845,13.679986498280691,1.1110146815060724,3,20.24477042934345,8.597185141128602,0.3706488773353465,0,43.95490135161916
1,0,0.001069331167930762,1,-9.999812181692418,36.44492367200371,6.7498464183366025,2,-0.5798445476298189,0,0,1.457642776002378,39.8779037374672,0.3626579737204546,1,99.97914284171938,13.354124149365859,0.999613747048088,1,69.99474115928555
1,1,-0.4301771924002522,0,0.5185982487042722,34.81930374985573,38.531163229477755,0,0.4443723484729645,1,1,1.7880218794014837,3.3097321893103615,0.7237067606238118,1,23.03486308973712,12.71821667592711,0.23254504847740987,0,40.65749204816896
0,2,0.19604215112938342,1,-1.4181347201240158,38.06076667359234,26.295960683313126,1,-0.6197584812381272,0,0,1.6408241909286454,18.180206564317373,0.29115623408519037,2,23.347466392529697,10.993640236213222,0.38801559761981497,0,35.452833524394606
0,0,-0.09576391192728156,1,-0.12811304249902733,62.97590911926199,35.49826458658102,1,-0.768896589586059,0,1,2.623648412534189,22.59073338994137,-0.8738016884990932,0,67.78931727647463,17.443661754673787,0.47210024467122386,1,36.728387557271034
1,0,0.2000620235539814,0,0.4068217160407368,34.745942123589145,39.39381352911596,1,-0.687435173843604,1,0,1.8931265369998547,5.564946259651364,0.2815634744208344,0,38.419838481379976,14.976377174211365,0.24264623626700155,1,47.91641120036634
0,1,0.7915131332241122,1,-3.8542705249090776,39.35975658796299,20.47651046954174,1,-0.50114852037027,0,0,1.7925216474667398,34.235588191676456,0.09056258247588181,1,65.41537459837944,9.681184428352498,0.7767971557745688,0,46.87941888150932
0,0,0.026376849909020436,1,-1.566399791542132,44.42727894150973,14.288029450329581,2,-0.6269595611522072,1,0,2.058476719077684,38.933704203041856,-0.01952668552710831,1,98.82670789145553,13.942728989209092,0.9921852548928308,0,69.39395944994067
0,0,-0.1059756775793101,1,-1.7383350285667163,50.913452042340175,17.057928120261398,2,-0.5829012128814561,0,0,2.3776312021255506,32.150200992369186,-0.28442604294982204,1,81.47162252068895,7.120991529142713,0.7518708588936294,1,53.81628743634945
1,0,-0.12253485343468999,0,4.888491810558586,24.464903440220485,57.86651988638777,0,2.7156889723060855,1,0,1.8792262879018105,23.79889444941451,2.107118117909536,1,24.740634069669404,5.796475098238318,0.30323530457366676,1,51.32858837435019
0,0,0.30372603532573234,1,-2.151039213970317,54.1877864227525,30.08937910153802,0,-0.7127152731182661,0,1,2.459876818929931,27.741939482140594,-0.6378650040597226,0,76.49893490238273,13.617374208680362,0.508016961759014,1,51.290806687283535
1,0,-0.458146104453794,0,2.7643314454396837,49.50770817815003,51.801396037182805,0,0.7054020491796684,1,1,2.756646784171695,21.367441969326535,0.16030826876514334,0,26.469990206834222,14.010383975433694,0.24620550262294255,1,30.023639492808933
