S0,S1,S2,X3,Y,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4
1,1,-0.24002429398321073,0,0,0.9019363855361839,29.95281903448161,25.777441477386862,1,20.670062172848745,1,2.702157336465254,34.42170923176765,0,0.0366459703204817
0,0,0.667076733634111,1,1,0.14167956916823538,46.2420697401657,62.21245706445102,0,29.96573606152262,0,2.621277378027566,13.153223600104877,1,0.33178890143082834
1,1,0.9973412768698113,1,1,0.2636018435926114,31.14873422935994,64.21597942915726,0,56.88062133712031,0,4.573905129313454,8.995121588665222,1,1.0099128672691298
0,0,1.2468859955871008,0,1,0.29651688686144106,64.55984305014704,25.199289183453892,1,24.00949088319007,0,3.637965198369531,16.925982250444864,0,-1.11482094265202
1,0,-0.1714882210966475,0,0,0.629658585895327,35.228168718204394,2.8953937064209967,3,45.310714436688684,0,2.4475706729599427,16.83210884922864,0,-0.894440293740311
0,1,-0.2501454649261585,2,0,0.40502580981033887,34.372238930183386,68.2772948016521,0,85.02847475289028,0,4.265740476335147,13.92145935935484,1,0.9718320926802847
1,0,0.39681588963618014,0,1,0.032065046463957025,63.97123929226803,20.91804709034011,3,26.75492246840002,1,1.1072727546341505,19.929014326371146,1,0.2538954150804399
0,0,-1.0013509011415027,0,0,0.8129745227382437,35.89030367629908,33.683250633372246,1,92.90030133388105,1,4.725445080515874,25.161162012366447,1,-0.9603997501470891
0,0,-0.49799717388718345,0,0,0.9812348293051245,32.44486787424967,32.21329419986268,0,71.96873836195633,1,10.152480841284238,39.99757658482065,0,-1.0426416847451463
0,0,-0.9348234339902962,0,0,0.9982720626467332,24.06638803521648,33.387151969122,0,95.80883541450676,0,11.616685387048793,39.99581245071032,0,-1.349138617760415
0,1,0.36746561063025823,1,1,0.0711466555137325,33.82681013745116,37.5415516624207,0,46.50380562944313,1,1.2071919729920095,7.041660470527987,1,-0.7999017338538446
1,0,-1.5138861487965043,0,0,0.653950593897458,68.42985151579899,3.9337983824550893,3,35.41544125709509,1,1.4180754903450257,8.863697598869273,0,-1.76761403913898
0,0,0.5377031299620297,0,0,0.8766107297340884,47.687237312877684,43.23810845944128,1,37.51880007936445,1,6.899502307573036,33.542570916938516,0,-0.16107259063703494
1,2,0.005125078708696497,1,1,0.3428191494189584,36.01768026898827,48.394021580700525,1,39.130892521081215,1,0.8529521056570345,6.7001771319334775,1,-1.9148816157758233
0,0,-0.4149719401324425,1,0,0.6280196334184127,39.61720265060271,43.525377655046796,0,92.72497130374839,0,5.527560439377025,20.759806714893273,1,-0.2338906828476915
1,1,0.543333049508663,1,1,0.19353405988127115,30.157329060642297,46.924862246304684,2,24.70483683874936,0,1.3910054953219846,9.10617464119158,1,1.3650295015540146
1,0,1.1074699817532634,0,0,0.6975061932307031,42.3790608423076,6.015917024036126,3,37.59007615915699,1,1.946166645683877,17.54834297666872,0,-1.4407514768485519
1,2,-0.11697134269313282,1,1,0.33302699311247785,31.935502401453963,57.80708217383369,1,36.63090596341496,0,2.024603738507501,9.753212639343067,1,1.4673341580684849
0,1,0.07766780066739576,1,0,0.6430016450388893,35.164741587229656,56.97296180715757,0,48.79139652072298,1,4.345896518947801,19.9039626991927,0,-0.5803541473688683
1,0,-0.7462178819080092,0,1,0.12901500392902127,21.045288495276072,12.438763846619217,2,54.78311535336159,0,0.8116722355313968,6.676896435208395,1,-0.13436836517908624
1,0,-0.8373108406942027,0,1,0.35822460453222504,69.28411592921589,4.282282841677714,3,81.07004217950804,1,1.0617662659269498,13.524543532516995,0,-0.07355683512121083
0,0,0.6796550935815059,0,0,0.7138984116985448,68.69948799437762,4.365945986073498,2,22.04713406727443,0,3.814266447959422,14.386915449730012,1,-1.5007189570015693
1,0,0.25002797175375474,0,1,0.252118979922912,55.24821745764926,31.14827159155621,1,28.178765320685606,0,2.3637370349283398,12.639850654768692,1,-0.8261529476462466
0,1,0.056609869000044444,1,0,0.9876351890537451,31.506790440874813,51.8641982502184,0,49.87814057803245,1,10.412949603248304,39.77555357437235,0,-1.4576413076835812
0,2,1.1937510100038324,2,0,0.5456826235434639,32.71596163356606,79.66733900945181,0,51.52199288127315,1,7.6537944320558235,23.950243143564776,1,2.1990240296857104
1,1,1.7301832631372276,0,0,0.6532051089662853,27.21227349954144,46.77825992276347,1,47.82383762959782,0,2.402407594087374,22.262273368393082,0,-1.605887461190532
