S0,S1,S2,X3,X4,X5,X6,Y,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,1,-1.0980255402542847,19.461639273990507,0.4092401907766494,30.360468502174918,1,1,0.5457952271589206,1,-0.43394377526262135,2.997864670034227,36.94215760382677,0,1.5896737190206773,0,2,15.477734520470271,44.07948957038813,-5.118356603980663
0,1,1.8036809006391048,34.81975111488234,0.11613392856833399,34.60229788809209,1,1,0.8835760505405363,1,-0.6536274327358349,3.3937263331864607,18.820078314293692,1,1.471962795011219,0,1,17.319696437319465,26.102437942923356,3.969708852073648
0,2,0.6450737994159437,39.1327143140873,0.014963909168053124,38.9444297218096,1,1,0.9827012920771955,1,-1.827116798912648,8.131452664565838,1.5610116781215266,2,1.55565068065544,1,1,17.6411243292628,38.38973477100639,1.3854497210027183
0,0,0.3250227181776718,29.43333421333808,0.12000143061349161,34.81060458781547,1,1,0.8812632868963939,1,-1.710826671017657,9.519639753051067,11.860767159725299,2,1.4480174292914834,1,1,18.198977886742863,46.9207763682186,3.4282752331985265
0,2,-1.4524561983993811,18.589315543023208,0.5181587391629904,24.912195986935266,1,1,0.47081215546738114,1,-0.13341331158301037,2.5646181193513566,50.049560686584115,2,1.4773467718904583,0,0,19.43880536169454,58.997967554026005,-9.220248318687581
0,0,0.2311170013222876,17.17300228787082,0.3961491004191913,26.33434933430693,0,1,0.6112284479476341,0,-0.4284618821694405,3.3038365480482756,39.43667954761053,0,1.5329550751475176,1,0,19.390220405908973,51.96054689146441,0.2743236343656754
0,0,-0.3179755471267922,22.65359459274226,0.19483759544398416,19.81766997782667,1,1,0.7641414975605474,0,-0.5018534332719901,5.807350589620615,20.86592030918963,1,2.0694845672620223,1,1,17.888202656275514,18.01269045700305,-0.19873780129250918
0,1,-0.0998267522230821,26.049573442477303,0.17695992062763205,33.64376931166924,1,1,0.8041780266240348,1,-1.58207540849412,8.396715709947024,11.358831952420612,3,1.2693979592194782,1,2,17.273290379784775,48.14552190899201,-1.1069489197895486
0,0,0.4766389146870938,14.14874986007731,0.5556371940320832,17.504608143183543,0,0,0.4071654039529635,0,0.1258787005841596,1.5997662598886961,57.565058568849615,3,2.582319224590152,0,0,37.078628617658765,39.29303826864994,-4.200668210701264
1,0,0.16135698126219306,1.9198136726798198,0.9609475903212457,1.886050632908689,0,0,0.0342403715767971,0,1.9707599319688736,-8.263585308027004,97.22209599115452,0,11.101468242227716,0,0,79.5113718057834,52.437956697175565,-5.136720828037133
1,1,0.06853909044470119,10.96224634179003,0.6861820058053181,12.792638322630062,0,0,0.31309245171555705,0,0.5960188096982798,-1.6783551194655946,66.78441786534955,0,3.484153970582958,0,2,49.18184545680957,42.770564665287225,-1.7727023867847507
0,1,1.6267291026183015,32.14662048999745,0.09456533538587708,37.58794286456428,1,1,0.9003418243455212,1,-1.4503290567645999,-1.1311198554286204,7.633069755942912,2,1.7292975892816909,1,1,15.179632241664155,51.722832628475985,2.54055748438806
0,2,-1.0057385188795784,38.927173816659334,0.07082871521059758,34.27774820299187,1,1,0.9452516475624145,1,-0.9902966425685535,8.71800395670061,10.27952633910212,2,1.4883975193960826,0,0,12.732142614306952,22.268405956772483,2.203488161712288
0,1,2.038197279259966,35.06381002671189,0.11657985458203812,32.669275564680376,1,1,0.8874923786072568,1,-0.7920499788116706,5.40984564241597,30.35717429869437,1,1.4914590291524623,1,2,14.999538683862571,29.734630735077474,7.555399026373529
1,0,-0.23928150884726984,6.0874845349983016,0.8513793009556555,7.143759971261434,0,0,0.13040465663974699,0,1.1214609239244195,-7.36562728855322,82.49957679017939,0,4.659877027967975,1,1,69.51043828714359,45.46336053179591,0.7865310846679812
1,1,-0.16403714966196875,18.701871256360192,0.4142421907314773,26.277486461492188,1,0,0.5308552502290294,0,0.07712453941251153,-2.206719689451882,43.648131327661375,0,1.3462853063391005,0,2,33.23895133836158,48.32374743986896,-5.508467453745158
1,1,-0.8844860703980644,28.663864531006382,0.2627854823091684,27.396078088333798,1,1,0.7498200053321196,1,-0.11415734754343176,-8.201922266510422,29.999197409588607,0,1.4920722627550067,1,2,18.847348634523264,54.067424199642446,9.043057134338078
0,0,0.1535045515080375,35.4991867620551,0.5872548077339217,4.618317129021062,1,0,0.5510670191480369,1,1.0063161180090656,5.451774668926607,66.55118802257411,2,7.084861633561939,0,1,64.75714675822451,24.482659469534582,8.427032000224838
0,0,-1.0237757408301715,32.64661179740902,0.06951684982917322,35.82982243016301,1,1,0.9303101233659102,1,-0.9301696276352125,5.982386981937697,10.073207626260983,1,1.4958166599341927,0,2,15.125817403393423,24.326009543778376,-4.754539265246311
