S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,1,0.821777484962005,1,6.984213234442542,0,-0.6978134653669684,2,0.085081244348446,70.78788292607611,2,1,16.254024165914906,30.921686357313888,14.899848564248543,2.4905213241752437,7.70695386574764,0,0.2196110927864564,0.49788648825693343
0,2,-0.13414221609606233,0,-5.462674636077213,1,-1.3640354504082242,2,0.3978033448398266,50.20134979249523,0,1,8.473558788245905,51.244855335584575,13.432669054005022,1.9197307633486234,59.59888924067796,1,0.8495842357000376,-0.7426656842414673
0,1,0.8564908706465211,0,-0.933968873656374,1,-0.8877544144785459,3,0.2692480180270944,57.11856237455482,2,1,91.63301965629033,58.81503120164692,22.65664950502693,2.7845409820843727,89.9261715535723,0,0.7926409719571678,-1.6542161095573609
0,0,-0.9802453008788206,0,0.3638440608341238,1,-1.1685378343985036,2,0.5023066365187738,38.211952270829784,0,1,92.6894411612079,54.5561321219395,25.11344948127963,2.548488847281082,28.53691763167322,0,0.614618601619138,0.3207768051565517
0,1,-0.8932269108543172,0,-4.39310740454148,1,-1.0674096534952584,2,0.5662738076248829,41.259898427698886,2,0,56.427761275740494,66.18920694882382,13.137236017803467,3.2637382337954297,74.51008321028176,0,0.7960936979730906,0.1440756066312047
0,0,-0.4293359821893092,1,-0.5097133814359882,1,-0.6681358065853602,1,0.9260014299009821,13.162832141271789,0,1,96.26297180863664,48.957602616302424,38.874528751970054,1.8360041864339904,27.79463700380801,0,0.501624800708657,0.22053290481671428
1,2,-0.578411625379652,1,0.5953979353634846,0,1.0852718403505943,1,0.1986913242801499,60.26404362993585,0,1,1.036808928424443,28.088081521926764,8.36144225372343,2.82914879444951,1.430806410150115,1,0.14949957317629664,1.6542127210395037
1,0,-0.7804640278103384,0,-5.892347773401148,1,0.11557232694645547,3,0.26081661725712546,63.9284795551421,2,0,70.1196017968611,61.330383055332206,22.503218199474077,2.5013676312612745,28.882464453307684,1,0.8277103129470675,-0.308750238600099
1,0,0.010778608738146045,0,0.8132160233296215,1,-0.274672205010089,0,0.8151844440305894,9.195416475419007,0,0,98.68117639355822,54.483956939984026,37.822631503814875,2.543128620273841,61.27961346063313,0,0.5117715750936179,-0.25804679396372593
0,2,-0.20354846138362215,0,-1.836747508463347,0,-1.3240187837979822,1,0.758362056065721,11.664460490894157,1,1,43.59617062768293,56.70255189609743,31.945554603690095,5.192179614771789,49.76429977905333,1,0.9204399246581144,0.27594773736728884
1,1,-0.010095130338932206,0,-7.010484895325476,1,-0.4723731337255676,1,0.5586988032072979,36.45023541982927,0,0,60.13867980040936,49.93736076000816,23.91544956986266,2.3078383718512905,19.1624429220694,0,0.7314448330609388,-0.7426248446864095
1,1,0.5922021764198694,1,-0.7742992552060386,1,0.8508619241893991,1,0.5814621936262192,23.929519100455224,1,0,26.6513756675569,39.210706287312775,39.99922428592594,2.9510131298523854,48.64032809230003,1,0.42200570901266166,-0.2514830419232591
1,1,0.7233530853116837,1,-7.096079589600503,1,0.34883102156149653,2,0.15219376406999935,72.96296609151347,0,0,45.790022049322396,48.29450899174148,19.021983705027782,1.9437550806524297,74.02793332010656,1,0.6987325167461569,-0.3212999440434505
0,1,-0.11366616765237265,1,3.1264340319674666,0,-0.5266804443390762,1,0.48549623811385234,35.19706108757218,0,0,49.8744430127505,42.37873597032841,18.44402249120873,4.518251860828547,65.3955080852462,1,0.5673571612099831,0.32751782823920234
0,0,-1.4974927067120791,1,7.6453154694203675,0,-0.6151073925705526,0,0.5543379266468043,29.32091493933796,1,1,52.744608272204495,47.45672067862866,4.352130099979004,2.880623705213692,11.89250345510821,0,0.22756744557703223,1.3687495902812423
0,0,1.1224522506117796,0,-1.5960352501406625,1,-0.5156393204398191,2,0.36981756435616264,53.41707535971622,0,1,89.07631617299943,53.95599331852684,39.62658991666818,2.2919268560348254,47.65549044810724,0,0.6717336643325447,-1.2859451458535662
0,0,2.2793492677761664,1,9.992117364475256,0,0.6485432277303548,1,0.007062812132388185,78.30768049768943,0,1,12.813805038358195,18.0446011331174,23.311974465756723,0.3125585422750608,52.890441257850775,1,0.0032875717443929253,0.9493606861570488
0,2,1.0705060410305582,1,8.921074627460396,0,-0.7674132067443824,1,0.27224440821961393,58.99151981722876,0,1,0.48196849550558585,27.655438237418974,23.427527438628402,0.26053292541669576,6.014849717122961,1,0.21454631597729856,0.4312827527282768
0,0,-0.733360099288403,1,2.522723584827844,1,-0.8199789202906187,0,0.5000131005057988,34.691276888533565,2,0,69.65407167310865,46.548386876799974,15.553128006447386,2.826453506489448,13.886586742797624,0,0.24937802884596122,0.7867492117803528
